accession	source	assay	n_tumor	n_nat	open	ici_labels	tacstd2_in_features	cldn4_in_features	file	url	bytes	status	notes
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	RNAseq gene RSEM coding UQ1500 log2	110	101	yes	no	yes (ENSG00000184292.7, 110/110)	yes (ENSG00000189143.9, 110/110)	LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt	35757367	downloaded	Filename taken from LinkedOmics CPTAC-pancan-LUAD page; HTTP 200 confirmed
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	RNAseq gene RSEM coding UQ1500 log2 NAT	110	101	yes	no	yes	yes	LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt	32856789	downloaded	Matched NAT RNA
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	TMT proteomics gene log2 reference-intensity	110	101	yes	no	yes (ENSG00000184292.7, 110/110)	yes but missing (ENSG00000189143.9, 79/110 tumor; 72/101 NAT)	LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt	20132337	downloaded	Parent-task S3 URL; HTTP 200
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	TMT proteomics gene log2 reference-intensity NAT	110	101	yes	no	yes	yes with NAs	LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Normal.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Normal.txt	18491662	downloaded	Matched NAT protein
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	Derived phenotype (CIBERSORT, ESTIMATE, xCell, PROGENy, HALLMARK, TMB, purity)	110	NA	yes	no	NA	NA	LUAD_phenotype.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_phenotype.txt	210137	downloaded	Immune deconvolution already in freeze; not recomputed
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	Clinical meta (stage, smoking, driver mutations)	110	NA	yes	no	NA	NA	LUAD_meta.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_meta.txt	12232	downloaded	First data row is a data_type header (CON/BIN/ORD); skipped in analysis
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	OS/PFS days+event	110	NA	yes	no	NA	NA	LUAD_survival.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_survival.txt	2485	downloaded	Treatment-naive OS/PFS, not ICI survival. OS events=24, PFS events=23
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	RNAseq isoform FPKM log2	110	101	yes	no	not used	not used	LUAD_RNAseq_isoform_FPKM_log2_Tumor.txt	https://cptac-pancancer-data.s3.us-west-2.amazonaws.com/data_freeze_v1.2_reorganized/LUAD/LUAD_RNAseq_isoform_FPKM_log2_Tumor.txt	listed_on_LinkedOmics	skipped_out_of_scope	Gene-level RNA used instead
CPTAC-LUAD-freeze-v1.2	S3 cptac-pancancer-data / LinkedOmicsKB	circRNA / fusion / miRNA / phospho / methylation / CNV / MAF	varies	varies	yes	no	not this slice	not this slice	several	same S3 prefix	varies	skipped_out_of_scope	This slice is protein+RNA+immune only
Gillette2020	Cell 182:200-225	CPTAC LUAD discovery cohort publication	110	101	paper	no	described	described	PMID 32649874	https://doi.org/10.1016/j.cell.2020.06.013	NA	cited	Treatment-naive tumors; no ICI
Li2023	Cell Systems / LinkedOmicsKB	Pan-cancer freeze v1.2 methods (CIBERSORT abs, xCell via immunedeconv)	110	101	paper	no	NA	NA	PMID 37591238	https://doi.org/10.1016/j.cels.2023.07.007	NA	cited	Phenotype scores originate here
Bessede2024	Clin Cancer Res	Prior art: high TACSTD2 vs atezolizumab resistance (OAK/POPLAR)	NA	NA	often EGA-controlled	yes	yes	NA	PMID 38048058	https://pubmed.ncbi.nlm.nih.gov/38048058/	NA	cited_not_reanalyzed	Not this slice; CPTAC cannot test ICI response
