ModelID,TACSTD2,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-001113,3.0669502439246266,3.761285273361619,0.5360529002402097,6.349082146391089,0.0285691521967709,0.1110313123887439,0.2016338611696504,6.139346700289664,7.429699644781841,6.4121040446775694,8.013238915113666,LC-1/sq-SF,LC1SQSF,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LC1SQSF_LUNG,NSCLC
ACH-000327,0.3561438102252753,1.839959587489532,0.632268215499513,3.016139702655253,0.0426443374084937,8.007307646846437,0.0426443374084937,8.571449285453562,9.051372101721023,9.166840952368991,4.43229133824778,NCI-H1395,NCIH1395,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1395_LUNG,NSCLC
ACH-000705,0.5945485495503542,1.15704371014558,4.521050736900963,8.272769732436512,0.137503523749935,0.1634987322828795,0.01435529297707,8.256444596473443,9.027850719838872,8.724411530694226,7.930619079024282,LC-1F,LC1F,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LC1F_LUNG,NSCLC
ACH-000528,7.385689870739212,6.550746785383243,6.354381632113322,8.603477988254005,0.4114262457264649,7.47856740557945,0.01435529297707,9.444580108984274,11.672867276433792,11.178104593168186,10.287827790536342,ABC-1,ABC1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,ABC1_LUNG,NSCLC
ACH-002075,0.2265085298086797,0.01435529297707,2.3045110418099526,5.617944917420585,1.480265122054463,5.438625538088378,0.9560566524124028,7.958088658480079,8.1287161325336,8.346159110158654,6.420381341196637,Lu-138,LU138,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU138_LUNG,NET
ACH-000769,5.211790976252541,0.7570232465074596,1.3504972470841332,2.541019153133559,0.0285691521967709,6.813011548605618,0.0426443374084937,9.197437873009267,8.777321077569585,8.617320525152914,7.666685591366032,LK-2,LK2,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LK2_LUNG,NSCLC
ACH-000800,0.3895668117627256,0.1890338243900171,0.1243281350022017,0.7048719644563528,0.1634987322828795,2.3305584000308026,0.5753123306874368,2.9597701552114675,1.7782085763980875,1.903038270112912,1.2203299548795556,NCI-H446,NCIH446,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH446_LUNG,NET
ACH-000700,0.2016338611696504,0.7048719644563528,0.9560566524124028,3.817623257511431,0.0285691521967709,3.633431210355632,0.2141248053528473,4.820178962415188,7.180804278114118,7.412273444670824,0.7136958148433591,NCI-H2882,NCIH2882,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH2882_LUNG,NSCLC
ACH-000176,0.4114262457264649,1.6507645591169022,0.6040713236688608,7.581953750848818,0.070389327891398,0.7398481026993275,0.0976107966264223,1.5801454844233804,9.928932840716138,9.560160847069056,9.696324253729005,LOU-NH91,LOUNH91,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LOUNH91_LUNG,NSCLC
ACH-000587,5.3125199674749455,1.0772429989324606,2.229587922740652,7.45022149589718,0.137503523749935,5.890933021705543,0.0565835283663675,7.232372956468633,10.129540618059997,9.77430937600551,9.55387884033721,NCI-H1975,NCIH1975,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1975_LUNG,NSCLC
ACH-000785,8.774490584953922,4.781884234541486,5.191404728852764,7.608365723163637,0.137503523749935,7.581727841454475,0.0565835283663675,9.181251663951729,11.176048450975175,11.231401206297289,10.70442243518048,NCI-H2126,NCIH2126,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2126_LUNG,NSCLC
ACH-000585,8.924070185585345,7.879154359316535,1.5897634869849773,7.23035674505615,0.070389327891398,6.853122382824751,0.0840642647884745,6.880318193612829,8.717676423066395,9.548802646714137,9.74153440048218,EPLC-272H,EPLC272H,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,EPLC272H_LUNG,NSCLC
ACH-000627,4.305240965954483,1.726831217032493,2.440952198029637,7.908272516291422,0.1763227726404628,6.020813304252452,0.2141248053528473,3.016139702655253,9.003517912108602,8.052894046747443,8.00876474486344,LCLC-103H,LCLC103H,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,LCLC103H_LUNG,NSCLC
ACH-000392,7.265755676027326,6.885940360324737,6.427438563715096,7.484863164322325,0.0976107966264223,6.9445070974173895,1.070389327891398,8.477313046407817,10.70433597118232,10.12747852009822,10.61765111942733,Calu-3,CALU3,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,CALU3_LUNG,NSCLC
ACH-000729,0.5160151470036647,0.2141248053528473,5.974529312483882,3.6322682154995127,1.063502942306158,4.392317422778761,0.2630344058337938,7.887708033029806,6.96289600533726,6.664625054869297,2.140778655782796,NCI-H1963,NCIH1963,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1963_LUNG,NET
ACH-000035,9.811824211241978,5.404971223589166,0.9560566524124028,7.974471952285043,0.2141248053528473,7.232277010268292,0.070389327891398,7.949476570386656,11.471726012618872,11.252133192671796,10.658479284944358,NCI-H1650,NCIH1650,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH1650_LUNG,NSCLC
ACH-000638,9.17587385548062,3.814550423461808,4.412781525338476,8.106484424292539,0.879705766282288,7.537140729804997,0.0,9.293816474965949,10.87182825081102,10.814902851215365,10.792708967598436,NCI-H441,NCIH441,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH441_LUNG,NSCLC
ACH-000894,9.039522271711608,5.159467729266766,5.003152448666922,8.397845735630698,0.01435529297707,7.709083812550344,0.01435529297707,9.229419688230417,10.222432674542764,10.589838375772189,9.914579471765313,NCI-H1869,NCIH1869,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH1869_LUNG,NSCLC
ACH-000596,7.790315911515695,3.10936055940423,3.3701642805402097,9.30108459093582,0.01435529297707,7.621612353024317,0.0285691521967709,8.598387538813276,9.506168710679674,10.29588370273057,10.329908431382709,LCLC-97TM1,LCLC97TM1,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,LCLC97TM1_LUNG,NSCLC
