layer,dataset,cohort,partner,adjustment,family,note,n,partial_spearman,partial_p,unadjusted_spearman_same_n,unadjusted_spearman_p_same_n,partial_q_bh_cldn4_cldn7
protein,Gygi_CCLE_MS,lung_suffix,CLDN1,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",70,0.0050753053844634095,0.9669860095121012,0.11440818825999474,0.34564316133457335,
protein,Gygi_CCLE_MS,lung_suffix,CLDN4,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",45,0.5530866962259665,9.87625160272539e-05,0.6931488801054019,1.3117431950020398e-07,0.0001975250320545078
protein,Gygi_CCLE_MS,lung_suffix,CLDN7,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",65,0.46743407868175096,9.852166654304182e-05,0.7016608391608391,7.47564064337753e-11,0.0001975250320545078
protein,Gygi_CCLE_MS,lung_suffix,CLDN3,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",65,-0.004315108258454363,0.9730042355653128,0.30288461538461536,0.014188373139805789,
protein,Gygi_CCLE_MS,lung_suffix,CLDN5,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",0,,,,,
protein,Gygi_CCLE_MS,lung_suffix,CLDN18,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman. CLDN18 protein is isoform A2 only.",17,0.02468314157553556,0.9277019178864041,0.3504901960784314,0.16781533363739962,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",57,-0.09142150233697686,0.5027870128607157,0.07868809955924294,0.5606853698182769,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",35,0.5597856802255724,0.0005767253412569497,0.7266106442577032,7.730366817532931e-07,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",54,0.5421660635331114,2.7504032483404648e-05,0.7873070325900513,1.658293128671258e-12,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",52,0.07847385198280762,0.5841264040198073,0.3875181422351233,0.00453502121289546,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",0,,,,,
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman. CLDN18 protein is isoform A2 only.",14,0.37445462952698455,0.20746663294509543,0.5296703296703297,0.051416598137870716,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",34,-0.17565464080839893,0.32818234162895676,-0.11291061879297173,0.5249142731603026,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",22,0.6617832449174286,0.001084808716645307,0.7820440429136083,1.713299661861345e-05,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",33,0.5697615856779138,0.0006642950384964375,0.761029411764706,2.7287486942369574e-07,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",31,0.25631411096041784,0.17156135494388558,0.4866935483870969,0.0054959470497612,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",0,,,,,
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman. CLDN18 protein is isoform A2 only.",8,,,,,
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",10,-0.3140922149143133,0.410433160596172,0.16363636363636364,0.6514773427962428,
