col,ccle,TACSTD2,CLDN1,CLDN4,CLDN7,CLDN3,CLDN5,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,disease_group,is_lung_suffix
MDAMB468_BREAST_TenPx01,MDAMB468_BREAST,2.93002585547433,,,1.60814569993255,1.67617650026901,,0.132878585307125,3.29735993343255,,,,MDA-MB-468,MDAMB468,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
SH4_SKIN_TenPx01,SH4_SKIN,-0.636010924226019,,,-0.945949683238741,-0.834135377577479,,-0.144670135015984,-2.00924874269433,,,,SH-4,SH4,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
AU565_BREAST_TenPx01,AU565_BREAST,1.16379529640108,,,0.574565795295475,1.51291914353925,,-0.210639182562054,2.27080265228659,,,,AU565,AU565,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
KMRC1_KIDNEY_TenPx01,KMRC1_KIDNEY,-0.890359208090747,,,-0.101055791586984,-1.01011701448063,,-0.331554471460458,-2.02993126608299,,,,KMRC-1,KMRC1,Cell Line,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,other,False
CAL51_BREAST_TenPx01,CAL51_BREAST,-0.901678918627687,,,-0.351425415504021,0.709414919790805,,0.810460092365987,2.22097857742897,,,,CAL-51,CAL51,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
RPMI7951_SKIN_TenPx01,RPMI7951_SKIN,-0.754966504621859,,,-0.250968194451313,-0.878004851321297,,-0.16100222449356,-1.79413945132475,,,,RPMI-7951,RPMI7951,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
RERFLCMS_LUNG_TenPx01,RERFLCMS_LUNG,-0.745382022943137,,,-0.119296520930839,-0.18944395205621,,-0.0937396250977977,-1.74301631497979,,,,RERF-LC-MS,RERFLCMS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
IGR37_SKIN_TenPx01,IGR37_SKIN,-0.671329045533273,,,-0.624228190093237,-0.85750921716185,,0.389112383171679,-2.28473474288475,,,,IGR-37,IGR37,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
VMRCRCW_KIDNEY_TenPx01,VMRCRCW_KIDNEY,-0.777701274556089,,,-0.0301489976595518,-0.548063409878107,,-0.418017786672598,0.119731447317869,,,,VMRC-RCW,VMRCRCW,Cell Line,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC,other,False
HEP3B217_LIVER_TenPx02,HEP3B217_LIVER,-0.718195805997591,0.917355444387693,-0.883644373618235,,-0.450472470594822,,-0.516311094349615,2.6843539117789,,,,Hep 3B2.1-7,HEP3B217,Cell Line,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,other,False
HEPG2_LIVER_TenPx02,HEPG2_LIVER,-0.707173037177753,0.249093792987649,-0.536043900812571,,-1.07555275650218,,0.34395138512857,0.889674609986189,,,,Hep G2,HEPG2,Cell Line,Liver,Hepatoblastoma,Hepatoblastoma,LIHB,other,False
SKHEP1_LIVER_TenPx02,SKHEP1_LIVER,-0.80148383935703,-0.630199405640321,-1.1174275911269,,-0.843592762662667,,-0.689496875215823,-1.33336376597726,,,,SK-HEP-1,SKHEP1,Cell Line,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,other,False
WM2664_SKIN_TenPx02,WM2664_SKIN,-1.08464046861626,-0.359690748808014,-0.504979529830404,,-0.602584979307925,,-0.525544617123255,-1.83875968970167,,,,WM-266-4,WM2664,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
KMRC20_KIDNEY_TenPx02,KMRC20_KIDNEY,-0.294875912255166,-0.0852614981165998,2.69535665171946,,-0.18076797569986,,-0.88661346954992,-0.548588954506721,,,,KMRC-20,KMRC20,Cell Line,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,other,False
HS294T_SKIN_TenPx02,HS294T_SKIN,-0.759029475467566,-0.512415156499498,-0.725149890385826,,-0.369683641595597,,-0.390800335385946,-1.63037533989156,,,,Hs 294T,HS294T,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
CAOV3_OVARY_TenPx02,CAOV3_OVARY,2.72595328025301,-0.412606346924591,1.69756791573409,,2.85315944914426,,-0.169048769433568,3.08661287677736,,,,Caov-3,CAOV3,Cell Line,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,other,False
CAL120_BREAST_TenPx02,CAL120_BREAST,1.15291700408749,0.00435396206193095,-0.859761641295037,,-0.264709579837535,,-0.100740453614284,-1.31484504381689,,,,CAL-120,CAL120,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
JMSU1_URINARY_TRACT_TenPx02,JMSU1_URINARY_TRACT,-0.0353680539974464,0.2244384039252,-1.04302966999202,,0.0547207475684384,,0.497330638554151,-0.999671398633522,,,,JMSU-1,JMSU1,Cell Line,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA,other,False
PATU8988T_PANCREAS_TenPx03,PATU8988T_PANCREAS,-0.79632643623226,,-1.87442867567847,-7.23979846604124,-0.793010834296763,,,-0.772985899444707,,,,PA-TU-8988T,PATU8988T,Cell Line,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD,other,False
JIMT1_BREAST_TenPx03,JIMT1_BREAST,2.69838947485612,,1.64100719002434,4.37282416164854,0.188811160733987,,,1.3978183559849,,,,JIMT-1,JIMT1,Cell Line,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC,other,False
COV362_OVARY_TenPx03,COV362_OVARY,0.575564077425705,,1.55363198632517,-0.231933113316628,0.506472975148514,,,0.0534978936542819,,,,COV362,COV362,Cell Line,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC,other,False
KPL1_BREAST_TenPx03,KPL1_BREAST,1.12805811605665,,2.37110505182721,4.79402317760915,2.81299621152163,,,2.39179630323473,,,,KPL-1,KPL1,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
