col,ccle,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,disease_group,is_lung_suffix
MDAMB468_BREAST_TenPx01,MDAMB468_BREAST,2.93002585547433,,,1.60814569993255,MDA-MB-468,MDAMB468,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
SH4_SKIN_TenPx01,SH4_SKIN,-0.636010924226019,,,-0.945949683238741,SH-4,SH4,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
AU565_BREAST_TenPx01,AU565_BREAST,1.16379529640108,,,0.574565795295475,AU565,AU565,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
KMRC1_KIDNEY_TenPx01,KMRC1_KIDNEY,-0.890359208090747,,,-0.101055791586984,KMRC-1,KMRC1,Cell Line,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,other,False
CAL51_BREAST_TenPx01,CAL51_BREAST,-0.901678918627687,,,-0.351425415504021,CAL-51,CAL51,Cell Line,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA,other,False
RPMI7951_SKIN_TenPx01,RPMI7951_SKIN,-0.754966504621859,,,-0.250968194451313,RPMI-7951,RPMI7951,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
RERFLCMS_LUNG_TenPx01,RERFLCMS_LUNG,-0.745382022943137,,,-0.119296520930839,RERF-LC-MS,RERFLCMS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
IGR37_SKIN_TenPx01,IGR37_SKIN,-0.671329045533273,,,-0.624228190093237,IGR-37,IGR37,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
VMRCRCW_KIDNEY_TenPx01,VMRCRCW_KIDNEY,-0.777701274556089,,,-0.0301489976595518,VMRC-RCW,VMRCRCW,Cell Line,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC,other,False
HEP3B217_LIVER_TenPx02,HEP3B217_LIVER,-0.718195805997591,0.917355444387693,-0.883644373618235,,Hep 3B2.1-7,HEP3B217,Cell Line,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,other,False
HEPG2_LIVER_TenPx02,HEPG2_LIVER,-0.707173037177753,0.249093792987649,-0.536043900812571,,Hep G2,HEPG2,Cell Line,Liver,Hepatoblastoma,Hepatoblastoma,LIHB,other,False
SKHEP1_LIVER_TenPx02,SKHEP1_LIVER,-0.80148383935703,-0.630199405640321,-1.1174275911269,,SK-HEP-1,SKHEP1,Cell Line,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC,other,False
WM2664_SKIN_TenPx02,WM2664_SKIN,-1.08464046861626,-0.359690748808014,-0.504979529830404,,WM-266-4,WM2664,Cell Line,Skin,Melanoma,Melanoma,MEL,other,False
KMRC20_KIDNEY_TenPx02,KMRC20_KIDNEY,-0.294875912255166,-0.0852614981165998,2.69535665171946,,KMRC-20,KMRC20,Cell Line,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC,other,False
