ModelID,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000033,7.580899204225743,1.8914191868460783,8.275239901744591,7.68873986801449,NCI-H1819,NCIH1819,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1819_LUNG,NSCLC
ACH-000481,7.403693786262805,0.4005379295837288,8.974787405160122,6.783063710045979,NCI-H2170,NCIH2170,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH2170_LUNG,NSCLC
ACH-000871,2.4905701304462013,3.438292851579147,8.014578464922891,7.279657006533684,NCI-H510,NCIH510,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH510_LUNG,NET
ACH-000690,6.095080491901415,3.203201156316611,7.300123724569014,5.413458688007979,HCC-2814,HCC2814,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC2814_LUNG,NSCLC
ACH-000858,7.16400181665555,5.688180358586926,7.26463025566923,6.168321115739722,KNS-62,KNS62,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,KNS62_LUNG,NSCLC
ACH-000787,3.711494906650088,7.087144564591868,5.530757457461217,4.699329525673156,LXF-289,LXF289,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,LXF289_LUNG,NSCLC
ACH-000749,0.5849625007211562,0.1763227726404628,1.4059923596758368,0.722466024471091,DMS 273,DMS273,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS273_LUNG,NET
ACH-000358,0.3673710656485294,0.903038270112912,4.549053029337288,5.583458910130768,NCI-H69,NCIH69,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH69_LUNG,NET
ACH-000594,1.3950627995175775,2.339137384919585,7.937462100716437,5.699884728697476,DMS 153,DMS153,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS153_LUNG,NET
ACH-000868,6.915759896038,4.2539892662307865,8.80135269277206,8.100977647724822,HCC-1195,HCC1195,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC1195_LUNG,NSCLC
