ModelID,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-003157,0.0285691521967709,3.270528942380718,0.1634987322828795,0.3103401206121505,ABM-T0822,ABMT0822,Cell Line,Lung,Non-Cancerous,Immortalized MPLC Cells,,,other
ACH-000718,8.58942643932765,5.556429415449573,9.779932707234156,7.666472568842073,NCI-H2291,NCIH2291,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2291_LUNG,NSCLC
ACH-000747,0.3785116232537298,5.1013979521825314,0.8718436485093178,0.4222330006830478,NCI-H1703,NCIH1703,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH1703_LUNG,NSCLC
ACH-000438,3.613531652917927,4.412781525338476,7.421644094048272,2.39231742277876,Lu-65,LU65,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,LU65_LUNG,NSCLC
ACH-002996,4.034743949324734,3.810443103845176,0.7570232465074596,4.234961094839504,CI34601,CI34601,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CI34601_CENTRAL_NERVOUS_SYSTEM,NSCLC
ACH-000021,5.864681405572597,6.255311886359598,6.397118409042582,6.263973354803409,NCI-H1693,NCIH1693,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1693_LUNG,NSCLC
ACH-000980,0.3561438102252753,0.2387868595871165,5.060047383669939,2.596935142387232,NCI-H1155,NCIH1155,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1155_LUNG,NSCLC
ACH-003156,8.855927424942402,4.926473911256073,6.021923838554758,7.410832910311608,ABM-T0797,ABMT0797,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000845,7.475247047287838,0.2986583155645151,7.982594354827899,6.187648995310601,NCI-H1373,NCIH1373,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1373_LUNG,NSCLC
ACH-000698,6.278356528010724,3.092545741543565,8.729212856911676,8.580258567499788,DMS 53,DMS53,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS53_LUNG,NET
ACH-000852,8.705943353973835,3.905928478173135,9.144556281982275,7.4046306842176115,NCI-H1435,NCIH1435,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1435_LUNG,NSCLC
ACH-003153,7.410493751910778,5.0716768737518585,4.0522419811811385,7.457873322486426,ABM-T0794,ABMT0794,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000448,8.693591496830619,3.399171093819823,6.976478203534362,7.354381632113322,NCI-H1666,NCIH1666,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1666_LUNG,NSCLC
ACH-000867,7.084702108011991,5.7718855785153655,7.581049900945041,7.1543118114364885,ChaGo-K-1,CHAGOK1,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CHAGOK1_LUNG,NSCLC
ACH-000766,9.097847785326554,7.027795440989855,8.380677507222886,7.835166157220454,NCI-H1648,NCIH1648,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1648_LUNG,NSCLC
ACH-000343,0.2750070474998697,0.1243281350022017,1.6461626571578936,0.6135316529179271,NCI-H522,NCIH522,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH522_LUNG,NSCLC
ACH-000774,8.40981519582048,6.930619079024282,8.132319783167718,7.468746213754123,RERF-LC-Ad2,RERFLCAD2,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCAD2_LUNG,NSCLC
ACH-000733,7.210330413537888,4.89384755813292,8.839707698350368,6.725877459120227,NCI-H1838,NCIH1838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1838_LUNG,NSCLC
ACH-000780,0.2509615735332187,0.5753123306874368,5.450881315273369,6.488482874444532,NCI-H1105,NCIH1105,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1105_LUNG,NET
ACH-000921,1.2141248053528475,4.5861642459309095,0.765534746362977,2.150559676575381,NCI-H157-DM,NCIH157DM,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH157DM_LUNG,NSCLC
ACH-000790,0.3561438102252753,0.4646682670034443,6.3446509891484455,2.321928094887362,SHP-77,SHP77,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SHP77_LUNG,NET
ACH-003012,0.0,4.443606651475615,1.8439838440483265,1.859969548221026,A549_CRAF_KD,A549CRAFKD,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A549H3_Lung,NSCLC
ACH-000482,9.157447996274298,4.753818443173543,7.835734632321086,8.727478050994762,RERF-LC-KJ,RERFLCKJ,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCKJ_LUNG,NSCLC
ACH-000870,0.4114262457264649,1.989139007368233,2.1667154449664223,5.0955025176586695,NCI-H1930,NCIH1930,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1930_LUNG,NET
ACH-000779,7.915461145743733,3.904002316283692,7.807354922057604,7.643567621908798,PC-9,PC9,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,PC9_LUNG,NSCLC
ACH-000290,0.6599245584023783,0.2141248053528473,7.313790025443685,5.96624587322494,NCI-H209,NCIH209,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH209_LUNG,NET
ACH-000378,6.129283016944966,5.600804954989473,6.661350569233997,5.60229058486114,NCI-H647,NCIH647,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NCIH647_LUNG,NSCLC
ACH-000575,1.5897634869849773,0.5260688116675876,7.328315891666071,1.6369145803558778,HCC-364,HCC364,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC364_LUNG,NSCLC
ACH-000767,0.3895668117627256,1.1763227726404628,6.461561300001896,6.00786824333334,NCI-H526,NCIH526,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH526_LUNG,NET
ACH-000451,8.03804103701151,5.10055722078293,8.717950543348598,6.792855352362489,NCI-H2085,NCIH2085,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2085_LUNG,NSCLC
ACH-000454,8.221393782341856,6.006746832440585,7.283273598920621,6.369291981680036,HCC-95,HCC95,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC95_LUNG,NSCLC
ACH-000161,0.7484612330040357,6.666614587352882,4.739848102699328,4.017031080527841,COR-L105,CORL105,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,CORL105_LUNG,NSCLC
ACH-000395,1.3448284969974411,0.4956951626240687,3.063502942306158,6.548282482376233,NCI-H520,NCIH520,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH520_LUNG,NSCLC
ACH-000916,7.812113112983306,4.573495715495609,8.778898476008376,7.318859105968651,NCI-H1573,NCIH1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1573_LUNG,NSCLC
ACH-000292,0.2141248053528473,3.060047383669939,1.1890338243900171,0.4646682670034443,NCI-H841,NCIH841,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH841_LUNG,other
ACH-000837,7.898389766534846,3.9411063109464313,7.851686585733419,7.447661841697754,NCI-H322,NCIH322,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH322_LUNG,NSCLC
ACH-000463,0.2265085298086797,4.37851162325373,4.671859468247477,2.27500704749987,NCI-H460,NCIH460,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH460_LUNG,NSCLC
ACH-000064,9.762282367216285,8.038973843574201,7.568336182133747,8.494095544940635,SALE,SALE,Cell Line,Lung,Non-Cancerous,Immortalized Lung Cells,,SALE_LUNG,other
ACH-000861,1.6369145803558778,4.785550551739256,4.627606838129649,1.6040713236688608,HOP-62,HOP62,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HOP62_LUNG,NSCLC
ACH-000563,7.840652055941782,5.050501697446727,8.451087446957397,7.00539998774259,EBC-1,EBC1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,EBC1_LUNG,NSCLC
ACH-000355,0.3895668117627256,0.1243281350022017,0.722466024471091,1.613531652917927,NCI-H82,NCIH82,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH82_LUNG,NET
ACH-000757,0.2016338611696504,7.016474033901017,0.8237493603082727,6.593801928904964,A427,A427,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A427_LUNG,NSCLC
ACH-000447,5.212569338850806,7.20094763377342,6.435461914479276,4.48155728070859,NCI-H2228,NCIH2228,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2228_LUNG,NSCLC
ACH-000892,5.00943675560809,4.539779191698494,0.8399595874895318,0.4854268271702416,NCI-H1563,NCIH1563,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1563_LUNG,NSCLC
ACH-000904,0.8639384504239714,0.3448284969974411,6.494095544940635,5.743084055549586,NCI-H2106,NCIH2106,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH2106_LUNG,NSCLC
ACH-000610,0.3448284969974411,0.1505596765753814,2.114367024952,3.1292830169449664,NCI-H2227,NCIH2227,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2227_LUNG,NET
ACH-000416,3.1651079851445365,1.9634741239748856,0.5459683691052926,0.3673710656485294,NCI-H838,NCIH838,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH838_LUNG,NSCLC
ACH-000752,0.4854268271702416,3.4475791965488827,1.782408564927373,0.5260688116675876,NCI-H196,NCIH196,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH196_LUNG,other
ACH-000731,5.03738222200308,2.38404980679516,5.9342805936400245,3.613531652917927,HCC-2279,HCC2279,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC2279_LUNG,NSCLC
ACH-000875,9.138297402341518,6.255123014847789,8.640027973286244,6.797920863449441,NCI-H2347,NCIH2347,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2347_LUNG,NSCLC
ACH-000442,3.4918530963296748,4.141596278383818,5.204766750654613,1.5558161550616396,RERF-LC-Sq1,RERFLCSQ1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,RERFLCSQ1_LUNG,NSCLC
ACH-000841,8.132319783167718,2.469885976274464,8.3387809438947,8.551900479999613,NCI-H2087,NCIH2087,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2087_LUNG,NSCLC
ACH-000860,7.492414035336726,1.7949356628035362,7.9341036373619165,6.341096237957642,NCI-H358,NCIH358,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH358_LUNG,NSCLC
ACH-000929,8.766860143829545,5.281698250098829,8.915401388260412,8.613863116455487,NCI-H2110,NCIH2110,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2110_LUNG,NSCLC
ACH-000311,7.302227645681221,4.9740703670240265,8.631649992945023,8.639268345957685,NCI-H2122,NCIH2122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2122_LUNG,NSCLC
ACH-000390,7.742882021000409,5.95489421979703,8.913009056991898,6.125981653854716,LUDLU-1,LUDLU1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LUDLU1_LUNG,NSCLC
ACH-000496,4.558879853475442,4.780835001738229,7.153298682854903,2.2016338611696504,NCI-H1792,NCIH1792,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1792_LUNG,NSCLC
ACH-000062,3.534808661231747,3.727920454563199,5.811471030529836,3.91456452349394,RERF-LC-MS,RERFLCMS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCMS_LUNG,NSCLC
ACH-000878,4.805808348701467,3.656496370553495,7.320755428706466,4.676944359106912,HCC-15,HCC15,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC15_LUNG,NSCLC
ACH-000515,0.5945485495503542,0.2986583155645151,3.114367024952,5.587064898363171,HCC-33,HCC33,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,HCC33_LUNG,NET
ACH-003119,4.297191416565856,0.0,5.628481994383899,6.885574364371426,NCI-H1450,NCIH1450,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1450_LUNG,NET
ACH-000825,8.219700960636958,2.2839217723076173,7.353499735245657,2.403267722339301,HOP-92,HOP92,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,HOP92_LUNG,NSCLC
ACH-000743,2.983677694698067,0.4114262457264649,8.47585500126892,6.642123916153487,COR-L95,CORL95,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL95_LUNG,NET
ACH-000813,4.5496691707264905,5.516015147003665,5.012568673503056,6.904724928390404,T3M-10,T3M10,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,T3M10_LUNG,NSCLC
ACH-000257,1.831877241191673,1.5945485495503542,6.856363275069203,6.03760186043555,COR-L279,CORL279,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL279_LUNG,NET
ACH-000521,0.4329594072761062,6.769507291436245,1.070389327891398,4.77082904603249,NCI-H2030,NCIH2030,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2030_LUNG,NSCLC
ACH-000029,8.195347598322218,1.2448870591235344,8.249540152313218,8.29172326198192,HCC-827-GR5,HCC827GR5,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC827GR5_LUNG,NSCLC
ACH-000150,8.589388984726849,4.730639955916791,9.901002620158811,8.178166854784443,HCC2935,HCC2935,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC2935_LUNG,NSCLC
ACH-002531,8.845960418293286,7.442362984514697,8.178266467781853,8.262000855660977,SNU-2535,SNU2535,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU2535_LUNG,NSCLC
ACH-000869,6.552745936748446,6.80025280637239,8.339627347580395,6.771489469500598,NCI-H1568,NCIH1568,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1568_LUNG,NSCLC
ACH-003061,0.6507645591169022,3.967168607532628,5.731454807698346,5.179909090014935,NCI-H774,NCIH774,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH774_LUNG,NET
ACH-000431,0.4005379295837288,0.2265085298086797,1.879705766282288,0.3103401206121505,NCI-H1694,NCIH1694,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1694_LUNG,NET
ACH-001489,0.0,3.9439213265534856,5.876762490781555,6.878970510151082,COR-L32,CORL32,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,CORL32_LUNG,NSCLC
ACH-000703,1.070389327891398,2.550900664647523,7.445345986064033,6.948016736776081,DMS 79,DMS79,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS79_LUNG,NET
ACH-003152,0.0,1.560714954474479,0.2986583155645151,0.6780719051126377,ABM-T0796,ABMT0796,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000337,7.42097076340615,4.241840183564671,7.350497247084133,7.445014845868423,NCI-H3122,NCIH3122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH3122_LUNG,NSCLC
ACH-000444,3.582556003014061,2.875780063068488,1.6735564239901446,0.2986583155645151,LU99,LU99,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,LU99_LUNG,NSCLC
ACH-000298,1.0071955014042038,0.070389327891398,8.810507370724526,6.066735028732031,NCI-H2029,NCIH2029,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2029_LUNG,NET
ACH-000886,8.03842520687726,0.2509615735332187,7.349612971824522,7.553437305754408,NCI-H2009,NCIH2009,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2009_LUNG,NSCLC
ACH-000888,8.835545165508693,4.093391153253013,7.454587186925478,0.8953026213333066,NCI-H1793,NCIH1793,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1793_LUNG,NSCLC
ACH-000659,0.4436066514756145,0.6040713236688608,6.321206566969903,5.012568673503056,SCLC-21H,SCLC21H,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC21H_LUNG,NET
ACH-000030,8.783784026219614,4.351204277257994,9.117279460053922,8.294161218694752,PC-14,PC14,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,PC14_LUNG,NSCLC
ACH-000775,1.8237493603082728,1.38404980679516,8.956985924612576,7.583308464847678,NCI-H727,NCIH727,Cell Line,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,NCIH727_LUNG,NET
ACH-000559,1.232660756790275,0.925999418556223,6.854993016757,6.774128144293584,NCI-H1836,NCIH1836,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1836_LUNG,NET
ACH-000510,0.1634987322828795,4.335569005556748,1.819668183496456,0.5849625007211562,NCI-H1299,NCIH1299,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1299_LUNG,NSCLC
ACH-000844,2.572889668420581,1.3617683594191536,8.439249118590352,6.36387192485753,DMS 454,DMS454,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS454_LUNG,NET
ACH-002497,4.85598969730848,6.128458384146928,5.420549772116318,4.797531839571962,NCI-H920,NCIH920,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH920_LUNG,NSCLC
ACH-000925,7.058099988493412,3.0461417816447205,9.36187799586609,7.783914954166059,DV-90,DV90,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,DV90_LUNG,NSCLC
ACH-000143,4.371558862611963,1.0285691521967708,0.4750848829487829,6.555049212807179,HCC2429,HCC2429,Cell Line,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,HCC2429_LUNG,NSCLC
ACH-001591,0.0426443374084937,0.6870606883398922,6.861583231807768,5.439955517478156,NCI-H1417,NCIH1417,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1417_LUNG,NET
ACH-000382,0.6599245584023783,0.2750070474998697,7.717676423066396,6.3275077345872095,COR-L24,CORL24,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL24_LUNG,NET
ACH-002035,4.531069492725954,8.691569059404342,1.5410191531335593,5.317955218312439,LCAM1,LCAM1,Cell Line,Lung,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,NSCLCPD,LCAM1_LUNG,NSCLC
ACH-000695,0.6507645591169022,0.8155754288625725,4.310340120612151,6.04023491675437,COR-L47,CORL47,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL47_LUNG,NET
ACH-000015,0.1505596765753814,0.2509615735332187,1.15704371014558,0.1110313123887439,NCI-H1581,NCIH1581,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1581_LUNG,NSCLC
ACH-000791,10.143893360756412,5.400879436282184,9.783653086390071,8.146186791490736,RERF-LC-Ad1,RERFLCAD1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCAD1_LUNG,NSCLC
ACH-001075,9.616107697600578,6.184081890370264,8.258141995893771,8.146034009482275,NCI-H292,NCIH292,Cell Line,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,LUMEC,NCIH292_LUNG,NSCLC
ACH-000900,0.4436066514756145,7.321928094887363,1.292781749227846,0.7824085649273732,NCI-H23,NCIH23,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH23_LUNG,NSCLC
ACH-000666,4.462706750670158,6.82781902461732,1.263034405833794,0.4222330006830478,NCI-H1355,NCIH1355,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1355_LUNG,NSCLC
ACH-000872,5.92837032301897,6.211985606275216,4.513490745588118,4.351910961103077,HCC515,HCC515,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC515_LUNG,NSCLC
ACH-000121,1.3448284969974411,6.211985606275216,7.188737187185129,4.460087240116833,NCI-H2405,NCIH2405,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2405_LUNG,NSCLC
ACH-000781,1.7782085763980875,6.077883864438322,1.599317793698226,4.017921907997263,NCI-H2023,NCIH2023,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2023_LUNG,NSCLC
ACH-000830,0.3895668117627256,0.2387868595871165,6.280956313831056,4.477677327565307,NCI-H1436,NCIH1436,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1436_LUNG,NET
