symbol	ensembl	mean_within_sample_spearman	detection_frac
RPL31	ENSG00000071082	-0.2852091642878579	0.959445037353255
RPS24	ENSG00000138326	-0.15720114770841886	0.9530416221985059
RPL21	ENSG00000122026	-0.14073399335692072	0.9562433297758804
RPL37	ENSG00000145592	-0.1208561963676662	0.9551760939167556
RPL35	ENSG00000136942	-0.11764398052903642	0.9498399146211313
RPL26	ENSG00000161970	-0.11622292909544545	0.9423692636072573
RPS3A	ENSG00000145425	-0.11414270049688262	0.964247598719317
RPL39	ENSG00000198918	-0.10746480128189762	0.9525080042689434
RPS25	ENSG00000118181	-0.10135442740988536	0.9589114194236926
RPLP0	ENSG00000089157	-0.0993025803362175	0.9471718249733191
RPL34	ENSG00000109475	-0.09401751004686143	0.9567769477054429
RPL41	ENSG00000229117	-0.08980479716556374	0.983991462113127
RPL11	ENSG00000142676	-0.0890820337556393	0.9770544290288153
RPS20	ENSG00000008988	-0.0888025225783847	0.9685165421558164
RPL27A	ENSG00000166441	-0.08798717153136196	0.967982924226254
RPS15A	ENSG00000134419	-0.08651825530527087	0.964247598719317
RPL14	ENSG00000188846	-0.08218821813397328	0.9375667022411953
RPS6	ENSG00000137154	-0.08208943518081158	0.9583778014941302
RPS13	ENSG00000110700	-0.08161719676636894	0.9402347918890075
RPL38	ENSG00000172809	-0.0780439206668019	0.923692636072572
RPS4X	ENSG00000198034	-0.07295041603688804	0.96051227321238
RPL10	ENSG00000147403	-0.0710418851753554	0.9909284951974386
RPL35A	ENSG00000182899	-0.06953523734104582	0.9381003201707577
RPS27A	ENSG00000143947	-0.06692375048032838	0.9690501600853789
RPS27	ENSG00000177954	-0.06675682360458697	0.9791889007470651
RPL32	ENSG00000144713	-0.06604790213151177	0.9685165421558164
RPS17	ENSG00000182774	-0.06556517862503591	0.9402347918890075
RPL13	ENSG00000167526	-0.06467411656049547	0.9807897545357525
RPL12	ENSG00000197958	-0.06226031580830173	0.9589114194236926
RPS15	ENSG00000115268	-0.05976896310519101	0.9626467449306296
RPS11	ENSG00000142534	-0.05924070766959192	0.9370330843116329
RPL22	ENSG00000116251	-0.057310678846895634	0.9167556029882604
UQCRB	ENSG00000156467	-0.056590176531588654	0.8191035218783351
HSPB1	ENSG00000106211	-0.05514187547715228	0.8868729989327642
RPS23	ENSG00000186468	-0.05264568592440448	0.9578441835645678
EEF1A1	ENSG00000156508	-0.05007480937384441	0.9802561366061899
RPL27	ENSG00000131469	-0.05001055505409513	0.9295624332977588
FTH1	ENSG00000167996	-0.04975524480034173	0.9967982924226254
RPL30	ENSG00000156482	-0.04720394230153101	0.9535752401280683
RPLP2	ENSG00000177600	-0.04703105342764564	0.9711846318036286
