embedding	origin	n_samples	median_delta	n_pos	p_wilcoxon
gf_v1_holdout_loso	mBrain	10	0.3081740129366517	10	0.001953125
gf_v1_holdout_loso	mLN	6	0.4337466778424688	6	0.03125
gf_v1_holdout_loso	tL/B	4	0.2983549902960658	4	
