model	rank	ensembl	symbol	cosine_to_high_minus_low	n_token_observations
Geneformer-V1-10M-holdout	1	ENSG00000197780	TAF13	0.3313543845167257	210
Geneformer-V1-10M-holdout	2	ENSG00000122218	COPA	0.3265541272158905	439
Geneformer-V1-10M-holdout	3	ENSG00000160710	ADAR	0.324834774621117	584
Geneformer-V1-10M-holdout	4	ENSG00000100360	IFT27	0.3101952473317806	404
Geneformer-V1-10M-holdout	5	ENSG00000204428	LY6G5C	0.30950567790273537	37
Geneformer-V1-10M-holdout	6	ENSG00000148290	SURF1	0.3083823412803534	685
Geneformer-V1-10M-holdout	7	ENSG00000125629	INSIG2	0.3065883201609497	328
Geneformer-V1-10M-holdout	8	ENSG00000164008	C1orf50	0.305806552883583	303
Geneformer-V1-10M-holdout	9	ENSG00000196365	LONP1	0.3030791433203008	247
Geneformer-V1-10M-holdout	10	ENSG00000114738	MAPKAPK3	0.30205220794216886	347
Geneformer-V1-10M-holdout	11	ENSG00000213015	ZNF580	0.30024378983549976	292
Geneformer-V1-10M-holdout	12	ENSG00000103512	NOMO1	0.29915035238383664	115
Geneformer-V1-10M-holdout	13	ENSG00000141279	NPEPPS	0.29786357804751185	493
Geneformer-V1-10M-holdout	14	ENSG00000078808	SDF4	0.29738149117426477	738
Geneformer-V1-10M-holdout	15	ENSG00000161202	DVL3	0.29673081894160785	220
Geneformer-V1-10M-holdout	16	ENSG00000162377	COA7	0.29671412770210065	112
Geneformer-V1-10M-holdout	17	ENSG00000115525	ST3GAL5	0.29656174184801753	209
Geneformer-V1-10M-holdout	18	ENSG00000139546	TARBP2	0.29618712276011977	251
Geneformer-V1-10M-holdout	19	ENSG00000146676	PURB	0.2960814624727527	292
Geneformer-V1-10M-holdout	20	ENSG00000169217	CD2BP2	0.29607934325132695	497
Geneformer-V1-10M-holdout	21	ENSG00000090971	NAT14	0.29603405366812163	120
Geneformer-V1-10M-holdout	22	ENSG00000135945	REV1	0.2946485660172698	138
Geneformer-V1-10M-holdout	23	ENSG00000157600	TMEM164	0.29462004019859644	65
Geneformer-V1-10M-holdout	24	ENSG00000126883	NUP214	0.2945374773692001	64
Geneformer-V1-10M-holdout	25	ENSG00000175283	DOLK	0.294100775862272	92
Geneformer-V1-10M-full	1	ENSG00000197780	TAF13	0.32957454281366794	210
Geneformer-V1-10M-full	2	ENSG00000122218	COPA	0.32643683498756243	439
Geneformer-V1-10M-full	3	ENSG00000160710	ADAR	0.3250992685265015	584
Geneformer-V1-10M-full	4	ENSG00000100360	IFT27	0.3095140943287148	404
Geneformer-V1-10M-full	5	ENSG00000204428	LY6G5C	0.30851645415284257	37
Geneformer-V1-10M-full	6	ENSG00000148290	SURF1	0.30850223723845893	685
Geneformer-V1-10M-full	7	ENSG00000125629	INSIG2	0.30664278429549996	328
Geneformer-V1-10M-full	8	ENSG00000164008	C1orf50	0.3055229246052061	303
Geneformer-V1-10M-full	9	ENSG00000196365	LONP1	0.3023802535296919	247
Geneformer-V1-10M-full	10	ENSG00000114738	MAPKAPK3	0.3013523654305558	347
Geneformer-V1-10M-full	11	ENSG00000213015	ZNF580	0.29965899074957036	292
Geneformer-V1-10M-full	12	ENSG00000103512	NOMO1	0.2981288620085586	115
Geneformer-V1-10M-full	13	ENSG00000141279	NPEPPS	0.2981011536516113	493
Geneformer-V1-10M-full	14	ENSG00000115525	ST3GAL5	0.2970132890894905	209
Geneformer-V1-10M-full	15	ENSG00000078808	SDF4	0.29684473332020084	738
Geneformer-V1-10M-full	16	ENSG00000139546	TARBP2	0.2965485754660595	251
Geneformer-V1-10M-full	17	ENSG00000162377	COA7	0.2959355772730573	111
Geneformer-V1-10M-full	18	ENSG00000169217	CD2BP2	0.29566203476981645	497
Geneformer-V1-10M-full	19	ENSG00000090971	NAT14	0.29549190688521493	120
Geneformer-V1-10M-full	20	ENSG00000146676	PURB	0.2952975222121555	292
Geneformer-V1-10M-full	21	ENSG00000161202	DVL3	0.2951136008801744	220
Geneformer-V1-10M-full	22	ENSG00000157600	TMEM164	0.2949702624942109	65
Geneformer-V1-10M-full	23	ENSG00000175283	DOLK	0.29418682745361435	92
Geneformer-V1-10M-full	24	ENSG00000119231	SENP5	0.2930523160049949	87
Geneformer-V1-10M-full	25	ENSG00000135945	REV1	0.2929256038963136	138
