sample	origin	n_malignant	n_cldn4_pos	n_cldn4_neg	cldn4_pct	contrast_eligible	n_preselected	n_qc_pass	n_embedded	n_embedded_high	n_embedded_low	in_paired_test
BRONCHO_11	mLN	203	164	39	80.78817733990148	True	109	109	89	50	39	True
BRONCHO_58	tL/B	460	332	128	72.17391304347827	True	140	140	100	50	50	True
EBUS_06	tL/B	1186	844	342	71.16357504215851	True	140	140	100	50	50	True
EBUS_10	mLN	367	310	57	84.46866485013624	True	127	127	100	50	50	True
EBUS_12	mLN	257	227	30	88.32684824902724	True	100	100	80	50	30	True
EBUS_13	mLN	376	1	375	0.26595744680851063	False	0	0	0	0	0	False
EBUS_15	mLN	256	121	135	47.265625	True	140	140	100	50	50	True
EBUS_19	mLN	217	204	13	94.00921658986175	True	83	83	63	50	13	True
EBUS_28	tL/B	4640	4470	170	96.33620689655173	True	140	140	100	50	50	True
EBUS_49	tL/B	114	56	58	49.12280701754386	True	114	114	100	50	50	True
EBUS_51	mLN	1285	1097	188	85.36964980544747	True	140	140	100	50	50	True
NS_02	mBrain	181	106	75	58.56353591160221	True	140	140	100	50	50	True
NS_03	mBrain	2713	2527	186	93.14412089937339	True	140	140	100	50	50	True
NS_04	mBrain	1229	1098	131	89.34092758340114	True	140	140	100	50	50	True
NS_06	mBrain	83	50	33	60.24096385542169	True	83	83	83	50	33	True
NS_07	mBrain	5108	4618	490	90.40720438527799	True	140	140	100	50	50	True
NS_12	mBrain	2811	2427	384	86.33938100320171	True	140	140	100	50	50	True
NS_13	mBrain	1352	979	373	72.41124260355029	True	140	140	100	50	50	True
NS_16	mBrain	79	9	70	11.39240506329114	True	79	79	59	9	50	True
NS_17	mBrain	1112	981	131	88.21942446043165	True	140	140	100	50	50	True
NS_19	mBrain	755	507	248	67.1523178807947	True	140	140	100	50	50	True
