program	family	n_samples	median_spearman_vs_gf_holdout_loso	p_wilcoxon	q_bh
IFN	program	19	0.4685314685314686	5.340576171875e-05	0.00011348724365234375
MHC-I/APM	program	19	0.2828782108419091	0.000125885009765625	0.00023778279622395834
TJ	program	19	0.45301757066462944	5.340576171875e-05	0.00011348724365234375
chemokine	program	19	0.28143918927274864	0.000644683837890625	0.0010959625244140625
EMT	program	19	0.5134916133214489	7.62939453125e-06	2.593994140625e-05
hypoxia	program	19	0.4589118198874297	2.6702880859375e-05	7.565816243489583e-05
G2M	program	19	0.4293397358943577	7.62939453125e-06	2.593994140625e-05
E2F	program	19	0.28702346041055715	0.000789642333984375	0.0012203563343394887
TNFA	program	19	0.6649155722326455	3.814697265625e-06	2.1616617838541668e-05
inflammatory	program	19	0.5429666119321293	3.814697265625e-06	2.1616617838541668e-05
apical_junction	program	19	0.5437970991005592	3.814697265625e-06	2.1616617838541668e-05
barrier_keratin	program	19	-0.13472642344183675	0.8595733642578125	0.8595733642578125
AT2	program	19	0.18796992481203004	0.014068603515625	0.019930521647135418
AT1	program	16	0.010720501437610937	0.40374755859375	0.45758056640625
club	program	14	-0.0039671150897607615	0.625732421875	0.6648406982421875
basal	program	17	0.10885452781217093	0.023223876953125	0.030369685246394232
ciliated	program	18	0.05715640653604845	0.24620819091796875	0.2989670889718192
CLDN4	control	19	0.24937034176348305	9.5367431640625e-05	
TACSTD2	control	19	0.24393902286547287	0.000789642333984375	
