sample	origin	n_high	n_low	median_umi_high	median_umi_low	median_genes_high	median_genes_low
BRONCHO_11	mLN	50	39	19094.0	1812.0	4142.0	708.0
BRONCHO_58	tL/B	50	50	19546.0	1777.0	3757.5	634.0
EBUS_06	tL/B	50	50	8548.5	1769.0	2778.5	849.5
EBUS_10	mLN	50	50	27873.0	2423.0	4412.0	1022.0
EBUS_12	mLN	50	30	45502.0	3255.5	6392.0	1066.5
EBUS_15	mLN	50	50	39276.5	1868.5	5497.0	791.5
EBUS_19	mLN	50	13	28174.5	2049.0	5321.5	780.0
EBUS_28	tL/B	50	50	7960.5	2858.0	2216.0	1060.5
EBUS_49	tL/B	50	50	22049.5	2775.5	4236.5	868.5
EBUS_51	mLN	50	50	18578.0	3189.0	4052.0	1128.5
NS_02	mBrain	50	50	23262.5	2400.0	4242.0	877.5
NS_03	mBrain	50	50	15800.0	2755.5	3616.0	1017.0
NS_04	mBrain	50	50	19574.5	1352.0	4072.0	650.0
NS_06	mBrain	50	33	15216.0	1781.0	2415.0	638.0
NS_07	mBrain	50	50	8212.5	2156.5	2557.0	905.5
NS_12	mBrain	50	50	13950.0	1230.5	3788.0	678.0
NS_13	mBrain	50	50	7633.5	1727.5	2115.0	941.5
NS_16	mBrain	9	50	15784.0	10877.0	4015.0	2758.0
NS_17	mBrain	50	50	13127.5	1328.5	3595.5	783.0
NS_19	mBrain	50	50	10035.5	2180.5	3015.5	1060.5
