symbol	ensembl	mean_within_sample_spearman	detection_frac
NEAT1	ENSG00000245532	0.6253659242625166	0.6498316498316499
MALAT1	ENSG00000251562	0.6006676882213139	0.8973063973063973
WSB1	ENSG00000109046	0.4749702654642323	0.5235690235690236
XIST	ENSG00000229807	0.45889803256669043	0.132996632996633
MUC1	ENSG00000185499	0.4541738548572118	0.5740740740740741
RNF213	ENSG00000173821	0.45366281400840786	0.32491582491582494
HOOK2	ENSG00000095066	0.4495116059449116	0.3686868686868687
POLR2J3	ENSG00000285437	0.43055292362602876	0.335016835016835
N4BP2L2	ENSG00000244754	0.4256031999014116	0.3771043771043771
MT-ND5	ENSG00000198786	0.42157014604105514	0.6447811447811448
KLF6	ENSG00000067082	0.41754900685030966	0.44276094276094274
MT-ND4	ENSG00000198886	0.4154824167455461	0.8367003367003367
RBM39	ENSG00000131051	0.41234857574804495	0.569023569023569
KCNQ1OT1	ENSG00000269821	0.4004817068677088	0.2558922558922559
SON	ENSG00000159140	0.40029158397796694	0.4595959595959596
NFKBIZ	ENSG00000144802	0.4002713098876116	0.2777777777777778
VMP1	ENSG00000062716	0.3972489735968012	0.4882154882154882
CCNL1	ENSG00000163660	0.39466780643981747	0.44276094276094274
MT-ND2	ENSG00000198763	0.3932720297607353	0.8367003367003367
ELF3	ENSG00000163435	0.39080443805835813	0.6397306397306397
LPP	ENSG00000145012	0.3905026738994162	0.3114478114478115
CELF1	ENSG00000149187	0.3893886338406323	0.29797979797979796
MT-CO2	ENSG00000198712	0.38762985160756463	0.8855218855218855
MUC4	ENSG00000145113	0.3875343941655431	0.14309764309764308
JUN	ENSG00000177606	0.3861550183754668	0.6144781144781145
SF1	ENSG00000168066	0.384518534329703	0.4057239057239057
ABCC3	ENSG00000108846	0.3844982683204114	0.2727272727272727
MT-CO3	ENSG00000198938	0.38409208633216013	0.8804713804713805
ARGLU1	ENSG00000134884	0.38195817833595397	0.34175084175084175
MT-CO1	ENSG00000198804	0.3806875950035142	0.8720538720538721
MT-CYB	ENSG00000198727	0.3783914698915779	0.7845117845117845
ZFP36L1	ENSG00000185650	0.3772491822351542	0.5353535353535354
MT-ND3	ENSG00000198840	0.37563215568193536	0.7037037037037037
FOSB	ENSG00000125740	0.3720884595019664	0.37037037037037035
DDX17	ENSG00000100201	0.3720270571962516	0.3720538720538721
PGM2L1	ENSG00000165434	0.3718929225622767	0.2474747474747475
AKAP13	ENSG00000170776	0.37184997357399624	0.26430976430976433
ITGA3	ENSG00000005884	0.3715096459779852	0.3114478114478115
ADAR	ENSG00000160710	0.3694282722486895	0.3047138047138047
NIPBL	ENSG00000164190	0.3691456178912799	0.2053872053872054
