program	family	n_samples	median_spearman_vs_gf_holdout_loso	p_wilcoxon	q_bh
IFN	program	20	0.7796519651965196	1.9073486328125e-06	2.494225135216346e-06
MHC-I/APM	program	20	0.5400662159631784	1.9073486328125e-06	2.494225135216346e-06
TJ	program	20	0.8254125412541253	1.9073486328125e-06	2.494225135216346e-06
chemokine	program	20	0.44777161669292803	1.9073486328125e-06	2.494225135216346e-06
EMT	program	20	0.7630619632063151	1.9073486328125e-06	2.494225135216346e-06
hypoxia	program	20	0.7223402340234022	1.9073486328125e-06	2.494225135216346e-06
G2M	program	20	0.7161656165616561	1.9073486328125e-06	2.494225135216346e-06
E2F	program	20	0.6859405940594059	1.9073486328125e-06	2.494225135216346e-06
TNFA	program	20	0.7475907590759074	1.9073486328125e-06	2.494225135216346e-06
inflammatory	program	20	0.7918631863186318	1.9073486328125e-06	2.494225135216346e-06
apical_junction	program	20	0.814245053718855	1.9073486328125e-06	2.494225135216346e-06
barrier_keratin	program	20	0.35376477474022333	1.9073486328125e-06	2.494225135216346e-06
AT2	program	20	0.3111569790912792	3.814697265625e-06	4.323323567708333e-06
AT1	program	19	0.3627233699182574	1.1444091796875e-05	1.2159347534179688e-05
club	program	17	0.21796104843448777	0.000213623046875	0.000213623046875
basal	program	20	0.34506662871346405	3.814697265625e-06	4.323323567708333e-06
ciliated	program	20	0.368608715019358	1.9073486328125e-06	2.494225135216346e-06
CLDN4	control	20	0.5879076063162485	1.9073486328125e-06	
TACSTD2	control	20	0.46290188911755203	3.814697265625e-06	
