symbol	ensembl	mean_within_sample_spearman	detection_frac
TAF10	ENSG00000166337	0.5749413473161117	0.35592315901814303
MTDH	ENSG00000147649	0.5676816382162337	0.5410885805763074
CLDN4	ENSG00000189143	0.5659427082643076	0.5117395944503735
VWA1	ENSG00000179403	0.5612427873875367	0.31963713980789754
TSR3	ENSG00000007520	0.5561039214185871	0.35485592315901815
DSG2	ENSG00000046604	0.5556751790843424	0.37513340448239063
ACBD3	ENSG00000182827	0.5498236526782037	0.3425827107790822
ATP2A2	ENSG00000174437	0.5490440424592484	0.3633938100320171
GNAI2	ENSG00000114353	0.5458199724878386	0.3697972251867663
RBM47	ENSG00000163694	0.5458001291559236	0.4183564567769477
ECI1	ENSG00000167969	0.5455460347913973	0.323906083244397
CTSZ	ENSG00000101160	0.5439822125114395	0.46905016008537886
TMEM54	ENSG00000121900	0.5427593091293138	0.4103521878335112
F11R	ENSG00000158769	0.5413654440025927	0.39861259338313765
AP3D1	ENSG00000065000	0.5357658754555169	0.37459978655282816
GANAB	ENSG00000089597	0.5338437036586293	0.35165421558164356
COPRS	ENSG00000172301	0.5336320476244015	0.33564567769477055
CLTC	ENSG00000141367	0.5328713642194236	0.45197438633938103
UBE2M	ENSG00000130725	0.5323322534346691	0.31536819637139807
CTDNEP1	ENSG00000175826	0.5319852171335229	0.35699039487726786
MIDN	ENSG00000167470	0.5305450349520229	0.4418356456776948
SERINC3	ENSG00000132824	0.5294649801201963	0.3591248665955176
NR2F6	ENSG00000160113	0.5294250352152065	0.3415154749199573
UBE2R2	ENSG00000107341	0.5281224821297587	0.35538954108858056
GLRX5	ENSG00000182512	0.527174489665491	0.368196371398079
TXNL4A	ENSG00000141759	0.5267525002404174	0.3975453575240128
HACD3	ENSG00000074696	0.5261985877800125	0.3281750266808965
MAGT1	ENSG00000102158	0.5249978458836891	0.3030949839914621
KPNB1	ENSG00000108424	0.5239655071202078	0.4658484525080043
CDH1	ENSG00000039068	0.5236250450291403	0.4455709711846318
LRP10	ENSG00000197324	0.5231688598767115	0.4434364994663821
MTPN	ENSG00000105887	0.5220188342840906	0.4087513340448239
UBE2H	ENSG00000186591	0.5217444661128589	0.40981856990394877
RNF145	ENSG00000145860	0.520594339891673	0.4637139807897545
DNAJC21	ENSG00000168724	0.5204227195748063	0.371931696905016
METRN	ENSG00000103260	0.5200349303749994	0.30042689434364994
DHCR24	ENSG00000116133	0.5197284937463176	0.39007470651013876
CTNND1	ENSG00000198561	0.5192537281634823	0.3836712913553895
LMAN1	ENSG00000074695	0.5190845169568961	0.39807897545357523
BCL7C	ENSG00000099385	0.5189370521458028	0.4183564567769477
