metric,label,metric_class,n_complete,marginal_spearman_rho,marginal_p_value,purity_partial_spearman_rho,partial_95ci_low,partial_95ci_high,partial_p_value,partial_bh_q_value_immune_family
IMSIG_B_CELLS,B cells,immune_primary,169,-0.32165979,2.0041239e-05,-0.24011668,-0.37779148,-0.092053596,0.0017183823,0.0019638655
IMSIG_INTERFERON,interferon,immune_primary,169,-0.13015763,0.091666087,-0.063148666,-0.21252642,0.089113164,0.41610264,0.41610264
IMSIG_MACROPHAGES,macrophages,immune_primary,169,-0.46232563,2.4862093e-10,-0.40814003,-0.5269841,-0.27364022,3.9820274e-08,1.061874e-07
IMSIG_MONOCYTES,monocytes,immune_primary,169,-0.4401266,2.1291117e-09,-0.38135328,-0.50368026,-0.24403417,3.3953555e-07,5.4325688e-07
IMSIG_NEUTROPHILS,neutrophils,immune_primary,169,-0.50300085,3.1832452e-12,-0.45637167,-0.56849869,-0.32759867,5.0611579e-10,4.0489263e-09
IMSIG_NK_CELLS,NK cells,immune_primary,169,-0.47100094,1.0291576e-10,-0.42133557,-0.53839858,-0.28831889,1.2900097e-08,5.1600387e-08
IMSIG_PLASMA_CELLS,plasma cells,immune_primary,169,-0.3294963,1.2173985e-05,-0.28536308,-0.41868293,-0.14000234,0.00017727312,0.00023636416
IMSIG_T_CELLS,T cells,immune_primary,169,-0.45539754,4.9411524e-10,-0.40413246,-0.52350894,-0.26919458,5.5543994e-08,1.1108799e-07
IMSIG_PROLIFERATION,proliferation,nonimmune_control,169,0.12209487,0.1137922,0.1365033,-0.01522108,0.28208301,0.077674181,
IMSIG_TRANSLATION,translation,nonimmune_control,169,0.23528417,0.0020745888,0.2110922,0.061652923,0.35127475,0.0060205399,
