Tube Number,Metal Tag,Target,Clean_Target,Antibody Clone,Stock Concentration,Final Concentration / Dilution,uL to add,full,ilastik,deepcell
0,Ir191,Iridium,DNA1,Ir,,,,1,1,1
0,Ir193,Iridium,DNA2,Ir,,,,1,1,1
2101,Y89,Myeloperoxidase MPO,MPO,Polyclonal MPO,500,4 ug/mL,0.8,1,0,
2113,In113,Histone H3,HistoneH3,D1H2,500,1 ug/mL,0.2,1,1,1
1914,In115,SMA,SMA,1A4,500,0.25 ug/mL,0.05,1,0,
2079,Pr141,CD16,CD16,EPR16784,500,5 ug/mL,1,1,0,
2095,Nd142,CD38,CD38,EPR4106,500,2.5 ug/mL,0.5,1,0,
2087,Nd143,HLA-DR,HLADR,TAL 1B5,500,1 ug/mL,0.2,1,0,
2088,Nd145,CD15,CD15,HI98,500,4 ug/mL,0.8,1,0,
1893,Nd145,CD15,CD15,HI98,500,4 ug/mL,0.8,0,0,
2089,Nd146,CD45RA,CD45RA,HI100,500,4 ug/mL,0.8,1,0,
1651,Nd146,CD45RA,CD45RA,HI100,500,4 ug/mL,0.8,0,0,
2081,Sm147,CD163,CD163,EDHu-1,500,4.5 ug/mL,0.9,1,1,2
2096,Nd148,Beta-2 Microglobulin,B2M,D8P1H,500,5 ug/mL,1,1,0,
1890,Nd148,Beta-2 Microglobulin,B2M,D8P1H,500,5 ug/mL,1,0,0,
2114,Sm149,CD20,CD20,L26,500,4 ug/mL,0.8,1,1,2
1813,Sm149,CD20,CD20,L26,500,4 ug/mL,0.8,0,0,
2097,Nd150,CD68,CD68,KP1,500,4 ug/mL,0.8,1,0,
2115,Eu151,Indoleamine 2- 3-dioxygenase (IDO),Ido1,SP260,500,5 ug/mL,1,1,0,
2116,Eu153,LAG-3,LAG3,D2G4O,500,7 ug/mL,14.000.000.000.000.000,1,0,
1865,Eu153,LAG-3,LAG33,D2G4O,500,7 ug/mL,14.000.000.000.000.000,0,0,
2117,Sm154,CD11c,CD11c,D3V1E,500,5 ug/mL,1,1,0,
2098,Sm154,CD11c,CD11c,D3V1E,500,5 ug/mL,1,0,0,
1896,Gd155,CD279 (PD-1),PD1,D4W2J,500,5 ug/mL,1,1,0,
2082,Gd156,CD140b (PDGF Receptor beta),PDGFRb,Y92,500,5 ug/mL,1,1,0,
2090,Gd158,CD7,CD7,EPR4242,500,1.75 ug/mL,0.35,1,0,
1953,Tb159,Granzyme B,GrzB,D6E9W,500,5 ug/mL,1,1,0,
2083,Gd160,CD274 (B7-H1- PD-L1),PDL1,73-10,500,5 ug/mL,1,1,0,
2118,Dy161,TCF1/TCF7,TCF7,C63D9,500,2.5 ug/mL,0.5,1,0,
1563,Dy161,TCF1/TCF7,TCF7,C63D9,500,2.5 ug/mL,0.5,0,0,
2084,Dy162,CD45RO,CD45RO,UCHL1,500,5 ug/mL,1,1,0,
2076,Dy163,FOXP3,FOXP3,236A/E7,500,5 ug/mL,1,1,0,
2085,Dy164,CD278 (ICOS),ICOS,D1K2T,500,5 ug/mL,1,1,0,
1922,Dy164,CD278 (ICOS),ICOS,D1K2T,500,5 ug/mL,1,0,0,
2091,Ho165,CD8a,CD8a,C8/144B,500,2 ug/mL,0.4,1,1,2
2119,Er166,Carbonic Anhydrase IX,CarbonicAnhydrase,polyclonal_CA9_AF2188,500,3 ug/mL,0.6,1,0,
1796,Er166,Carbonic Anhydrase IX,CarbonicAnhydrase,polyclonal_CA9_AF2188,500,3 ug/mL,0.6,0,0,
2120,Er167,CD33,CD33,996810,500,1.25 ug/mL,0.25,1,0,
2099,Er168,Ki-67,Ki67,B56,500,4 ug/mL,0.8,1,0,
2100,Tm169,VISTA,VISTA,D1L2G,500,2.5 ug/mL,0.5,1,0,
1955,Er170,CD40,CD40,EPR20735,500,2.5 ug/mL,0.5,1,0,
2077,Yb171,CD4,CD4,EPR6855,500,5 ug/mL,1,1,0,
2092,Yb172,CD14,CD14,SP192,500,2 ug/mL,0.4,1,0,
1556,Yb172,CD14,CD14,SP192,500,2 ug/mL,0.4,0,0,
2093,Yb173,E-Cadherin / P-Cadherin,Ecad,36/E-Cadherin,500,1.5 ug/mL,0.3,1,1,2
2086,Yb174,CD303,CD303,Polyclonal_DLEC / CLEC4C / BDCA-2,500,5 ug/mL,1,1,0,
2094,Lu175,CD206 (MMR),CD206,685645,500,4.5 ug/mL,0.9,1,0,
1954,Lu175,CD206 (MMR),CD206,685645,500,4.5 ug/mL,0.9,0,0,
2078,Yb176,cleaved PARP,cleavedPARP,F21-852,500,3 ug/mL,0.6,1,0,
2080,Nd144,CD27,CD27,Polyclonal_CD27 / TNFRSF7,500,7.5 ug/mL,01. Mai,1,0,
1581,Nd144,CD27,CD27,Polyclonal_CD27 / TNFRSF7,500,7.5 ug/mL,01. Mai,0,0,
2075,Sm152,CD3,CD3,polyclonal_A0452,500,5 ug/mL,1,1,1,2
1936,Sm152,CD3,CD3,polyclonal_A0452,500,5 ug/mL,1,0,0,
