row	limb	assay_class	dataset	endpoint	number	supports_story	caveat	provenance_pr	provenance_path
1	cold_ICI	literature_human	Skoulidis2018_SU2C	KL vs KP vs K-only ORR	KL 7.4%; KP 35.7%; K-only 28.6%; P<0.001	YES	Published; not recomputed	literature	PMID:29773717
2	cold_TME	literature_human_IHC	Skoulidis2018_PROSPECT	STK11mut CD3/CD8 density	CD3 P=0.0019; CD8 P=0.0072	YES	Published IHC; no local matrix	literature	PMID:29773717
3	cold_ICI_public	bulk_genotype_DCB	Hellmann2018+Rizvi2018_KRAS_restricted	STK11 co-mut vs WT DCB OR	OR 0.24 / 0.38; pooled MH OR 0.36	YES_direction	Fisher p 0.19 / 0.089; small n	49	results/fable_stk11/tables/ici_kras_restricted_dcb.csv; ici_genotype_dcb_pooled_MH.csv (whole-cohort MH STK11=0.69; KRAS-restricted rates in ici_kras_restricted_dcb)
4	Tacstd2_Cldn4_high_LOCK	mouse_cellline_bulk	GSE137244_KL5_vs_KP5	mean log2(FPKM+1) KL-KP	Tacstd2 +3.238; Cldn4 +5.570; MW p=0.00794; complete separation	YES_LOCK	Cell-line libraries; not tumor TME	606	methods/gse137244_kl_kp_deep/FINDING.md; handoff lock
5	Tacstd2_high_support	mouse_tumor_bulk	GSE179500_Lkb1XTR_p53WT	LKB1-off vs restored Tacstd2	author padj=0.032; reanalysis MW p=0.003 n=10 vs 7; log2FC ~+0.54	YES_modest	KT never-lost ns p=0.45	113	results/rework/KL_real/README.md
6	Cldn4_high_support	mouse_tumor_scRNA	GSE179502_sorted_neoplastic	Cldn4 on Lkb1 restore	mouse mean 0.300→0.143; complete rank sep; Welch p=0.036	YES_direction	Unit=mouse n=3 vs 3; MW floor 0.1	530	methods/seurat_gse179502_cldn4/FINDING.md
7	Tacstd2_KL_epi_partial	mouse_tumor_scRNA	GSE179502	Tacstd2+ fraction / restore	54.7% Tacstd2+; ~14% high; NonRestored vs Restored MW p=0.10	PARTIAL	Underpowered; immune FACS-depleted	113	results/rework/KL_real/README.md
8	Tacstd2_compartment_only	mouse_tumor_scRNA	GSE180963	Tacstd2 epi vs immune; immune fraction	KL epi ~63–65% Tacstd2+ vs immune ~4%; immune ~82% both genotypes	SELECTIVITY_only	n=1 mouse/genotype; cold not as immune fraction	137;113	results/w200/GSE180963/README.md; results/rework/KL_real/README.md
9	human_STK11_antigen_REVERSE	human_tumor_bulk	TCGA-LUAD	STK11mut vs WT TACSTD2/CLDN4	TACSTD2 log2FC -0.51 FDR 1e-4; CLDN4 -0.47 FDR ~3e-5; KRAS+STK11 -0.71/-0.68	NO_reverse	Do not claim human bulk high	49	results/fable_stk11/tables/tcga_genotype_vs_expression.csv; tcga_kras_comutation_vs_expression.csv
10	human_STK11_scRNA_no_claim	human_scRNA	GSE280232	TACSTD2 in EPCAM+ after neoadjuvant ICB	epi 72–85% TACSTD2+; STK11mut vs wt not powered	NO_genotype_claim	Mostly sorted T cells ~0% TACSTD2	113	results/rework/KL_real/README.md
