cohort	histology	layer	predictor	endpoint	adjust	n	rho	p	ci_lo	ci_hi	note
TCGA	LUAD	bulk_RNA	CLDN4	CD8A	none	515	-0.11828312656028608	0.007205637863577844	-0.20261692732272826	-0.03220770869593589	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUAD	bulk_RNA	CLDN4	CYT	none	515	-0.1665745884141649	0.00014612915032449395	-0.24938975663198376	-0.0813407226216852	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUAD	bulk_RNA	CLDN4	ImmuneScore	none	515	-0.06462425880926838	0.14305044325865524	-0.15019020909338557	0.02190262904164168	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUAD	bulk_RNA	CLDN4	CD8A	ABSOLUTE	502	-0.09099654162613525	0.041554222349645294	-0.17718859898735248	-0.0034192451220923827	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUSC	bulk_RNA	CLDN4	CD8A	none	502	-0.017316531025107735	0.6987229892224273	-0.10467507554446016	0.07030719807034375	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUSC	bulk_RNA	CLDN4	CYT	none	502	-0.054800771400563685	0.22031492193136326	-0.14163865013390026	0.03287407190396157	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUSC	bulk_RNA	CLDN4	ImmuneScore	none	501	-0.004218861887799659	0.9249538979874004	-0.0917894910103763	0.08341652189016614	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	LUSC	bulk_RNA	CLDN4	CD8A	ABSOLUTE	493	-0.031323177721197616	0.4877498001096575	-0.11939545093547964	0.0572382045628294	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity
TCGA	mixed	bulk_RNA	CLDN4	CD8A	none	1017	-0.0217177901347893	0.4890505796632077	-0.08308053970077314	0.039809025876610366	Xena HiSeqV2 primary -01; ESTIMATE ImmuneScore; ABSOLUTE purity; pooled LUAD+LUSC (dilution / Simpson risk)
CPTAC-LUAD	LUAD	bulk_RNA	CLDN4_RNA	CIBERSORT_CD8	none	110	-0.2252838533323833	0.017966389382884376	-0.3958312366561128	-0.039714305508577324	CPTAC LUAD Gillette 2020; already LUAD-only
CPTAC-LUAD	LUAD	bulk_RNA	CLDN4_RNA	ImmuneScore	none	110	-0.07875985907259682	0.4134281974192898	-0.26213882497367286	0.11010878229042279	CPTAC LUAD Gillette 2020; already LUAD-only
CPTAC-LSCC	LUSC	protein	CLDN4_protein	CD8A_RNA	none	78	-0.436844401457925	6.370007917678847e-05	-0.6009581414008782	-0.2373867840016817	CPTAC LSCC Satpathy 2021; LUSC extra row
CPTAC-LSCC	LUSC	protein	CLDN4_protein	ImmuneScore	none	78	-0.43185927996054574	7.882580232023335e-05	-0.5970183306720784	-0.23158028895730037	CPTAC LSCC Satpathy 2021; LUSC extra row
GSE218989	mixed_unsplit	bulk_RNA	CLDN4	CD8A	none	355	-0.1721815189883603	0.0011257074336079	-0.2714072186938129	-0.06933419227142017	Kang 2024 SMC-KAIST ICI TPM; GEO+Supp8 have no histology column; cannot LUAD-split
GSE285029	mixed_unsplit	bulk_RNA	CLDN4	CD8A	none	234	0.0673577688962165	0.3048803877820698	-0.0614212023739264	0.1939308748830765	Koh 2025 JITC pre-ICI WTS n=234; GEO characteristics = tissue/cell/genotype only; no histology
GSE131907_tLung	LUAD	scRNA	CLDN4_epi_mean	TNK_frac	none	11	-0.045454545454545456	0.8944269969053026	-0.6282080983439509	0.5699702351951736	Kim 2020 LUAD atlas; primary tLung; author epithelial mean vs T/NK fraction
GSE131907_tLung	LUAD	scRNA	CLDN4_epi_mean	CD8_frac	none	11	0.33636363636363636	0.31182431390038634	-0.33013349651479484	0.7790508009770348	Kim 2020 LUAD atlas; primary tLung; author epithelial mean vs CD8 fraction
GSE253013	LUAD	scRNA	CLDN4_mal_mean	TNK_frac	none	9	-0.33333333333333337	0.38071318167686347	-0.8166713077009717	0.4248480210617956	Sze/Xiang 2024 treatment-naive LUAD tumors only (ANT held out); malignant-like mean vs T/NK
GSE148071	mixed_unsplit	scRNA	CLDN4_mal_mean	T_frac_author	none	42	0.08087192583924249	0.610662271103578	-0.22868575087148613	0.3755768650447182	Wu 2021 advanced NSCLC; GEO age/sex only; Supp Table 1 is aggregate 18 ADC/18 SQ/6 NSCLC — no per-patient histology table
