group	group_stem	gene	model	is_lung	accession	n_baseline	n_icb	n_responder	n_nonresponder	mean_baseline	mean_icb	mean_responder	mean_nonresponder	tismo_deseq2_pvalue	tismo_deseq2_label	srx_ids	delta	log2fc	direction
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17)	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	Cldn4	LLC	True	GSE155972	10	7	7	0	0.26720103590172417	0.6008010386252158	0.6008010386252158		0.617583278510816		SRX8918387;SRX8918388;SRX8918389;SRX8918390;SRX8918391;SRX8918392;SRX8918393;SRX8918394;SRX8918395;SRX8918396;SRX8918397;SRX8918398;SRX8918399;SRX8918400;SRX8918401;SRX8918402;SRX8918403	0.33360000272349166	1.1659717870356958	up
LLC_GSE155972_antiCTLA4&antiPD1(n=16)	LLC_GSE155972_antiCTLA4&antiPD1	Cldn4	LLC	True	GSE155972	10	6	0	6	0.12803456322983156	0.20872810220200658		0.20872810220200658	0.627346374288726		SRX8918404;SRX8918405;SRX8918406;SRX8918407;SRX8918408;SRX8918409;SRX8918410;SRX8918411;SRX8918412;SRX8918413;SRX8918414;SRX8918415;SRX8918416;SRX8918417;SRX8918418;SRX8918419	0.08069353897217502	0.7007626280795727	up
402230_GSE148856_antiPD1(n=8)	402230_GSE148856_antiPD1	Cldn4	402230	False	GSE148856	4	4	0	4	0.062426122840972154	0.16170368606383562		0.16170368606383562	0.99949700181637		SRX8132360;SRX8132361;SRX8132362;SRX8132363;SRX8132364;SRX8132365;SRX8132366;SRX8132367	0.09927756322286346	1.359097875894238	up
402230_GSE148856_radiation_antiPD1(n=8)	402230_GSE148856_radiation_antiPD1	Cldn4	402230	False	GSE148856	4	4	4	0	0.23825551047153581	0.15458144114316524	0.15458144114316524		0.944476007527158		SRX8132368;SRX8132369;SRX8132370;SRX8132371;SRX8132372;SRX8132373;SRX8132374;SRX8132375	-0.08367406932837057	-0.6208821771765756	down
4T1_GSE130472_old_antiCTLA4(n=15)	4T1_GSE130472_old_antiCTLA4	Cldn4	4T1	False	GSE130472	7	8	0	8	6.069634781563109	6.056395227828862		6.056395227828862	0.407583794203051		SRX5768452;SRX5768453;SRX5768454;SRX5768455;SRX5768456;SRX5768457;SRX5768458;SRX5768459;SRX5768460;SRX5768461;SRX5768462;SRX5768463;SRX5768464;SRX5768465;SRX5768466	-0.013239553734247345	-0.0031498349012316334	down
4T1_GSE130472_old_antiPDL1(n=15)	4T1_GSE130472_old_antiPDL1	Cldn4	4T1	False	GSE130472	7	8	0	8	6.069634781563109	5.909861270494183		5.909861270494183	0.460008900572485		SRX5768460;SRX5768461;SRX5768462;SRX5768463;SRX5768464;SRX5768465;SRX5768466;SRX5768467;SRX5768468;SRX5768469;SRX5768470;SRX5768471;SRX5768472;SRX5768473;SRX5768474	-0.15977351106892623	-0.03847902057035222	down
4T1_GSE130472_young_antiCTLA4(n=19)	4T1_GSE130472_young_antiCTLA4	Cldn4	4T1	False	GSE130472	7	12	12	0	5.477910590715585	5.0625940085278485	5.0625940085278485		0.692410889513063		SRX5768475;SRX5768476;SRX5768477;SRX5768478;SRX5768479;SRX5768480;SRX5768481;SRX5768482;SRX5768483;SRX5768484;SRX5768485;SRX5768486;SRX5768487;SRX5768488;SRX5768489;SRX5768490;SRX5768491;SRX5768492;SRX5768493	-0.4153165821877369	-0.11372732452363062	down
4T1_GSE130472_young_antiPDL1(n=17)	4T1_GSE130472_young_antiPDL1	Cldn4	4T1	False	GSE130472	7	10	10	0	5.477910590715585	5.608436736607784	5.608436736607784		0.86442479160906		SRX5768487;SRX5768488;SRX5768489;SRX5768490;SRX5768491;SRX5768492;SRX5768493;SRX5768494;SRX5768495;SRX5768496;SRX5768497;SRX5768498;SRX5768499;SRX5768500;SRX5768501;SRX5768502;SRX5768503	0.13052614589219846	0.03396685121860175	up
4T1_GSE132529_antiPD1(n=6)	4T1_GSE132529_antiPD1	Cldn4	4T1	False	GSE132529	3	3	0	3	6.870862547908357	6.8577733306809465		6.8577733306809465	0.999994158740348		SRX6095883;SRX6095884;SRX6095885;SRX6095886;SRX6095887;SRX6095888	-0.013089217227410188	-0.0027506015992713566	down
4T1_GSE137818_Brca1_KO_antiPD1(n=10)	4T1_GSE137818_Brca1_KO_antiPD1	Cldn4	4T1	False	GSE137818	5	5	0	5	8.041262329779764	7.962424593227169		7.962424593227169	0.839310293675644		SRX6884971;SRX6884972;SRX6884973;SRX6884974;SRX6884975;SRX6885001;SRX6885002;SRX6885003;SRX6885004;SRX6885005	-0.07883773655259496	-0.014212414868395374	down
4T1_GSE137818_Brca2_KO_antiPD1(n=8)	4T1_GSE137818_Brca2_KO_antiPD1	Cldn4	4T1	False	GSE137818	5	3	3	0	7.650635802905315	7.725200165328396	7.725200165328396		0.947935639221431		SRX6884966;SRX6884967;SRX6884968;SRX6884969;SRX6884970;SRX6884998;SRX6884999;SRX6885000	0.0745643624230814	0.013990847500987131	up
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	Cldn4	B16	False	GSE109485	3	3	3	0	0.0	0.0005918980905810334	0.0005918980905810334				SRX3591532;SRX3591533;SRX3591534;SRX3591535;SRX3591536;SRX3591537	0.0005918980905810334	0.670747981032738	up
B16_GSE109485_intracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intracranial_antiCTLA4&antiPD1	Cldn4	B16	False	GSE109485	3	3	0	3	0.0006103877145249666	0.0		0.0			SRX3591526;SRX3591527;SRX3591528;SRX3591529;SRX3591530;SRX3591531	-0.0006103877145249666	-0.6874080712482479	down
B16_GSE149825_antiCTLA4&antiPD1(n=6)	B16_GSE149825_antiCTLA4&antiPD1	Cldn4	B16	False	GSE149825	3	3	3	0	0.0	0.017317774064741366	0.017317774064741366		2.29877607899229e-06	***	SRX8245758;SRX8245759;SRX8245760;SRX8245764;SRX8245765;SRX8245766	0.017317774064741366	4.195172295873045	up
B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16_GSE149825_birinapant_antiCTLA4&antiPD1	Cldn4	B16	False	GSE149825	3	3	3	0	0.034774497839035766	1.5004604337252934	1.5004604337252934		2.29877607899229e-06	***	SRX8245761;SRX8245762;SRX8245763;SRX8245767;SRX8245768;SRX8245769	1.4656859358862575	5.391291131261265	up
B16_GSE150401_MDK_knockdown_antiPD1(n=8)	B16_GSE150401_MDK_knockdown_antiPD1	Cldn4	B16	False	GSE150401	4	4	4	0	0.0	0.07422023008169075	0.07422023008169075				SRX8330938;SRX8330939;SRX8330940;SRX8330941;SRX8330942;SRX8330943;SRX8330944;SRX8330945	0.07422023008169075	6.23304881415054	up
B16_GSE150401_antiPD1(n=8)	B16_GSE150401_antiPD1	Cldn4	B16	False	GSE150401	4	4	0	4	0.0	0.0		0.0			SRX8330930;SRX8330931;SRX8330932;SRX8330933;SRX8330934;SRX8330935;SRX8330936;SRX8330937	0.0	0.0	tie
B16_GSE151829_Aire_KO_antiCTLA4(n=11)	B16_GSE151829_Aire_KO_antiCTLA4	Cldn4	B16	False	GSE151829	5	6	6	0	0.3067418052196312	0.13393350758353934	0.13393350758353934		0.564429235083819		SRX8473168;SRX8473169;SRX8473170;SRX8473171;SRX8473172;SRX8473173;SRX8473174;SRX8473175;SRX8473176;SRX8473177;SRX8473178	-0.17280829763609185	-1.1894717876746654	down
B16_GSE151829_antiCTLA4(n=9)	B16_GSE151829_antiCTLA4	Cldn4	B16	False	GSE151829	3	6	6	0	0.04129928145875606	0.10388464706408816	0.10388464706408816		0.564429235083819		SRX8473179;SRX8473180;SRX8473181;SRX8473182;SRX8473183;SRX8473184;SRX8473185;SRX8473186;SRX8473187	0.0625853656053321	1.3100984512615879	up
B16_GSE152925_Man2a1_KO_antiPDL1(n=6)	B16_GSE152925_Man2a1_KO_antiPDL1	Cldn4	B16	False	GSE152925	3	3	3	0	0.0	0.0	0.0				SRX8592562;SRX8592563;SRX8592564;SRX8592565;SRX8592566;SRX8592567	0.0	0.0	tie
B16_GSE152925_antiPDL1(n=12)	B16_GSE152925_antiPDL1	Cldn4	B16	False	GSE152925	6	6	0	6	0.021235350504255197	0.0030393653574435665		0.0030393653574435665			SRX8592556;SRX8592557;SRX8592558;SRX8592559;SRX8592560;SRX8592561;SRX8592568;SRX8592569;SRX8592570;SRX8592571;SRX8592572;SRX8592573	-0.01819598514681163	-2.4606545989215447	down
B16_GSE152925_swainsonine_antiPDL1(n=6)	B16_GSE152925_swainsonine_antiPDL1	Cldn4	B16	False	GSE152925	3	3	3	0	0.07334788101872633	0.15290240243163725	0.15290240243163725		0.779007177329248		SRX8592574;SRX8592575;SRX8592576;SRX8592577;SRX8592578;SRX8592579	0.07955452141291092	1.049652222579365	up
BNL-MEA_GSE148947_antiPD1(n=6)	BNL-MEA_GSE148947_antiPD1	Cldn4	BNL-MEA	False	GSE148947	3	3	0	3	0.671056938695246	1.0991225739881736		1.0991225739881736	0.821969791425645		SRX8142959;SRX8142960;SRX8142961;SRX8142965;SRX8142966;SRX8142967	0.4280656352929276	0.7110089028187437	up
BNL-MEA_GSE148947_regorafenib_5_antiPD1(n=6)	BNL-MEA_GSE148947_regorafenib_5_antiPD1	Cldn4	BNL-MEA	False	GSE148947	3	3	3	0	0.3894955993823317	0.7123454113447806	0.7123454113447806		0.991913053993249		SRX8142962;SRX8142963;SRX8142964;SRX8142968;SRX8142969;SRX8142970	0.3228498119624489	0.8692945277229077	up
CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10)	CT26_ERP114266_day14_antiCTLA4&antiPDL1	Cldn4	CT26	False	ERP114266	5	5	5	0	0.08374363448948113	0.43952350563367426	0.43952350563367426		0.0122561525523558	*	ERX3246772;ERX3246773;ERX3246774;ERX3246775;ERX3246776;ERX3246777;ERX3246778;ERX3246779;ERX3246780;ERX3246781	0.3557798711441931	2.3780420915899327	up
CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10)	CT26_ERP114266_day7_antiCTLA4&antiPDL1	Cldn4	CT26	False	ERP114266	5	5	5	0	0.8635409095247837	0.7287512934632199	0.7287512934632199		0.940780471951067		ERX3246762;ERX3246763;ERX3246764;ERX3246765;ERX3246766;ERX3246767;ERX3246768;ERX3246769;ERX3246770;ERX3246771	-0.1347896160615638	-0.2445293700272038	down
CT26_GSE139475_antiPD1(n=14)	CT26_GSE139475_antiPD1	Cldn4	CT26	False	GSE139475	5	9	5	4	1.074877193479072	0.7196925791129607	0.6421250956118619	0.8166519334893341			SRX7064337;SRX7064338;SRX7064339;SRX7064340;SRX7064341;SRX7064342;SRX7064343;SRX7064344;SRX7064345;SRX7064346;SRX7064347;SRX7064348;SRX7064349;SRX7064350	-0.35518461436611126	-0.578057514898159	down
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10)	CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	Cldn4	CT26	False	GSE153239	5	5	5	0	0.4301268946357755	0.9795424785165496	0.9795424785165496		0.290485357276973		SRX8615924;SRX8615925;SRX8615926;SRX8615927;SRX8615928;SRX8615934;SRX8615935;SRX8615936;SRX8615937;SRX8615938	0.5494155838807742	1.185467567618202	up
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10)	CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	Cldn4	CT26	False	GSE153239	5	5	5	0	0.46691004130120745	0.8992465962764014	0.8992465962764014		0.373623837536422		SRX8615919;SRX8615920;SRX8615921;SRX8615922;SRX8615923;SRX8615929;SRX8615930;SRX8615931;SRX8615932;SRX8615933	0.4323365549751939	0.9440890506530978	up
