keys	study	model	cancer	icb_group	is_lung	n_baseline	n_icb	tac_baseline	tac_icb	cld_baseline	cld_icb	tac_delta	cld_delta	tac_direction	cld_direction
('ERP114266', 'CT26', 'antiCTLA4&antiPDL1')	ERP114266	CT26	Colorectal carcinoma	antiCTLA4&antiPDL1	False	10	10	0.7289963096766922	1.0942218724855677	0.47364227200713216	0.5841373995484476	0.3652255628088755	0.11049512754131541	up	up
('GSE103725', 'YUMM1.7', 'antiPDL2')	GSE103725	YUMM1.7	Melanoma	antiPDL2	False	4	4	1.6993423376317842	0.1201696454336308	0.7106633324137563	0.05360434756660614	-1.5791726921981535	-0.6570589848471502	down	down
('GSE107801', 'EMT6', 'antiPDL1')	GSE107801	EMT6	Mammary carcinoma	antiPDL1	False	10	20	0.14814397911812338	0.46827559504737837	0.21473811868799184	0.7153199873459815	0.320131615929255	0.5005818686579896	up	up
('GSE109485', 'B16', 'antiCTLA4&antiPD1')	GSE109485	B16	Melanoma	antiCTLA4&antiPD1	False	6	6	0.003253634060298291	0.013332336607878562	0.0003051938572624878	0.00029594904529053065	0.010078702547580271	-9.244811971957168e-06	up	down
('GSE124821', 'KPB25L', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	34	25	2.90669201966164	2.7403333622461967	6.100698410145596	5.178110066794602	-0.1663586574154432	-0.922588343350994	down	down
('GSE124821', 'T11', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	36	37	0.1922787453979316	0.2822639450763017	0.32278486609722423	0.44482000240960584	0.0899851996783701	0.12203513631238161	up	up
('GSE124821', 'p53-2225L', 'antiCTLA4&antiPD1')	GSE124821	p53-2225L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	14	8	3.682277671208307	3.6010028257555846	7.076512704300094	7.353755377022027	-0.08127484545272257	0.2772426727219335	down	up
('GSE124821', 'p53-2336R', 'antiCTLA4&antiPD1')	GSE124821	p53-2336R	Mammary cancer, NOS	antiCTLA4&antiPD1	False	11	10	0.11035171248872176	1.1729769852024905	2.104432737309168	3.3396360485694165	1.0626252727137688	1.2352033112602485	up	up
('GSE130472', '4T1', 'antiCTLA4')	GSE130472	4T1	Mammary carcinoma	antiCTLA4	False	14	20	2.1711499135143177	2.0538110239823206	5.773772686139346	5.460114496248254	-0.11733888953199711	-0.3136581898910924	down	down
('GSE130472', '4T1', 'antiPDL1')	GSE130472	4T1	Mammary carcinoma	antiPDL1	False	14	18	2.1711499135143177	1.69362046816659	5.773772686139346	5.742403196112849	-0.4775294453477277	-0.03136949002649736	down	down
('GSE132529', '4T1', 'antiPD1')	GSE132529	4T1	Mammary carcinoma	antiPD1	False	3	3	4.60635116464027	4.618043517048985	6.870862547908355	6.8577733306809465	0.01169235240871469	-0.013089217227408412	up	down
('GSE137818', '4T1', 'antiPD1')	GSE137818	4T1	Mammary carcinoma	antiPD1	False	5	8	2.1912936108520205	4.0854411874530365	6.022736208448292	7.873465432765132	1.894147576601016	1.85072922431684	up	up
('GSE139475', 'CT26', 'antiPD1')	GSE139475	CT26	Colorectal carcinoma	antiPD1	False	5	9	1.6293702505890242	1.3127072172063126	1.074877193479072	0.7196925791129609	-0.3166630333827116	-0.35518461436611104	down	down
('GSE146027', 'YTN16', 'antiCTLA4')	GSE146027	YTN16	Gastric adenocarcinoma	antiCTLA4	False	17	15	3.02623436118184	5.394218445907424	3.0336228079592047	4.005957417795248	2.367984084725584	0.972334609836043	up	up
('GSE146027', 'YTN16', 'antiPD1')	GSE146027	YTN16	Gastric adenocarcinoma	antiPD1	False	17	8	3.02623436118184	1.3089823837713621	3.0336228079592047	1.181643281565016	-1.717251977410478	-1.8519795263941887	down	down
('GSE146834', '6419c5', 'antiCTLA4&antiPD1')	GSE146834	6419c5	Pancreatic ductal adenocarcinoma	antiCTLA4&antiPD1	False	4	2	0.04938059291377121	0.17629904557167939	2.7614046647764248	3.388874559047192	0.1269184526579082	0.6274698942707673	up	up
('GSE148856', '402230', 'antiPD1')	GSE148856	402230	Sarcoma	antiPD1	False	8	8	0.5697079169503312	0.7815459570018867	0.15034081665625398	0.15814256360350049	0.2118380400515555	0.007801746947246502	up	up
('GSE148947', 'BNL-MEA', 'antiPD1')	GSE148947	BNL-MEA	Hepatocellular carcinoma	antiPD1	False	11	6	0.10202004941448747	0.09012687043930544	0.8218187448296933	0.9057339926664775	-0.011893178975182037	0.08391524783678417	down	up
('GSE149825', 'B16', 'antiCTLA4&antiPD1')	GSE149825	B16	Melanoma	antiCTLA4&antiPD1	False	3	6	0.07710188086599791	1.3418467568459498	0.0	0.7588891038950175	1.2647448759799518	0.7588891038950175	up	up
