keys	study	model	cancer	icb_group	is_lung	n_baseline	n_icb	tac_baseline	tac_icb	cld_baseline	cld_icb	tac_delta	cld_delta	tac_direction	cld_direction
('ERP114266', 'CT26', 'WT', 'day14', 'antiCTLA4&antiPDL1')	ERP114266	CT26	Colorectal carcinoma	antiCTLA4&antiPDL1	False	5	5	0.24323700806081883	0.6558119968304059	0.08374363448948119	0.4395235056336749	0.4125749887695871	0.35577987114419374	up	up
('ERP114266', 'CT26', 'WT', 'day7', 'antiCTLA4&antiPDL1')	ERP114266	CT26	Colorectal carcinoma	antiCTLA4&antiPDL1	False	5	5	1.2147556112925655	1.532631748140729	0.863540909524783	0.7287512934632201	0.3178761368481635	-0.13478961606156292	up	down
('GSE109485', 'B16', 'WT', 'intra&extracranial', 'antiCTLA4&antiPD1')	GSE109485	B16	Melanoma	antiCTLA4&antiPD1	False	3	3	0.004121673363300869	0.0076217986493453405	0.0	0.0005918980905810613	0.0035001252860444717	0.0005918980905810613	up	up
('GSE109485', 'B16', 'WT', 'intracranial', 'antiCTLA4&antiPD1')	GSE109485	B16	Melanoma	antiCTLA4&antiPD1	False	3	3	0.002385594757295713	0.019042874566411783	0.0006103877145249756	0.0	0.01665727980911607	-0.0006103877145249756	up	down
('GSE124821', 'KPB25L', 'WT', 'UV_day3', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	3	1.9996642373180546	3.038201595273412	4.993377290840641	5.239179754576163	1.0385373579553572	0.24580246373552228	up	up
('GSE124821', 'KPB25L', 'WT', 'UV_day7', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	6	1.9267391105229015	2.2441641278254143	3.7428033598192028	3.538554653467776	0.3174250173025128	-0.2042487063514269	up	down
('GSE124821', 'KPB25L', 'WT', 'UV_end', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	6	4	3.37653500409235	2.034580232234337	6.758494650473033	5.6035902436552005	-1.341954771858013	-1.154904406817833	down	down
('GSE124821', 'KPB25L', 'WT', 'day3', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	5	5	3.029181049806108	3.0910298932539133	6.488255875465208	5.035062679020873	0.06184884344780528	-1.4531931964443352	up	down
('GSE124821', 'KPB25L', 'WT', 'day7', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	2.9927194067279848	2.7426183942685496	6.604777980420252	6.220481558311324	-0.25010101245943517	-0.3842964221089282	down	down
('GSE124821', 'KPB25L', 'WT', 'end', 'antiCTLA4&antiPD1')	GSE124821	KPB25L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	6	3	3.412652081784095	3.788266843700361	7.0427884039297375	6.677427960786481	0.37561476191626575	-0.3653604431432562	up	down
('GSE124821', 'T11', 'WT', 'Apobec_day3', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	3	4	0.2991504782664136	0.3745505974293626	0.5357395979993248	0.5133300696725511	0.07540011916294898	-0.022409528326773676	up	down
('GSE124821', 'T11', 'WT', 'Apobec_day7', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	0.10494176922714639	0.3964290828959003	0.068719259744535	0.21920802218765828	0.2914873136687539	0.1504887624431233	up	up
('GSE124821', 'T11', 'WT', 'Apobec_end', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	0.09251530525424048	0.34444681183323583	0.21360330766742125	0.697307732313963	0.2519315065789953	0.4837044246465418	up	up
('GSE124821', 'T11', 'WT', 'UV_day3', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	3	0.10267406839245673	0.30399366698476954	0.14600287488126423	0.36508699643844755	0.2013195985923128	0.21908412155718332	up	up
('GSE124821', 'T11', 'WT', 'UV_day7', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	0.40735344078157004	0.4466060453700173	0.48075480872890586	0.773077121437244	0.03925260458844726	0.2923223127083382	up	up
('GSE124821', 'T11', 'WT', 'UV_end', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	5	0.2852555138013887	0.2595699589686632	0.5533894623253641	0.408287305294665	-0.0256855548327255	-0.14510215703069912	down	down
('GSE124821', 'T11', 'WT', 'day3', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	0.16362871320628106	0.08027609274528788	0.38341037208189116	0.10824127226688242	-0.08335262046099318	-0.27516909981500876	down	down
('GSE124821', 'T11', 'WT', 'day7', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	4	4	0.20160158122060867	0.2773203369948131	0.2942051871748601	0.7654152631990836	0.07571875577420445	0.4712100760242235	up	up
('GSE124821', 'T11', 'WT', 'end', 'antiCTLA4&antiPD1')	GSE124821	T11	Mammary cancer, NOS	antiCTLA4&antiPD1	False	5	5	0.11854036639830574	0.11108386059021394	0.2905390590170265	0.2030649298114439	-0.007456505808091804	-0.08747412920558259	down	down
('GSE124821', 'p53-2225L', 'WT', 'day3', 'antiCTLA4&antiPD1')	GSE124821	p53-2225L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	8	5	3.898453633121587	3.7817465361225198	6.989574430276287	7.5090934168838235	-0.11670709699906734	0.5195189866075367	down	up
('GSE124821', 'p53-2225L', 'WT', 'end', 'antiCTLA4&antiPD1')	GSE124821	p53-2225L	Mammary cancer, NOS	antiCTLA4&antiPD1	False	6	3	3.3940430553239356	3.2997633084773597	7.192430402998503	7.094858643919036	-0.09427974684657592	-0.09757175907946714	down	down
('GSE124821', 'p53-2336R', 'WT', 'day3', 'antiCTLA4&antiPD1')	GSE124821	p53-2336R	Mammary cancer, NOS	antiCTLA4&antiPD1	False	3	5	0.0	0.17639883432466702	1.396683713317685	1.7834035121096155	0.17639883432466702	0.3867197987919304	up	up
