Study_ID	GSM_ID	IN_VIVO	Cancer_type	Cell_Line	sub_clone	Condition	ICB	ICB_study	ICB_group	ICB_Baseline_TYPE	Baseline	Cell_treatment	Cell_genotype	Tumor	Mouse_genotype	Mouse_strain	Mouse_treatment	Timepoint	Implantation	Implantation_site	SRX_ID	SampleName	Tacstd2	Cldn4
GSE100412	GSM2680505	in_vivo	Lung carcinoma	LLC	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949948	SRX2949948	0.3319751188491103	0.3179327152341933
GSE100412	GSM2680506	in_vivo	Lung carcinoma	LLC	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949949	SRX2949949	0.41405579236290857	0.3971431743056984
GSE100412	GSM2680507	in_vivo	Lung carcinoma	LLC	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949950	SRX2949950	0.5681334356078781	0.3326538208472947
GSE100412	GSM2680508	in_vivo	Lung carcinoma	LLC	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949951	SRX2949951	0.0	0.22998815996013017
GSE100412	GSM2680509	in_vivo	Lung carcinoma	LLC	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949952	SRX2949952	0.5621942927291791	0.984073415453878
GSE100412	GSM2680518	in_vivo	Lung carcinoma	CMT-167	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949961	SRX2949961	0.526732899642473	1.1129736351311186
GSE100412	GSM2680519	in_vivo	Lung carcinoma	CMT-167	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949962	SRX2949962	0.41035955883442937	2.2195536008635584
GSE100412	GSM2680520	in_vivo	Lung carcinoma	CMT-167	parental		0				1		luciferase	primary	WT	C57BL/6-Tg(UBC-GFP)30Scha/J	no_treatment		orthotopic	left lung lobe parenchyma	SRX2949963	SRX2949963	0.6328516909081752	1.8632181121352107
GSE101104	GSM2699186	in_vivo	Melanoma	B16	B16F1		0				1		WT	primary	WT	C57BL/6J	no_treatment		intradermal	flank	SRX2994177	SRX2994177	2.3663696321253735	0.5499569711483827
GSE101104	GSM2699187	in_vivo	Melanoma	B16	B16F1		0				1		WT	primary	WT	C57BL/6J	no_treatment		intradermal	flank	SRX2994178	SRX2994178	2.428815973582063	0.6872826333766401
GSE101104	GSM2699188	in_vivo	Melanoma	B16	B16F1		0				1		WT	primary	WT	C57BL/6J	no_treatment		intradermal	flank	SRX2994179	SRX2994179	3.486765243512262	1.4253338730081146
GSE101104	GSM2699189	in_vivo	Melanoma	B16	B16F1		0				0	CXCL5_vector	CXCL5_OE	primary	WT	C57BL/6J	no_treatment		intradermal	flank	SRX2994180	SRX2994180	2.3068438498112314	0.5927239805644084
GSE101104	GSM2699190	in_vivo	Melanoma	B16	B16F1		0				0	CXCL5_vector	CXCL5_OE	primary	WT	C57BL/6J	no_treatment		intradermal	flank	SRX2994181	SRX2994181	3.0072443850721617	0.8105654165575839
GSE101336	GSM2701515	in_vivo	Pancreatic ductal adenocarcinoma	KPC	parental		0				0	decitabine	WT	primary	WT	KrasG12D/+;Trp53R172H/+	no_treatment		subcutaneous	flank	SRX2998703	SRX2998703	0.23137833709244865	6.688698024216884
GSE101336	GSM2701516	in_vivo	Pancreatic ductal adenocarcinoma	KPC	parental		0				1		WT	primary	WT	KrasG12D/+;Trp53R172H/+	no_treatment		subcutaneous	flank	SRX2998704	SRX2998704	1.1014893942134407	6.32222653958646
GSE101336	GSM2701517	in_vivo	Pancreatic ductal adenocarcinoma	KPC	parental		0				0	decitabine	WT	primary	WT	KrasG12D/+;Trp53R172H/+	no_treatment		subcutaneous	flank	SRX2998705	SRX2998705	1.3509463927942786	4.344651202170954
GSE101336	GSM2701518	in_vivo	Pancreatic ductal adenocarcinoma	KPC	parental		0				1		WT	primary	WT	KrasG12D/+;Trp53R172H/+	no_treatment		subcutaneous	flank	SRX2998706	SRX2998706	0.3228418970033201	5.0826048396834205
