label	n_comparisons	n_up	n_down	n_tie	fraction_up	median_delta	median_log2fc	binomial_two_sided_p	wilcoxon_signed_rank_p
Tacstd2 all gene-module groups	64	49	15	0	0.765625	0.11606931339508711	0.6170004301400991	2.436457216293327e-05	5.8398482923347564e-05
Tacstd2 lung (LLC) gene-module	2	2	0	0	1.0	0.4286117432612462	1.3587422274208087	0.5	
Tacstd2 non-lung gene-module	62	47	15	0	0.7580645161290323	0.08763152728891055	0.5306571025436155	5.778372004920304e-05	0.00013479478335565954
Cldn4 all gene-module groups	65	34	29	2	0.5230769230769231	0.017317774064741366	0.03396685121860175	0.6146550157654618	0.1234693559268815
Cldn4 lung (LLC) gene-module	2	2	0	0	1.0	0.20714677084783334	0.9333672075576342	0.5	
Cldn4 non-lung gene-module	63	32	29	2	0.5079365079365079	0.0005918980905810334	0.013990847500987131	0.7981526273057179	0.17121231953737914
Tacstd2 on groups that also have Cldn4	64	49	15	0	0.765625	0.11606931339508711	0.6170004301400991	2.436457216293327e-05	5.8398482923347564e-05
Cldn4 on groups that also have Tacstd2	64	34	28	2	0.53125	0.03995156983503673	0.05163917086066018	0.52577336017565	0.07785245359948166
Tacstd2 sensitivity study×line×ICB_group	33	23	10	0	0.696969696969697	0.08369731700141897	0.5643706762588993	0.03508203336969018	0.089798514964059
Tacstd2 sensitivity lung study×line×ICB_group	1	1	0	0	1.0	0.5178257841029521	2.0970884194744315	1.0	
Tacstd2 sensitivity study×line×geno×condition×ICB	36	25	11	0	0.6944444444444444	0.09699454744902139	0.26282528944987865	0.028816719655878845	0.02832978725200519
Cldn4 sensitivity study×line×ICB_group	33	18	15	0	0.5454545454545454	0.01850993278237591	0.07251860920259853	0.7283324808813632	0.3214736534282565
Cldn4 sensitivity lung study×line×ICB_group	1	1	0	0	1.0	0.29180973550774947	1.7055290149266351	1.0	
