group	group_stem	gene	model	is_lung	accession	n_baseline	n_icb	n_responder	n_nonresponder	mean_baseline	mean_icb	mean_responder	mean_nonresponder	tismo_deseq2_pvalue	tismo_deseq2_label	srx_ids	delta	log2fc	direction
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1(n=17)	LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	Tacstd2	LLC	True	GSE155972	10	7	7	0	0.2803433444414772	1.004972502977412	1.004972502977412		0.970249595965875		SRX8918387;SRX8918388;SRX8918389;SRX8918390;SRX8918391;SRX8918392;SRX8918393;SRX8918394;SRX8918395;SRX8918396;SRX8918397;SRX8918398;SRX8918399;SRX8918400;SRX8918401;SRX8918402;SRX8918403	0.7246291585359348	1.838187131382473	up
LLC_GSE155972_antiCTLA4&antiPD1(n=16)	LLC_GSE155972_antiCTLA4&antiPD1	Tacstd2	LLC	True	GSE155972	10	6	0	6	0.15694832791755048	0.28954265590410805		0.28954265590410805	0.467050119678299		SRX8918404;SRX8918405;SRX8918406;SRX8918407;SRX8918408;SRX8918409;SRX8918410;SRX8918411;SRX8918412;SRX8918413;SRX8918414;SRX8918415;SRX8918416;SRX8918417;SRX8918418;SRX8918419	0.13259432798655757	0.8792973234591448	up
402230_GSE148856_antiPD1(n=8)	402230_GSE148856_antiPD1	Tacstd2	402230	False	GSE148856	4	4	0	4	0.35402865800400896	0.5920764417419231		0.5920764417419231	0.99949700181637		SRX8132360;SRX8132361;SRX8132362;SRX8132363;SRX8132364;SRX8132365;SRX8132366;SRX8132367	0.23804778373791413	0.7402825819798555	up
402230_GSE148856_radiation_antiPD1(n=8)	402230_GSE148856_radiation_antiPD1	Tacstd2	402230	False	GSE148856	4	4	4	0	0.7853871758966535	0.9710154722618483	0.9710154722618483		0.835589614531079		SRX8132368;SRX8132369;SRX8132370;SRX8132371;SRX8132372;SRX8132373;SRX8132374;SRX8132375	0.18562829636519473	0.30573948346963026	up
4T1_GSE130472_old_antiCTLA4(n=15)	4T1_GSE130472_old_antiCTLA4	Tacstd2	4T1	False	GSE130472	7	8	0	8	2.514297489980687	2.101033994252919		2.101033994252919	0.25528274159276		SRX5768452;SRX5768453;SRX5768454;SRX5768455;SRX5768456;SRX5768457;SRX5768458;SRX5768459;SRX5768460;SRX5768461;SRX5768462;SRX5768463;SRX5768464;SRX5768465;SRX5768466	-0.4132634957277683	-0.2589430400983789	down
4T1_GSE130472_old_antiPDL1(n=15)	4T1_GSE130472_old_antiPDL1	Tacstd2	4T1	False	GSE130472	7	8	0	8	2.514297489980687	1.9181712442543726		1.9181712442543726	0.364372932141465		SRX5768460;SRX5768461;SRX5768462;SRX5768463;SRX5768464;SRX5768465;SRX5768466;SRX5768467;SRX5768468;SRX5768469;SRX5768470;SRX5768471;SRX5768472;SRX5768473;SRX5768474	-0.5961262457263146	-0.39024559455798424	down
4T1_GSE130472_young_antiCTLA4(n=19)	4T1_GSE130472_young_antiCTLA4	Tacstd2	4T1	False	GSE130472	7	12	12	0	1.828002337047947	2.022329043801921	2.022329043801921		0.482356121607691		SRX5768475;SRX5768476;SRX5768477;SRX5768478;SRX5768479;SRX5768480;SRX5768481;SRX5768482;SRX5768483;SRX5768484;SRX5768485;SRX5768486;SRX5768487;SRX5768488;SRX5768489;SRX5768490;SRX5768491;SRX5768492;SRX5768493	0.1943267067539738	0.14567403867379328	up
4T1_GSE130472_young_antiPDL1(n=17)	4T1_GSE130472_young_antiPDL1	Tacstd2	4T1	False	GSE130472	7	10	10	0	1.828002337047947	1.513979847296362	1.513979847296362		0.482356121607691		SRX5768487;SRX5768488;SRX5768489;SRX5768490;SRX5768491;SRX5768492;SRX5768493;SRX5768494;SRX5768495;SRX5768496;SRX5768497;SRX5768498;SRX5768499;SRX5768500;SRX5768501;SRX5768502;SRX5768503	-0.3140224897515851	-0.27175831584731314	down
4T1_GSE132529_antiPD1(n=6)	4T1_GSE132529_antiPD1	Tacstd2	4T1	False	GSE132529	3	3	0	3	4.60635116464027	4.618043517048983		4.618043517048983	0.999994158740348		SRX6095883;SRX6095884;SRX6095885;SRX6095886;SRX6095887;SRX6095888	0.011692352408712914	0.003656576257248255	up
4T1_GSE137818_Brca1_KO_antiPD1(n=10)	4T1_GSE137818_Brca1_KO_antiPD1	Tacstd2	4T1	False	GSE137818	5	5	0	5	4.13363209798346	4.004876780464524		4.004876780464524	0.843155009346725		SRX6884971;SRX6884972;SRX6884973;SRX6884974;SRX6884975;SRX6885001;SRX6885002;SRX6885003;SRX6885004;SRX6885005	-0.12875531751893554	-0.04564091826885736	down
4T1_GSE137818_Brca2_KO_antiPD1(n=8)	4T1_GSE137818_Brca2_KO_antiPD1	Tacstd2	4T1	False	GSE137818	5	3	3	0	4.16174288745599	4.219715199100553	4.219715199100553		0.990658392275117		SRX6884966;SRX6884967;SRX6884968;SRX6884969;SRX6884970;SRX6884998;SRX6884999;SRX6885000	0.05797231164456296	0.019953031031267252	up
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	Tacstd2	B16	False	GSE109485	3	3	3	0	0.004121673363300867	0.0076217986493453335	0.0076217986493453335				SRX3591532;SRX3591533;SRX3591534;SRX3591535;SRX3591536;SRX3591537	0.0035001252860444665	0.7513736232484297	up
B16_GSE109485_intracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intracranial_antiCTLA4&antiPD1	Tacstd2	B16	False	GSE109485	3	3	0	3	0.0023855947572956667	0.019042874566411766		0.019042874566411766			SRX3591526;SRX3591527;SRX3591528;SRX3591529;SRX3591530;SRX3591531	0.016657279809116098	2.565608232324904	up
B16_GSE149825_antiCTLA4&antiPD1(n=6)	B16_GSE149825_antiCTLA4&antiPD1	Tacstd2	B16	False	GSE149825	3	3	3	0	0.077101880865998	0.079864880532896	0.079864880532896		0.0001024961527034	***	SRX8245758;SRX8245759;SRX8245760;SRX8245764;SRX8245765;SRX8245766	0.002762999666898011	0.05015598682930605	up
