n	rho	p	cut	predictor	target	ci95_low	ci95_high	q_bh
123	0.07708529491429235	0.39674428271673423	CRISPR_RNA_lung	CLDN4_Chronos	sig_IFNG	-0.10289365409017548	0.2518954942645076	0.5951164240751013
123	0.09830261443809574	0.27937721742049487	CRISPR_RNA_lung	CLDN4_Chronos	sig_MHC1	-0.08065865265745112	0.27056806372220116	0.5951164240751013
123	-0.037669532249616056	0.6791256676686299	CRISPR_RNA_lung	CLDN4_Chronos	CD274	-0.2165499470601709	0.14156319493728706	0.67912566766863
123	0.3302716498431532	0.00019091860098711472	CRISPR_RNA_lung	CLDN4_RNA	sig_IFNG	0.15752603060409526	0.4834872482066792	0.0002863779014806721
123	0.25704920781593016	0.0041034709711601286	CRISPR_RNA_lung	CLDN4_RNA	sig_MHC1	0.07547920930095733	0.41599438612840145	0.0041034709711601286
123	0.33786871110620487	0.0001324234947782913	CRISPR_RNA_lung	CLDN4_RNA	CD274	0.16126201913569133	0.498218847138206	0.0002863779014806721
95	0.10632698768197088	0.30510918609135823	CRISPR_RNA_NSCLC	CLDN4_Chronos	sig_IFNG	-0.10478053254252012	0.30699249514464405	0.7249143537518764
95	0.03657614781634938	0.7249143537518765	CRISPR_RNA_NSCLC	CLDN4_Chronos	sig_MHC1	-0.15858545989655748	0.23537042165311972	0.7249143537518764
95	0.04631240049002075	0.6558421464545783	CRISPR_RNA_NSCLC	CLDN4_Chronos	CD274	-0.15815671126852426	0.2502013480841898	0.7249143537518764
95	0.32334939582153416	0.0013924038705679157	CRISPR_RNA_NSCLC	CLDN4_RNA	sig_IFNG	0.11952281399705303	0.5037895839874661	0.004177211611703747
95	0.2358840841422763	0.02137733199160583	CRISPR_RNA_NSCLC	CLDN4_RNA	sig_MHC1	0.034871116875916874	0.4278418107940331	0.021377331991605835
95	0.30117513668551177	0.0030187820360924027	CRISPR_RNA_NSCLC	CLDN4_RNA	CD274	0.08037623340466175	0.4971212873199722	0.004528173054138604
26	0.26153846153846155	0.1968407049758306	CRISPR_RNA_SCLC_NET	CLDN4_Chronos	sig_IFNG			0.29526105746374587
26	0.39350427350427347	0.04671519841112546	CRISPR_RNA_SCLC_NET	CLDN4_Chronos	sig_MHC1			0.14014559523337639
26	-0.1374593967773423	0.5030959076144991	CRISPR_RNA_SCLC_NET	CLDN4_Chronos	CD274			0.5030959076144991
26	0.20136752136752134	0.32392116820797423	CRISPR_RNA_SCLC_NET	CLDN4_RNA	sig_IFNG			0.32392116820797423
26	0.2594871794871795	0.2005034472907049	CRISPR_RNA_SCLC_NET	CLDN4_RNA	sig_MHC1			0.32392116820797423
26	0.21986664708415693	0.2804797698059086	CRISPR_RNA_SCLC_NET	CLDN4_RNA	CD274			0.32392116820797423
51	0.2227149321266968	0.1162118560059719	CRISPR_RNA_LUAD	CLDN4_Chronos	sig_IFNG			0.34863556801791573
51	0.10488687782805428	0.4638655466280278	CRISPR_RNA_LUAD	CLDN4_Chronos	sig_MHC1			0.46386554662802776
51	0.15435087576325893	0.2794944607974869	CRISPR_RNA_LUAD	CLDN4_Chronos	CD274			0.41924169119623034
51	0.2870588235294118	0.041112518476652794	CRISPR_RNA_LUAD	CLDN4_RNA	sig_IFNG			0.061668777714979195
51	0.2250678733031674	0.11230725425992474	CRISPR_RNA_LUAD	CLDN4_RNA	sig_MHC1			0.11230725425992476
51	0.3830037562181834	0.005536684550791147	CRISPR_RNA_LUAD	CLDN4_RNA	CD274			0.01661005365237344
20	0.1789473684210526	0.45032544160933996	CRISPR_RNA_LUSC	CLDN4_Chronos	sig_IFNG			0.6754881624140099
20	0.037593984962406006	0.8749652018566715	CRISPR_RNA_LUSC	CLDN4_Chronos	sig_MHC1			0.8749652018566715
20	0.2796992481203007	0.23234786067734575	CRISPR_RNA_LUSC	CLDN4_Chronos	CD274			0.6754881624140099
20	0.3142857142857143	0.17716966765175685	CRISPR_RNA_LUSC	CLDN4_RNA	sig_IFNG			0.5315090029552705
20	0.10827067669172932	0.6495672222012883	CRISPR_RNA_LUSC	CLDN4_RNA	sig_MHC1			0.9448174502147446
20	-0.016541353383458645	0.9448174502147446	CRISPR_RNA_LUSC	CLDN4_RNA	CD274			0.9448174502147446
