cut	predictor	target	n	rho	p	q_bh	ci95_low	ci95_high
CRISPR_RNA_lung	CLDN4_Chronos	sig_IFNG	123	0.07708529491429235	0.39674428271673423	0.5951164240751013	-0.10289365409017548	0.2518954942645076
CRISPR_RNA_lung	CLDN4_Chronos	sig_MHC1	123	0.09830261443809574	0.27937721742049487	0.5951164240751013	-0.08065865265745112	0.27056806372220116
CRISPR_RNA_lung	CLDN4_Chronos	CD274	123	-0.037669532249616056	0.6791256676686299	0.67912566766863	-0.2165499470601709	0.14156319493728706
CRISPR_RNA_lung	CLDN4_RNA	sig_IFNG	123	0.3302716498431532	0.00019091860098711472	0.0002863779014806721	0.15752603060409526	0.4834872482066792
CRISPR_RNA_lung	CLDN4_RNA	sig_MHC1	123	0.25704920781593016	0.0041034709711601286	0.0041034709711601286	0.07547920930095733	0.41599438612840145
CRISPR_RNA_lung	CLDN4_RNA	CD274	123	0.33786871110620487	0.0001324234947782913	0.0002863779014806721	0.16126201913569133	0.498218847138206
CRISPR_RNA_NSCLC	CLDN4_Chronos	sig_IFNG	95	0.10632698768197088	0.30510918609135823	0.7249143537518764	-0.10478053254252012	0.30699249514464405
CRISPR_RNA_NSCLC	CLDN4_Chronos	sig_MHC1	95	0.03657614781634938	0.7249143537518765	0.7249143537518764	-0.15858545989655748	0.23537042165311972
CRISPR_RNA_NSCLC	CLDN4_Chronos	CD274	95	0.04631240049002075	0.6558421464545783	0.7249143537518764	-0.15815671126852426	0.2502013480841898
CRISPR_RNA_NSCLC	CLDN4_RNA	sig_IFNG	95	0.32334939582153416	0.0013924038705679157	0.004177211611703747	0.11952281399705303	0.5037895839874661
CRISPR_RNA_NSCLC	CLDN4_RNA	sig_MHC1	95	0.2358840841422763	0.02137733199160583	0.021377331991605835	0.034871116875916874	0.4278418107940331
CRISPR_RNA_NSCLC	CLDN4_RNA	CD274	95	0.30117513668551177	0.0030187820360924027	0.004528173054138604	0.08037623340466175	0.4971212873199722
