cohort,cell_line,cancer_type,study,regimen,n_baseline,n_icb,mean_baseline,mean_icb,delta,tismo_within_cohort_p
402230_GSE148856_antiPD1,402230,Sarcoma,GSE148856,antiPD1,4,4,0.35402865800400896,0.5920764417419231,0.23804778373791413,0.99949700181637
402230_GSE148856_radiation_antiPD1,402230,Sarcoma,GSE148856,antiPD1; radiation;,4,4,0.7853871758966535,0.9710154722618483,0.18562829636519473,0.835589614531079
4T1_GSE130472_old_antiCTLA4,4T1,Mammary carcinoma,GSE130472,antiCTLA4; old;,7,8,2.514297489980687,2.101033994252919,-0.4132634957277683,0.25528274159276
4T1_GSE130472_old_antiPDL1,4T1,Mammary carcinoma,GSE130472,antiPDL1; old;,7,8,2.514297489980687,1.9181712442543726,-0.5961262457263146,0.364372932141465
4T1_GSE130472_young_antiCTLA4,4T1,Mammary carcinoma,GSE130472,antiCTLA4; young;,7,12,1.828002337047947,2.022329043801921,0.1943267067539738,0.482356121607691
4T1_GSE130472_young_antiPDL1,4T1,Mammary carcinoma,GSE130472,antiPDL1; young;,7,10,1.828002337047947,1.513979847296362,-0.3140224897515851,0.482356121607691
4T1_GSE132529_antiPD1,4T1,Mammary carcinoma,GSE132529,antiPD1,3,3,4.60635116464027,4.618043517048983,0.011692352408712914,0.999994158740348
4T1_GSE137818_Brca1_KO_antiPD1,4T1,Mammary carcinoma,GSE137818,antiPD1,5,5,4.13363209798346,4.004876780464524,-0.12875531751893554,0.843155009346725
4T1_GSE137818_Brca2_KO_antiPD1,4T1,Mammary carcinoma,GSE137818,antiPD1,5,3,4.16174288745599,4.219715199100553,0.05797231164456296,0.990658392275117
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1,B16,Melanoma,GSE109485,antiPD1; antiCTLA4; intra&extracranial;,3,3,0.004121673363300867,0.0076217986493453335,0.0035001252860444665,
B16_GSE109485_intracranial_antiCTLA4&antiPD1,B16,Melanoma,GSE109485,antiPD1; antiCTLA4; intracranial;,3,3,0.0023855947572956667,0.019042874566411766,0.016657279809116098,
B16_GSE149825_antiCTLA4&antiPD1,B16,Melanoma,GSE149825,antiPD1; antiCTLA4;,3,3,0.077101880865998,0.079864880532896,0.002762999666898011,0.0001024961527034
B16_GSE149825_birinapant_antiCTLA4&antiPD1,B16,Melanoma,GSE149825,antiPD1; antiCTLA4; birinapant,3,3,0.09546354910708764,2.603828633159003,2.5083650840519156,0.0001024961527034
B16_GSE150401_MDK_knockdown_antiPD1,B16,Melanoma,GSE150401,antiPD1,4,4,0.0,0.21215404398300575,0.21215404398300575,
B16_GSE150401_antiPD1,B16,Melanoma,GSE150401,antiPD1,4,4,0.0,0.0574797835081895,0.0574797835081895,0.987188231334236
B16_GSE151829_Aire_KO_antiCTLA4,B16,Melanoma,GSE151829,antiCTLA4,5,6,0.6228288226342723,1.0310100854793471,0.40818126284507483,0.396783213649528
B16_GSE151829_antiCTLA4,B16,Melanoma,GSE151829,antiCTLA4,3,6,0.14111845486978783,0.34690976943646173,0.2057913145666739,0.459000407593525
B16_GSE152925_Man2a1_KO_antiPDL1,B16,Melanoma,GSE152925,antiPDL1,3,3,0.0,0.020458133410393733,0.020458133410393733,
B16_GSE152925_antiPDL1,B16,Melanoma,GSE152925,antiPDL1,6,6,0.0,0.013112900419935384,0.013112900419935384,
B16_GSE152925_swainsonine_antiPDL1,B16,Melanoma,GSE152925,antiPDL1; swainsonine,3,3,0.07951813931059483,0.06640259869642899,-0.013115540614165838,
BNL-MEA_GSE148947_antiPD1,BNL-MEA,Hepatocellular carcinoma,GSE148947,antiPD1,3,3,0.14660126103697393,0.09458129715921816,-0.05201996387775577,0.967415452699153
BNL-MEA_GSE148947_regorafenib_5_antiPD1,BNL-MEA,Hepatocellular carcinoma,GSE148947,antiPD1; regorafenib_5;,3,3,0.05333403157349123,0.0856724437193928,0.032338412145901566,
CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma,ERP114266,antiPDL1; antiCTL4;,5,5,0.24323700806081897,0.655811996830405,0.4125749887695861,0.034317941791589
CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma,ERP114266,antiPDL1; antiCTL4;,5,5,1.2147556112925646,1.532631748140728,0.3178761368481633,0.739950574332942
CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma,GSE139475,antiPD1,5,9,1.629370250589023,1.3127072172063137,-0.3166630333827094,0.905541868789538
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,5,5,0.261835637001249,0.6199550142686849,0.3581193772674359,0.178139572680639
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,5,5,0.18921112023409634,0.4656884624358647,0.27647734220176834,
CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiPD1_FcS,5,5,0.2201852447206285,0.3752578004740946,0.15507255575346612,0.999953620793337
CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiTGFb; antiPD1 FcS;,5,5,0.2696775919165601,0.5547914329982612,0.28511384108170107,0.989431937816084
D3UV2_GSE159344_antiPD1,D3UV2,Melanoma,GSE159344,antiPD1,3,3,0.24713071252132446,1.0959844052158763,0.8488536926945518,0.185771051274138
D4M.3A.3_GSE159344_antiPD1,D4M.3A.3,Melanoma,GSE159344,antiPD1,3,3,0.049577902420543996,0.21097662239110068,0.1613987199705567,0.999991667614612
E0771_GSE174053_high.fat.diet_antiPD1,E0771,Mammary adenocarcinoma,GSE174053,antiPD1; high.fat.diet;,8,8,0.5992002718011491,0.6090158168355533,0.009815545034404183,0.458870947942633
