cell_line,mean_baseline,mean_icb,study,cancer_type,n_cohorts,cohort,delta
402230,0.5697079169503312,0.7815459570018857,GSE148856,Sarcoma,2,402230,0.2118380400515545
4T1,3.083760829162427,2.9140213751742334,mixed,Mammary carcinoma,7,4T1,-0.16973945398819357
B16,0.09295801044621245,0.40526231834921983,mixed,Melanoma,11,B16,0.3123043079030074
BNL-MEA,0.09996764630523258,0.09012687043930548,GSE148947,Hepatocellular carcinoma,2,BNL-MEA,-0.009840775865927104
CT26,0.5754674948307058,0.7881205246220503,mixed,Colorectal carcinoma,7,CT26,0.21265302979134448
D3UV2,0.24713071252132446,1.0959844052158763,GSE159344,Melanoma,1,D3UV2,0.8488536926945518
D4M.3A.3,0.049577902420543996,0.21097662239110068,GSE159344,Melanoma,1,D4M.3A.3,0.1613987199705567
E0771,0.5992002718011491,0.6090158168355533,GSE174053,Mammary adenocarcinoma,1,E0771,0.009815545034404183
EMT6,0.12245121406720069,0.4682755950473785,GSE107801,Mammary carcinoma,2,EMT6,0.34582438098017776
KPB25L,2.7895818150419136,2.823143514425998,GSE124821,"Mammary cancer, NOS",6,KPB25L,0.0335616993840846
LLC,0.21864583617951383,0.64725757944076,GSE155972,Lung carcinoma,2,LLC,0.4286117432612462
MC38,0.0095250010667481,0.04514609915205379,mixed,Colorectal carcinoma,3,MC38,0.03562109808530569
T11,0.19089447346125843,0.28825293931247375,GSE124821,"Mammary cancer, NOS",9,T11,0.09735846585121533
YTN16,2.350038137144014,3.7601240210529996,GSE146027,Gastric adenocarcinoma,5,YTN16,1.4100858839089856
YUMM1.7,0.06187295047089236,0.12016964543363072,GSE103725,Melanoma,1,YUMM1.7,0.05829669496273836
p53-2225L,3.6462483442227622,3.5407549222999384,GSE124821,"Mammary cancer, NOS",2,p53-2225L,-0.10549342192282385
p53-2336R,0.07586680233599626,1.1729769852024905,GSE124821,"Mammary cancer, NOS",2,p53-2336R,1.0971101828664942
