cluster,n_clusters,observed_mean_delta,ci_low,ci_high,p_two_sided
cell_line,17,0.265392132370705,0.07802789817500333,0.5262259464226788,0.02395
study,22,0.265392132370705,0.08820474944531635,0.534283009248565,0.0268
