subset,n_cohorts,n_cell_lines,n_studies,n_cancer_types,n_up,n_down,n_tie,frac_up,mean_baseline,mean_icb,mean_delta,median_baseline,median_icb,median_delta,paired_t_stat,paired_t_p,cohens_dz,wilcoxon_stat,wilcoxon_p,rank_biserial,sign_test_p
ALL cohorts (headline design),64,17,22,9,49,15,0,0.765625,1.0514843840706152,1.31687651644132,0.265392132370705,0.2451838602910717,0.6005461292887382,0.11606931339508711,3.0361697057471657,0.0034819101337064257,0.37952121321839566,439.0,5.8398482923347564e-05,-0.7889423076923077,2.436457216293327e-05
Lung cohorts only,2,1,1,1,2,0,0,1.0,0.21864583617951383,0.64725757944076,0.4286117432612462,0.21864583617951383,0.64725757944076,0.4286117432612462,1.447927456779923,0.38478445250078996,1.0238393233552752,0.0,0.5,-1.0,0.5
Non-lung cohorts,62,16,21,8,47,15,0,0.7580645161290323,1.0783501436800056,1.3384771273123064,0.2601269836323005,0.2451838602910717,0.6005461292887382,0.08763152728891055,2.8930303156414587,0.005283496496162522,0.3674152175018665,432.0,0.00013479478335565954,-0.7788018433179723,5.778372004920304e-05
cancer type: Colorectal carcinoma,10,2,5,1,8,2,0,0.8,0.4056847467015186,0.5652281969810513,0.15954345027953284,0.23171112639072372,0.5102399477170629,0.21577494897761723,2.2882836061303418,0.047908978920620286,0.7236188127795519,8.0,0.048828125,-0.8545454545454545,0.109375
cancer type: Gastric adenocarcinoma,5,1,1,1,5,0,0,1.0,2.350038137144014,3.7601240210529996,1.4100858839089856,2.3768808529397325,4.937752145814989,0.9609060369826756,2.2149873991150733,0.09111888567357758,0.9905724787453523,0.0,0.0625,-1.0,0.0625
cancer type: Hepatocellular carcinoma,2,1,1,1,1,1,0,0.5,0.09996764630523258,0.09012687043930548,-0.009840775865927104,0.09996764630523258,0.09012687043930548,-0.009840775865927104,-0.2333088029851919,0.8540812290712176,-0.16497423670134542,1.0,1.0,-0.6666666666666667,1.0
cancer type: Lung carcinoma,2,1,1,1,2,0,0,1.0,0.21864583617951383,0.64725757944076,0.4286117432612462,0.21864583617951383,0.64725757944076,0.4286117432612462,1.447927456779923,0.38478445250078996,1.0238393233552752,0.0,0.5,-1.0,0.5
cancer type: Mammary adenocarcinoma,1,1,1,1,1,0,0,1.0,0.5992002718011491,0.6090158168355533,0.009815545034404183,0.5992002718011491,0.6090158168355533,0.009815545034404183,,,,0.0,1.0,-1.0,1.0
"cancer type: Mammary cancer, NOS",19,4,1,1,12,7,0,0.631578947368421,1.3631458655010695,1.5242421765985845,0.1610963110975149,0.2852555138013886,0.44660604537001763,0.07571875577420442,1.1227174024064486,0.27631031544161005,0.25756903680232623,54.0,0.104156494140625,-0.7157894736842105,0.359283447265625
cancer type: Mammary carcinoma,9,2,4,1,5,4,0,0.5555555555555556,2.4256920258079324,2.370522312923821,-0.055169712884110905,2.514297489980687,2.022329043801921,0.011692352408712914,-0.45141689996312157,0.6636751632896859,-0.1504722999877072,20.0,0.8203125,-0.5555555555555556,1.0
cancer type: Melanoma,14,4,7,1,13,1,0,0.9285714285714286,0.0986514057372213,0.42035829820585907,0.3217068924686378,0.05572542644571818,0.10001726298326336,0.05788823923546393,1.7941964894029778,0.0960599788412235,0.4795191819927519,4.0,0.0008544921875,-0.9619047619047619,0.0018310546875
cancer type: Sarcoma,2,1,1,1,2,0,0,1.0,0.5697079169503312,0.7815459570018857,0.21183804005155443,0.5697079169503312,0.7815459570018857,0.21183804005155443,8.082415554555805,0.07836776388831596,5.7151308469940405,0.0,0.5,-1.0,0.5
collapsed to one pair per cell line,17,17,10,9,14,3,0,0.8235294117647058,0.8695820799075427,1.1624208936115854,0.2928388137040424,0.21864583617951383,0.64725757944076,0.1613987199705567,2.775870740303839,0.013496172285035387,0.67324754501966,18.0,0.00384521484375,-0.8823529411764706,0.012725830078125
collapsed to one pair per study,22,12,22,9,18,4,0,0.8181818181818182,0.8892941005151982,1.1142763754129734,0.22498227489777528,0.22693661732382364,0.6503690466221242,0.11718060627460714,2.5510005672281597,0.018603123317043408,0.5438751483566123,41.0,0.004151344299316406,-0.8379446640316206,0.004343509674072266
