dropped_cell_line,n_cohorts_removed,n_cohorts_left,n_up,mean_delta,paired_t_p,wilcoxon_p
B16,11,53,39,0.2556556431092838,0.010143060072456031,0.000643130894003775
YTN16,5,59,44,0.168384187325088,0.015489821099556541,0.0005311767198467324
CT26,7,57,43,0.271868864266416,0.007291168334918596,0.0002696067359969495
T11,9,55,43,0.2928885505284397,0.005443520353643909,0.0002273047837018321
p53-2336R,2,62,47,0.2385625178385828,0.007054700905405614,0.00013867578706673432
LLC,2,62,47,0.2601269836323005,0.005283496496162522,0.00013479478335565954
402230,2,62,47,0.26711968373583894,0.00437586226427366,0.0001168775445098363
EMT6,2,62,47,0.2627975437058833,0.004884978098612731,0.0001168775445098363
D3UV2,1,63,48,0.25613083776239004,0.005150589689252821,9.529109638017117e-05
MC38,3,61,47,0.27669234717162633,0.0036634637271772776,8.921114468934789e-05
D4M.3A.3,1,63,48,0.26704282145642166,0.0038021063417142246,8.26752256510674e-05
YUMM1.7,1,63,48,0.2686793615359108,0.0035895788400380803,7.373691940167856e-05
E0771,1,63,48,0.2694489035982654,0.003489728257744237,6.571799767937578e-05
BNL-MEA,2,62,48,0.2742706132815641,0.003414716349463167,5.7988419056343155e-05
KPB25L,6,58,45,0.28937459095552787,0.002339564815170792,3.742941668402987e-05
p53-2225L,2,62,49,0.2773561825092059,0.00303680037037656,2.632396179636209e-05
4T1,7,57,46,0.3188293447305698,0.0014325719894795403,2.6068357407340165e-06
