study,mean_baseline,mean_icb,cell_line,cancer_type,n_cohorts,cohort,delta
ERP114266,0.7289963096766918,1.0942218724855666,CT26,Colorectal carcinoma,2,ERP114266,0.36522556280887475
GSE103725,0.06187295047089236,0.12016964543363072,YUMM1.7,Melanoma,1,GSE103725,0.05829669496273836
GSE107801,0.12245121406720069,0.4682755950473785,EMT6,Mammary carcinoma,2,GSE107801,0.34582438098017776
GSE109485,0.003253634060298267,0.01333233660787855,B16,Melanoma,2,GSE109485,0.010078702547580283
GSE124821,1.3631458655010698,1.5242421765985847,mixed,"Mammary cancer, NOS",19,GSE124821,0.161096311097515
GSE130472,2.1711499135143173,1.8888785324013935,4T1,Mammary carcinoma,4,GSE130472,-0.2822713811129238
GSE132529,4.60635116464027,4.618043517048983,4T1,Mammary carcinoma,1,GSE132529,0.011692352408712914
GSE137818,4.147687492719725,4.112295989782538,4T1,Mammary carcinoma,2,GSE137818,-0.035391502937186736
GSE139475,1.629370250589023,1.3127072172063137,CT26,Colorectal carcinoma,1,GSE139475,-0.3166630333827094
GSE146027,2.350038137144014,3.7601240210529996,YTN16,Gastric adenocarcinoma,5,GSE146027,1.4100858839089856
GSE148856,0.5697079169503312,0.7815459570018857,402230,Sarcoma,2,GSE148856,0.2118380400515545
GSE148947,0.09996764630523258,0.09012687043930548,BNL-MEA,Hepatocellular carcinoma,2,GSE148947,-0.009840775865927104
GSE149825,0.08628271498654282,1.3418467568459496,B16,Melanoma,2,GSE149825,1.2555640418594067
GSE150401,0.0,0.13481691374559762,B16,Melanoma,2,GSE150401,0.13481691374559762
GSE151829,0.38197363875203005,0.6889599274579045,B16,Melanoma,2,GSE151829,0.3069862887058744
GSE152925,0.026506046436864942,0.033324544175586036,B16,Melanoma,3,GSE152925,0.0068184977387210945
GSE153239,0.23522739846813348,0.5039231775442263,CT26,Colorectal carcinoma,4,GSE153239,0.2686957790760929
GSE155972,0.21864583617951383,0.64725757944076,LLC,Lung carcinoma,2,GSE155972,0.4286117432612462
GSE159344,0.14835430747093423,0.6534805138034885,mixed,Melanoma,2,GSE159344,0.5051262063325542
GSE172162,0.014287501600122151,0.017946999326272348,MC38,Colorectal carcinoma,2,GSE172162,0.0036594977261501967
GSE174053,0.5992002718011491,0.6090158168355533,E0771,Mammary adenocarcinoma,1,GSE174053,0.009815545034404183
GSE93017,0.0,0.09954429880361666,MC38,Colorectal carcinoma,1,GSE93017,0.09954429880361666
