leiden	n	score_Epithelial	score_T/NK	score_B/Plasma	score_Myeloid	score_Mast	score_Endothelial	score_Fibroblast	score_normal_lung	frac_marker_epi	frac_marker_tnk	cluster_lineage	cluster_malignant
0	2900	1.0388505674517818	0.07864547262987452	0.04531315263471475	0.04496516300675106	0.011832158484761506	0.018987470563840904	0.05276302128528508	0.03103389136583101	0.9251724137931034	0.04068965517241379	Epithelial	True
1	19353	0.01699942293705116	1.7105806183446526	0.050262250047411805	0.04253912164685134	0.011704517698736436	0.051954512446793916	0.00919362340286551	0.04414545825232844	0.001756833565855423	0.9935927246421743	T/NK	False
2	2246	0.023144509303609083	1.6106065641346976	0.07033393092418547	0.04874767267323554	0.016354628984610896	0.04662440294208931	0.014233052770510934	0.031172428114471563	0.0013357079252003562	0.9835262689225289	T/NK	False
3	15859	0.01045886533747277	1.3735154915285654	0.09173139702175369	0.051772455461870405	0.00914763460007258	0.081245630622298	0.012877232215654094	0.05866555386047674	0.0033419509426823885	0.9835424679992434	T/NK	False
4	20228	0.012606003828497152	0.915479313209442	0.046010446632386515	0.03386978993896264	0.011380260010886812	0.009466196973655477	0.015204122769786749	0.0609363864232082	0.017154439390943247	0.9574846747083251	T/NK	False
5	13944	0.012912063409323963	1.1050342839354723	0.08492838889749728	0.04143426833850687	0.011531908567841531	0.008443819689462242	0.01504834261791404	0.046930649962950585	0.0048049340218014915	0.980780263912794	T/NK	False
6	7456	0.01310402344925495	1.5932071672085595	0.040562807174740596	0.045094361271874744	0.010933331998465806	0.04833986439569878	0.0094914163767867	0.06703165433394376	0.01072961373390558	0.9695547210300429	T/NK	False
7	4830	0.03052661510342502	0.05013945215521981	0.0216972931699351	0.44523783867566213	0.013937480966871996	0.17348869433740977	0.009969891828630145	0.02473127577565153	0.22629399585921325	0.039958592132505175	Myeloid	False
8	2978	0.12211580797514958	0.31287863132492655	0.34479016406213575	0.5913903725501718	0.08812083852058267	0.3556265222023567	1.3887950821117436	0.42795388508049237	0.0157824042981867	0.06145063801208865	Fibroblast	False
9	2975	0.06715564214216313	0.04467499511705358	0.04489938389094064	0.05466484721361426	0.01215564096015708	0.014631634564453298	1.6017553912108484	0.11834139646272479	0.016134453781512605	0.011764705882352941	Fibroblast	False
10	1485	1.677806351862248	0.013486954918442607	0.010689613367236934	0.022671504481764887	0.0019143248213478227	0.01729218446616285	0.020820286553064025	0.011379209619141302	0.9973063973063973	0.0026936026936026937	Epithelial	True
11	5337	0.04088763300241819	0.03237168162451672	0.013232801779560079	0.507489083259793	0.011754158773895126	0.2539630532356557	0.007710099853330634	0.09826359003667985	0.15851602023608768	0.01836237586659172	Myeloid	False
12	10206	0.01318373549076836	0.06900288385652303	1.4344919754147616	0.053095315664843906	0.011100636201592913	0.017777344814813724	0.007483624853207648	0.07656792817516231	0.0012737605330197922	0.0024495394865765236	B/Plasma	False
13	10374	0.0058948680786815215	0.03337481576396965	1.2010562583993294	0.058856726089535114	0.007188649805257938	0.020000049880580836	0.010936636179389583	0.04263465200410399	0.001735106998264893	0.000578368999421631	B/Plasma	False
14	6320	0.05961833169825353	0.03182757462107572	0.01425779692840195	1.6733096340458624	0.019535838086283792	0.3154804884785222	0.008410889949812336	0.14470646909809134	0.00031645569620253165	0.0	Myeloid	False
15	14902	0.05465026650843883	0.047977553230266215	0.023502629595590907	1.68739432054905	0.010134951154424083	0.1773168471447874	0.02329368013346439	0.03912102643031622	0.002684203462622467	0.005099986578982687	Myeloid	False
