gene	matrix	present	n_libraries	n_nonzero	median	max
CLDN4	FPKM	yes	50	7	0.0	0.642887
CD8A	FPKM	yes	50	3	0.0	8.463943
CD274	FPKM	yes	50	6	0.0	6.387192
CD3D	FPKM	yes	50	9	0.0	60.94199
CD3E	FPKM	yes	50	12	0.0	31.835172
NKG7	FPKM	yes	50	42	106.99086	352.486046
GNLY	FPKM	yes	50	22	0.0	184.087076
PRF1	FPKM	yes	50	5	0.0	23.093929
GZMA	FPKM	yes	50	9	0.0	64.654732
GZMB	FPKM	yes	50	22	0.0	102.461201
IFNG	FPKM	yes	50	3	0.0	19.114283
STAT1	FPKM	yes	50	27	0.0068335	20.170126
CXCL9	FPKM	yes	50	4	0.0	2.852905
CXCL10	FPKM	yes	50	2	0.0	127.038658
IDO1	FPKM	yes	50	0	0.0	0.0
HLA-DRA	FPKM	yes	50	45	97.9213275	309.749199
EPCAM	FPKM	yes	50	2	0.0	0.892336
KRT8	FPKM	yes	50	7	0.0	6.584069
KRT18	FPKM	yes	50	9	0.0	23.741102
KRT19	FPKM	yes	50	2	0.0	0.120194
CDH1	FPKM	yes	50	8	0.0	33.235836
KRT7	FPKM	yes	50	0	0.0	0.0
PTPRC	FPKM	yes	50	18	0.0	10.517806
CLDN4	counts	yes	50	7	0.0	67.0
CD8A	counts	yes	50	3	0.0	1599.0
CD274	counts	yes	50	6	0.0	1330.0
CD3D	counts	yes	50	9	0.0	2954.0
CD3E	counts	yes	50	12	0.0	3438.0
NKG7	counts	yes	50	42	4212.0	19148.0
GNLY	counts	yes	50	22	0.0	9107.0
PRF1	counts	yes	50	5	0.0	667.0
GZMA	counts	yes	50	9	0.0	3645.0
GZMB	counts	yes	50	22	0.0	4986.0
IFNG	counts	yes	50	3	0.0	1386.0
STAT1	counts	yes	50	27	2.0	5563.0
CXCL9	counts	yes	50	4	0.0	472.0
CXCL10	counts	yes	50	2	0.0	5272.0
IDO1	counts	yes	50	0	0.0	0.0
HLA-DRA	counts	yes	50	45	6722.0	28773.0
EPCAM	counts	yes	50	2	0.0	78.0
KRT8	counts	yes	50	7	0.0	1410.0
KRT18	counts	yes	50	9	0.0	2969.0
KRT19	counts	yes	50	2	0.0	6.0
CDH1	counts	yes	50	8	0.0	1707.0
KRT7	counts	yes	50	0	0.0	0.0
PTPRC	counts	yes	50	18	0.0	4213.0
