	group	EPITHELIAL_ISG	BULK_IMMUNE	HALLMARK_IFNG	HALLMARK_IFNG_LEUK	HALLMARK_IFNG_ISG	CTRL_OXPHOS	HALLMARK_IFNG_REST
KO162	KO	-0.4063994642559745	0.041568700254390974	-0.32068975611820544	0.04154913625694933	-0.31242839582070614	-0.7914575147009536	-0.4154602766907639
KO164	KO	-0.1349264916036961	0.5397740817370354	0.29738343246309923	0.5119936940976069	-0.13959099709668157	-0.26921666227026125	0.28705960177146345
KO165	KO	0.3456708266841288	0.40952065595859943	0.01871194176115003	0.31489362254198255	0.30845349660610916	-0.8694738994351898	-0.08812317375854309
KO172	KO	-0.05213520441210029	0.11513435212498722	0.24665361017468493	0.4262922672550409	-0.09788669851246504	0.5412360390546127	0.23581073109177852
RESUB-KO163R	KO	0.4355885533341232	1.2296263416685442	0.4743250702090079	0.43432489742681285	0.4113475753935153	0.8019258522278063	0.4912264848371094
RESUB-171R	WT	-0.6038306257228521	-0.9190078089190261	-0.6250397605819467	-1.0195883697950552	-0.5868054848988546	0.053908803493352565	-0.5267144164123503
RESUB-170R	WT	-0.8814102057337283	-0.38116162688036065	-0.14144689593823426	-0.019221133833507764	-0.8755030563323809	1.5516213326137065	-0.09701071392451108
RESUB-169R	WT	1.5088203732486325	0.137740939378325	0.2887324637206839	-0.052966529682957925	1.4659293968400051	-0.8069004373209481	0.25524140968703185
RESUB-168R	WT	0.14714347169689196	-0.08030017457153556	0.16118955185114406	-0.11250390919546525	0.25639052312701255	0.23984758320472213	0.2222744225086934
control170	WT	-0.3585212332354184	-1.0928954607509611	-0.3998196575413825	-0.5247736750714096	-0.42990635930554805	-0.45149109686684386	-0.3643040691099065
