scope	arm	set	method	filter	contrast	n_A	n_B	n_genes	effect	p	fdr_full10	fdr_sweep	alternative
any_filter	ifn_gamma	HALLMARK_IFNG	gene_rank_welch	drop_RESUB-169R	Trop2KO_minus_WT	5	4	184	0.180021943843857	3.054454892909284e-20		1.9311818333449424e-17	greater
any_filter	epithelial_program	GOBP_KERATINIZATION	gene_rank_modt	drop_RESUB-171R	Trop2KO_minus_WT	5	4	38	-2.546777181253116	4.3351159523942497e-19		1.564976858814324e-16	less
any_filter	immune	HALLMARK_ALLOGRAFT	gene_rank_modt	drop_RESUB-168R	Trop2KO_minus_WT	5	4	173	0.1820108303993839	4.94640834412595e-16		5.356960236688404e-14	greater
any_filter	inflammatory	HALLMARK_INFLAMMATORY	gene_rank_welch	drop_RESUB-169R	Trop2KO_minus_WT	5	4	178	0.14087974097871037	2.3862225112926316e-11		4.969767268711384e-10	greater
any_filter	ifn_alpha	HALLMARK_IFNA	gene_rank_modt	drop_RESUB-169R	Trop2KO_minus_WT	5	4	92	0.18433855520944534	4.140664198201087e-11		8.30433208639218e-10	greater
any_filter	barrier	KEGG_TIGHT_JUNCTION	gene_rank_modt	drop_RESUB-170R	Trop2KO_minus_WT	5	4	135	-0.26428041594569834	4.5949534794227204e-10		7.775522840960635e-09	less
any_filter	apm	APM_MHCI	gene_rank_welch	drop_RESUB-168R	Trop2KO_minus_WT	5	4	22	0.2625566377714729	8.054060269160013e-08		6.461146127037255e-07	greater
any_filter	ifn_isg	EPITHELIAL_ISG	gene_rank_welch	drop_RESUB-169R	Trop2KO_minus_WT	5	4	16	0.23475117957009395	0.00018548953782813167		0.0006741113069391497	greater
any_filter	nhej	HALLMARK_DNA_REPAIR	gene_rank_welch	drop_RESUB-KO163R	Trop2KO_minus_WT	4	5	142	-0.09327139402322107	0.0022548010342357616		0.006996990028874871	less
any_filter	sting	STING_CORE	sample_mean_z_perm	drop_RESUB-168R	Trop2KO_minus_WT	5	4	14	0.39789243018466547	0.007936507936507936		0.01893224250052444	greater
cldn4_contrast	barrier	GOBP_TJ_ORGANIZATION	gene_rank_modt	all10	Cldn4low_minus_Cldn4high_median	5	5	61	-0.31085945614804417	2.421005943549948e-07		1.6490248030594927e-06	less
cldn4_contrast	immune	HALLMARK_ALLOGRAFT	gene_rank_welch	all10	Cldn4low_minus_Cldn4high_median	5	5	173	0.16991742969888557	1.7674438065193282e-05		7.11576818758525e-05	greater
cldn4_contrast	epithelial_program	GOBP_KERATINIZATION	gene_rank_modt	all10	Cldn4low_minus_Cldn4high_top3	3	3	38	-1.3190614710973887	6.649384115486828e-05		0.0002509157838701127	less
cldn4_contrast	inflammatory	HALLMARK_INFLAMMATORY	gene_rank_modt	all10	Cldn4low_minus_Cldn4high_median	5	5	178	0.1317645289906043	0.006657503217720313		0.01893224250052444	greater
cldn4_contrast	ifn_gamma	HALLMARK_IFNG	gene_rank_welch	all10	Cldn4low_minus_Cldn4high_median	5	5	184	0.0797838940043834	0.017927567087016275		0.03762704487449346	greater
cldn4_contrast	apm	APM_MHCI	gene_rank_welch	all10	Cldn4low_minus_Cldn4high_median	5	5	22	0.025724655672712385	0.2713740597232759		0.3390509144834404	greater
cldn4_contrast	sting	STING_CORE	sample_median_z_perm	all10	Cldn4low_minus_Cldn4high_median	5	5	14	0.1119661925060219	0.3531746031746032		0.41260851697744905	greater
cldn4_contrast	ifn_alpha	HALLMARK_IFNA	sample_mean_z_perm	all10	Cldn4low_minus_Cldn4high_median	5	5	92	0.024205870584782213	0.45634920634920634		0.5121514927214409	greater
cldn4_contrast	ifn_isg	EPITHELIAL_ISG	sample_median_z_perm	all10	Cldn4low_minus_Cldn4high_median	5	5	16	-0.39314051015143303	0.7619047619047619		0.792644435295732	greater
cldn4_contrast	nhej	HALLMARK_DNA_REPAIR	spearman_score	all10	Spearman_Cldn4	10	0	142	-0.33333333333333326	0.8267032464563329		0.8502560455006728	rho_positive
full10	epithelial_program	GOBP_KERATINIZATION	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	38	-2.0660025182748885	1.923659814915557e-16	1.4619814593358233e-14	2.31480397728172e-14	less
full10	immune	HALLMARK_ALLOGRAFT	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	173	0.15599464342220848	6.412423869105173e-13	1.6244807135066438e-11	1.876933797362406e-11	greater
full10	ifn_gamma	HALLMARK_IFNG	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	184	0.12689615897120524	2.3724899021710753e-12	3.6061846513000344e-11	6.423516410128186e-11	greater
full10	inflammatory	HALLMARK_INFLAMMATORY	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	178	0.1134339882034419	1.4418696397545329e-08	1.5065468332878567e-07	1.6098400204682053e-07	greater
full10	barrier	KEGG_TIGHT_JUNCTION	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	135	-0.2494657047348924	5.0740950129044035e-08	3.505738372552133e-07	4.5793707491462243e-07	less
full10	ifn_alpha	HALLMARK_IFNA	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	92	0.11152161686689437	6.7577559235377865e-06	2.4456640485184367e-05	2.987203944976091e-05	greater
full10	apm	APM_MHCI	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	22	0.1560975996339418	0.0003337132004314202	0.0009754693551072282	0.0011546689970198978	greater
full10	sting	STING_CORE	gene_rank_welch	all10	Trop2KO_minus_WT	5	5	14	0.03606628297243132	0.03423281336361695	0.059006211180124224	0.06458908862856647	greater
full10	ifn_isg	EPITHELIAL_ISG	gene_rank_modt	all10	Trop2KO_minus_WT	5	5	16	0.03507110999303498	0.13970445914718954	0.1799582863590916	0.19855633760683236	greater
full10	nhej	HALLMARK_DNA_REPAIR	gene_rank_welch	all10	Trop2KO_minus_WT	5	5	142	-0.041416111287162806	0.1929239958227285	0.2309027777777778	0.2598715018358395	less
