contrast	filter	gene	n_A	n_B	log2FC	welch_p_down	welch_p_up	modt_p_down	modt_p_up	mwu_p_down	mwu_p_up
Trop2KO_minus_WT	all10	Tacstd2	5	5	-3.821168564385717	0.0005396182880866204	0.9994603817119134	5.3347981828975654e-05	0.999946652018171	0.003968253968253968	1.0
Trop2KO_minus_WT	all10	Cldn4	5	5	-0.8172280353675241	0.12645962879671957	0.8735403712032804	0.09438805243783809	0.9056119475621619	0.21031746031746032	0.8452380952380952
Trop2KO_minus_WT	all10	Cldn1	5	5	-2.1807070102827386	0.017494075232089127	0.9825059247679109	0.007543358080723244	0.9924566419192767	0.015873015873015872	0.9920634920634921
Trop2KO_minus_WT	all10	Cldn7	5	5	-0.8228841611013129	0.045316855487396585	0.9546831445126034	0.020926116780625215	0.9790738832193748	0.007936507936507936	0.996031746031746
Trop2KO_minus_WT	all10	Ocln	5	5	-0.6612764303503198	0.03888647710414417	0.9611135228958558	0.020291761038863185	0.9797082389611368	0.047619047619047616	0.9722222222222222
Trop2KO_minus_WT	all10	Epcam	5	5	-1.261861580835438	0.01072853426111357	0.9892714657388865	0.0037783270942821742	0.9962216729057178	0.007936507936507936	0.996031746031746
Trop2KO_minus_WT	all10	Cxcl9	5	5	1.081512927445882	0.996893443267799	0.0031065567322009187	0.9986550085500969	0.0013449914499031029	0.996031746031746	0.007936507936507936
Trop2KO_minus_WT	all10	Cd8a	5	5	0.674278006018902	0.9457894689187666	0.05421053108123345	0.962344174429435	0.03765582557056504	0.9523809523809524	0.07539682539682539
Trop2KO_minus_WT	all10	Prf1	5	5	1.0343217270126202	0.9786137778496182	0.021386222150381762	0.9883476655465	0.011652334453499983	0.9722222222222222	0.047619047619047616
Trop2KO_minus_WT	all10	B2m	5	5	0.41018691389800566	0.9799197534423962	0.020080246557603734	0.9837063335541448	0.016293666445855177	0.9722222222222222	0.047619047619047616
Trop2KO_minus_WT	all10	Tap1	5	5	0.2800476695320864	0.8166061449163599	0.18339385508364017	0.8397608394861642	0.16023916051383585	0.7261904761904762	0.34523809523809523
Trop2KO_minus_WT	all10	Psmb8	5	5	0.15859363611034816	0.686516016340855	0.313483983659145	0.6998804558426333	0.30011954415736675	0.6547619047619047	0.42063492063492064
Trop2KO_minus_WT	all10	Nlrc5	5	5	0.5073834454252992	0.8452559721394132	0.1547440278605868	0.8722737424096956	0.1277262575903044	0.7896825396825397	0.27380952380952384
Trop2KO_minus_WT	all10	Stat1	5	5	0.46004786653617025	0.8563994480639174	0.14360055193608257	0.8895455757808038	0.11045442421919614	0.8452380952380952	0.21031746031746032
Trop2KO_minus_WT	all10	Isg15	5	5	-0.09074158395022547	0.4193775667700895	0.5806224332299105	0.41065311980336955	0.5893468801966304	0.34523809523809523	0.7261904761904762
