filter	method	barrier_set	barrier_effect	barrier_p	up_set	up_arm	up_effect	up_p	both_p_lt_0.05	max_p	n_A	n_B
drop_RESUB-170R	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.26428041594569834	4.5949534794227204e-10	HALLMARK_ALLOGRAFT	immune	0.19717947454024873	3.2472702673503205e-13	True	4.5949534794227204e-10	5	4
drop_RESUB-170R	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.26428041594569834	1.3499822988219383e-09	HALLMARK_ALLOGRAFT	immune	0.19717947454024873	1.4458709705250704e-12	True	1.3499822988219383e-09	5	4
drop_KO165_and_RESUB-170R_Cldn4gap	gene_rank_modt	BARRIER_STRUCT	-0.8901748882000013	3.1445856255633895e-09	HALLMARK_ALLOGRAFT	immune	0.22221006097279242	1.398410756692061e-13	True	3.1445856255633895e-09	4	4
drop_KO165_and_RESUB-170R_Cldn4gap	gene_rank_welch	BARRIER_STRUCT	-0.8901748882000013	6.1301574909977536e-09	HALLMARK_ALLOGRAFT	immune	0.22221006097279242	5.026935697468733e-13	True	6.1301574909977536e-09	4	4
drop_KO162	gene_rank_modt	BARRIER_STRUCT	-0.7313242867773042	9.224027202566337e-09	HALLMARK_IFNG	ifn_gamma	0.1771851798480065	7.825811241878397e-16	True	9.224027202566337e-09	4	5
drop_RESUB-171R	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.26902176740955613	1.0635434578885198e-08	HALLMARK_ALLOGRAFT	immune	0.10302828953086224	1.7306966381726618e-09	True	1.0635434578885198e-08	5	4
drop_KO164	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.23954488894475165	2.0309011508697118e-08	HALLMARK_ALLOGRAFT	immune	0.13822751743012923	6.574185840739832e-12	True	2.0309011508697118e-08	4	5
drop_KO162	gene_rank_welch	BARRIER_STRUCT	-0.7313242867773042	3.376551073313926e-08	HALLMARK_IFNG	ifn_gamma	0.1771851798480065	8.8010386269393025e-16	True	3.376551073313926e-08	4	5
drop_KO164	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.23954488894475165	3.6169044483030695e-08	HALLMARK_ALLOGRAFT	immune	0.13822751743012923	1.6825223404463926e-11	True	3.6169044483030695e-08	4	5
drop_RESUB-171R	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.26902176740955613	3.948867462546325e-08	HALLMARK_ALLOGRAFT	immune	0.10302828953086224	3.85885292862193e-09	True	3.948867462546325e-08	5	4
drop_KO165	gene_rank_modt	BARRIER_STRUCT	-0.7778598085060683	4.02503180538228e-08	HALLMARK_ALLOGRAFT	immune	0.1810252298547522	3.6274914704218407e-14	True	4.02503180538228e-08	4	5
drop_RESUB-169R	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.2649219028082453	4.7584936846234994e-08	HALLMARK_IFNG	ifn_gamma	0.180021943843857	3.566356109593615e-20	True	4.7584936846234994e-08	5	4
all10	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.2494657047348924	5.0740950129044035e-08	HALLMARK_ALLOGRAFT	immune	0.15599464342220848	6.412423869105173e-13	True	5.0740950129044035e-08	5	5
drop_KO165	gene_rank_welch	BARRIER_STRUCT	-0.7778598085060683	7.624607744955682e-08	HALLMARK_ALLOGRAFT	immune	0.1810252298547522	1.284787650678864e-13	True	7.624607744955682e-08	4	5
all10	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.2494657047348924	9.724841139603203e-08	HALLMARK_ALLOGRAFT	immune	0.15599464342220848	1.823836577420749e-12	True	9.724841139603203e-08	5	5
drop_RESUB-169R	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.2649219028082453	1.242182452857909e-07	HALLMARK_IFNG	ifn_gamma	0.180021943843857	3.054454892909284e-20	True	1.242182452857909e-07	5	4
drop_RESUB-KO163R	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.24174687227399513	1.6308364140698104e-07	HALLMARK_ALLOGRAFT	immune	0.11058838635313524	2.0989723105946685e-10	True	1.6308364140698104e-07	4	5
drop_KO172	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.26503597680126645	1.7070780797060453e-07	HALLMARK_IFNG	ifn_gamma	0.11517150090503836	1.2739235942096203e-11	True	1.7070780797060453e-07	4	5
drop_RESUB-KO163R	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.24174687227399513	1.8253455096445752e-07	HALLMARK_ALLOGRAFT	immune	0.11058838635313524	6.784824790605781e-10	True	1.8253455096445752e-07	4	5
drop_control170	gene_rank_modt	KEGG_TIGHT_JUNCTION	-0.2697455132361658	2.103295594607742e-07	HALLMARK_ALLOGRAFT	immune	0.12659006082485624	3.952914637087083e-10	True	2.103295594607742e-07	5	4
drop_KO172	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.26503597680126645	2.3333282459937995e-07	HALLMARK_IFNG	ifn_gamma	0.11517150090503836	1.7131120096666243e-11	True	2.3333282459937995e-07	4	5
drop_control170	gene_rank_welch	KEGG_TIGHT_JUNCTION	-0.2697455132361658	6.844312669178021e-07	HALLMARK_ALLOGRAFT	immune	0.12659006082485624	1.1418716675108557e-09	True	6.844312669178021e-07	5	4
drop_RESUB-168R	gene_rank_modt	BARRIER_STRUCT	-0.5929041462334672	1.4546581813280125e-06	HALLMARK_ALLOGRAFT	immune	0.1820108303993839	4.94640834412595e-16	True	1.4546581813280125e-06	5	4
drop_RESUB-168R	gene_rank_welch	BARRIER_STRUCT	-0.5929041462334672	3.04046538444274e-06	HALLMARK_ALLOGRAFT	immune	0.1820108303993839	2.583800384743059e-15	True	3.04046538444274e-06	5	4
all10	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.37834881422054756	0.003968253968253968	BULK_IMMUNE	immune	0.8816864543588367	0.007936507936507936	True	0.007936507936507936	5	5
drop_KO162	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.3523557666134429	0.007936507936507936	BULK_IMMUNE	immune	0.930209215190752	0.007936507936507936	True	0.007936507936507936	4	5
drop_RESUB-168R	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.2219289526804262	0.007936507936507936	BULK_IMMUNE	immune	0.9686831649115252	0.007936507936507936	True	0.007936507936507936	5	4
drop_RESUB-169R	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.43372483156075076	0.007936507936507936	BULK_IMMUNE	immune	0.9581078688212493	0.007936507936507936	True	0.007936507936507936	5	4
drop_KO162	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.4060997362479024	0.015873015873015872	BULK_IMMUNE	immune	1.0501013535833204	0.015873015873015872	True	0.015873015873015872	4	5
drop_KO164	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.3661894723938409	0.007936507936507936	BULK_IMMUNE	immune	0.8661186558465611	0.015873015873015872	True	0.015873015873015872	4	5
drop_KO165	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.36469594481849454	0.007936507936507936	BULK_IMMUNE	immune	0.881633235168116	0.015873015873015872	True	0.015873015873015872	4	5
drop_KO172	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.3849615529274794	0.007936507936507936	BULK_IMMUNE	immune	0.8593926623601101	0.015873015873015872	True	0.015873015873015872	4	5
drop_KO172	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.48347382523533894	0.007936507936507936	STING_CORE	sting	0.4957909659430319	0.015873015873015872	True	0.015873015873015872	4	5
drop_RESUB-168R	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.29732916009665966	0.007936507936507936	STING_CORE	sting	0.4449867682570289	0.015873015873015872	True	0.015873015873015872	5	4
drop_RESUB-170R	sample_mean_z_perm	BARRIER_STRUCT	-1.0102518495184643	0.007936507936507936	BULK_IMMUNE	immune	0.9006699752794992	0.015873015873015872	True	0.015873015873015872	5	4
drop_RESUB-171R	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.4052085424423746	0.007936507936507936	BULK_IMMUNE	immune	0.8089946269121884	0.015873015873015872	True	0.015873015873015872	5	4
drop_RESUB-KO163R	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.38995647295661545	0.007936507936507936	BULK_IMMUNE	immune	0.8404984559554471	0.015873015873015872	True	0.015873015873015872	4	5
drop_control170	sample_mean_z_perm	KEGG_TIGHT_JUNCTION	-0.39860920324630167	0.007936507936507936	BULK_IMMUNE	immune	0.7876661316727348	0.015873015873015872	True	0.015873015873015872	5	4
all10	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.4601088308782029	0.003968253968253968	BULK_IMMUNE	immune	0.9085827699542404	0.023809523809523808	True	0.023809523809523808	5	5
drop_RESUB-170R	sample_median_z_perm	BARRIER_STRUCT	-1.1490004838317374	0.007936507936507936	HALLMARK_ALLOGRAFT	immune	0.6010805748223462	0.023809523809523808	True	0.023809523809523808	5	4
drop_KO165_and_RESUB-170R_Cldn4gap	sample_mean_z_perm	BARRIER_STRUCT	-1.043270035006379	0.014285714285714285	BULK_IMMUNE	immune	0.888724031310612	0.02857142857142857	True	0.02857142857142857	4	4
drop_KO165_and_RESUB-170R_Cldn4gap	sample_median_z_perm	BARRIER_STRUCT	-1.2388432304630115	0.014285714285714285	HALLMARK_ALLOGRAFT	immune	0.6313381396144979	0.02857142857142857	True	0.02857142857142857	4	4
drop_KO165	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.48297804231278235	0.007936507936507936	HALLMARK_ALLOGRAFT	immune	0.5810810902939121	0.031746031746031744	True	0.031746031746031744	4	5
drop_RESUB-169R	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.49659194904803794	0.031746031746031744	BULK_IMMUNE	immune	1.0058362709318776	0.015873015873015872	True	0.031746031746031744	5	4
drop_RESUB-171R	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.4673195976036446	0.015873015873015872	BULK_IMMUNE	immune	0.8441934732262606	0.03968253968253968	True	0.03968253968253968	5	4
drop_RESUB-KO163R	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.4464729813637919	0.007936507936507936	BULK_IMMUNE	immune	0.8034931312915736	0.03968253968253968	True	0.03968253968253968	4	5
drop_control170	sample_median_z_perm	KEGG_TIGHT_JUNCTION	-0.5229318555168964	0.007936507936507936	BULK_IMMUNE	immune	0.8230169677323683	0.03968253968253968	True	0.03968253968253968	5	4
