contrast	filter	set	arm	method	n_A	n_B	n_genes	effect	alternative	p	n_perm	thesis	n_KO_in_low	fdr_sweep	fdr_full10
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	5	4	184	0.180021943843857	greater	3.054454892909284e-20	0	True		1.9311818333449424e-17	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	5	4	184	0.180021943843857	greater	3.566356109593615e-20	0	True		1.9311818333449424e-17	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	4	38	-2.546777181253116	less	4.3351159523942497e-19	0	True		1.564976858814324e-16	
Trop2KO_minus_WT	drop_RESUB-171R	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	4	38	-2.546777181253116	less	1.9306478136777507e-17	0	True		5.22722895553251e-15	
Trop2KO_minus_WT	drop_RESUB-168R	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	4	38	-2.470685086030622	less	3.943082486312859e-17	0	True		8.540716665353653e-15	
Trop2KO_minus_WT	drop_KO164	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	5	38	-2.0453941094372694	less	5.977762401441528e-17	0	True		1.0071423304300334e-14	
Trop2KO_minus_WT	drop_RESUB-170R	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	4	38	-2.1439338034509263	less	6.509691886436043e-17	0	True		1.0071423304300334e-14	
Trop2KO_minus_WT	drop_KO164	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	5	38	-2.0453941094372694	less	1.8560357251711046e-16	0	True		2.31480397728172e-14	
Trop2KO_minus_WT	all10	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	5	38	-2.0660025182748885	less	1.923659814915557e-16	0	True		2.31480397728172e-14	1.4619814593358233e-14
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	4	173	0.1820108303993839	greater	4.94640834412595e-16	0	True		5.356960236688404e-14	
Trop2KO_minus_WT	drop_KO162	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	5	184	0.1771851798480065	greater	7.825811241878397e-16	0	True		7.704866886322094e-14	
Trop2KO_minus_WT	drop_KO162	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	5	184	0.1771851798480065	greater	8.8010386269393025e-16	0	True		7.94293736081272e-14	
Trop2KO_minus_WT	drop_RESUB-168R	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	4	38	-2.470685086030622	less	1.233165552346296e-15	0	True		1.0273217639931067e-13	
Trop2KO_minus_WT	drop_KO162	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	5	38	-2.0534944154992245	less	1.6198751120741744e-15	0	True		1.253089104554522e-13	
Trop2KO_minus_WT	drop_KO165	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	5	38	-2.065368938492427	less	1.8466703742714294e-15	0	True		1.266848676150046e-13	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	5	38	-2.0669009710590878	less	1.8716139259834474e-15	0	True		1.266848676150046e-13	
Trop2KO_minus_WT	all10	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	5	38	-2.0660025182748885	less	2.522938316363598e-15	0	True		1.5545865648204073e-13	9.587165602181673e-14
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	4	173	0.1820108303993839	greater	2.583800384743059e-15	0	True		1.5545865648204073e-13	
Trop2KO_minus_WT	drop_KO172	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	5	38	-2.0988541568864347	less	3.2183999772758913e-15	0	True		1.8344879870472582e-13	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	4	4	38	-2.143300223668465	less	3.4042567048476446e-15	0	True		1.8434050056749996e-13	
Trop2KO_minus_WT	drop_control170	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	4	38	-1.883084382427945	less	6.990336781231709e-15	0	True		3.316661589925537e-13	
Trop2KO_minus_WT	drop_KO165	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	5	38	-2.065368938492427	less	7.172245982411482e-15	0	True		3.316661589925537e-13	
Trop2KO_minus_WT	drop_KO172	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	5	38	-2.0988541568864347	less	7.25646406381174e-15	0	True		3.316661589925537e-13	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	5	4	184	0.1558496255612684	greater	7.349942581552436e-15	0	True		3.316661589925537e-13	
Trop2KO_minus_WT	drop_KO162	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	5	38	-2.0534944154992245	less	8.005728912325796e-15	0	True		3.4680817648195346e-13	
Trop2KO_minus_WT	drop_RESUB-KO163R	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	5	38	-2.0669009710590878	less	1.3546532947723358e-14	0	True		5.642651993224768e-13	
Trop2KO_minus_WT	drop_KO162	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	5	173	0.20588287160300428	greater	2.355792150530634e-14	0	True		9.449344070461765e-13	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	5	4	184	0.1558496255612684	greater	3.027523800467774e-14	0	True		1.1710029556809283e-12	
Trop2KO_minus_WT	drop_KO165	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	5	173	0.1810252298547522	greater	3.6274914704218407e-14	0	True		1.3546804353333978e-12	
Trop2KO_minus_WT	drop_RESUB-170R	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	4	38	-2.1439338034509263	less	4.989009514374122e-14	0	True		1.8010324346890582e-12	
Trop2KO_minus_WT	drop_KO162	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	5	173	0.20588287160300428	greater	5.357729338861883e-14	0	True		1.8717486690282e-12	
Trop2KO_minus_WT	drop_KO165	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	5	173	0.1810252298547522	greater	1.284787650678864e-13	0	True		4.348203205266281e-12	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	4	173	0.22221006097279242	greater	1.398410756692061e-13	0	True		4.589329846962128e-12	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	4	173	0.19717947454024873	greater	3.2472702673503205e-13	0	True		1.0191664850435274e-11	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	4	4	38	-2.143300223668465	less	3.293705168654059e-13	0	True		1.0191664850435274e-11	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	4	173	0.22221006097279242	greater	5.026935697468733e-13	0	True		1.5122698223218438e-11	
Trop2KO_minus_WT	all10	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	5	173	0.15599464342220848	greater	6.412423869105173e-13	0	True		1.876933797362406e-11	1.6244807135066438e-11
