gene	species	family	n_models	n_observed_models	n_missing_models	entry
CLDN4	human	predictor	130	49	81	O14493
PRKDC	human	DNA-PK	130	130	0	P78527
XRCC5	human	DNA-PK	130	130	0	P13010
XRCC6	human	DNA-PK	130	130	0	P12956
STING1	human	STING	130	111	19	Q86WV6
CGAS	human	STING	130	114	16	Q8N884
TBK1	human	STING	130	130	0	Q9UHD2
IRF3	human	STING	130	102	28	Q14653
IFI16	human	extended	130	130	0	Q16666
STAT1	human	extended	130	130	0	P42224
STAT2	human	extended	130	130	0	P52630
IRF9	human	extended	130	129	1	Q00978
MAVS	human	extended	130	130	0	Q7Z434
DDX58	human	extended	130	130	0	O95786
IFIH1	human	extended	130	89	41	Q9BYX4
IRF7	human	extended	130	23	107	Q92985
NFKB1	human	extended	130	130	0	P19838
RELA	human	extended	130	130	0	Q04206
JAK1	human	extended	130	130	0	P23458
TYK2	human	extended	130	72	58	P29597
