n_pairwise	rho	p	tested	note	sweep	partner	stratum	n_stratum	n_dropped	dropped_models	counts_toward_final_call	n_loo_p_le_005	q_bh
0			False	WHO growth pattern (lepidic/acinar/papillary/micropapillary/solid) is not a column in Supplementary Data 1; not tested	histology_subtype		WHO_pattern	0	0		False		
24	0.2452173913043478	0.24812129907550173	True	two-sided Spearman, pairwise-complete log2 protein	complete_case_spearman	PRKDC	LUAD	24	0		True		
24	0.32928537713898776	0.11612872893683786	True	two-sided Pearson, same complete cases as the Spearman	complete_case_pearson	PRKDC	LUAD	24	0		True		
20	0.13984962406015036	0.5564935505662204	True	two-sided Spearman, pairwise-complete log2 protein; dropped Tukey 1.5 IQR outliers on CLDN4 or the partner	outlier_tukey	PRKDC	LUAD	24	4	PHLC181,PHLC426,PHLC435,PHLC164	True		
24	0.2452173913043478	0.24812129907550173	True	two-sided Spearman, pairwise-complete log2 protein; Cook's D > 4/n from OLS CLDN4 ~ partner, none imputed	outlier_cook	PRKDC	LUAD	24	0		True		
23	0.34189723320158105	0.11031176821291079	True	minimum leave-one-out Spearman p across 24 deletions; 0 deletions have p<=0.05. This minimum is not a test and does not decide the call.	leave_one_out_min_p	PRKDC	LUAD	24	1	PHLC243	False	0.0	
24	0.34695652173913033	0.0967023678304582	True	two-sided Spearman, pairwise-complete log2 protein	complete_case_spearman	XRCC5	LUAD	24	0		True		
24	0.4013878127337244	0.05188766509417761	True	two-sided Pearson, same complete cases as the Spearman	complete_case_pearson	XRCC5	LUAD	24	0		True		
22	0.21061547148503673	0.3467960161098384	True	two-sided Spearman, pairwise-complete log2 protein; dropped Tukey 1.5 IQR outliers on CLDN4 or the partner	outlier_tukey	XRCC5	LUAD	24	2	PHLC181,PHLC435	True		
24	0.34695652173913033	0.0967023678304582	True	two-sided Spearman, pairwise-complete log2 protein; Cook's D > 4/n from OLS CLDN4 ~ partner, none imputed	outlier_cook	XRCC5	LUAD	24	0		True		
23	0.45158102766798425	0.030536525594998736	True	minimum leave-one-out Spearman p across 24 deletions; 2 deletions have p<=0.05. This minimum is not a test and does not decide the call.	leave_one_out_min_p	XRCC5	LUAD	24	1	PHLC154	False	2.0	
24	0.3408695652173913	0.10309920611122529	True	two-sided Spearman, pairwise-complete log2 protein	complete_case_spearman	XRCC6	LUAD	24	0		True		
24	0.35743344499002044	0.08639000466406262	True	two-sided Pearson, same complete cases as the Spearman	complete_case_pearson	XRCC6	LUAD	24	0		True		
22	0.20835686053077357	0.3521105235596147	True	two-sided Spearman, pairwise-complete log2 protein; dropped Tukey 1.5 IQR outliers on CLDN4 or the partner	outlier_tukey	XRCC6	LUAD	24	2	PHLC181,PHLC435	True		
24	0.3408695652173913	0.10309920611122529	True	two-sided Spearman, pairwise-complete log2 protein; Cook's D > 4/n from OLS CLDN4 ~ partner, none imputed	outlier_cook	XRCC6	LUAD	24	0		True		
23	0.4436758893280633	0.03395095713854457	True	minimum leave-one-out Spearman p across 24 deletions; 2 deletions have p<=0.05. This minimum is not a test and does not decide the call.	leave_one_out_min_p	XRCC6	LUAD	24	1	PHLC154	False	2.0	
24	0.3565217391304348	0.08725310458309882	True	two-sided Spearman, pairwise-complete log2 protein	complete_case_spearman	DNAPK_score	LUAD	24	0		True		
24	0.3951671637757524	0.05598017480471808	True	two-sided Pearson, same complete cases as the Spearman	complete_case_pearson	DNAPK_score	LUAD	24	0		True		
21	0.2584415584415584	0.2579885873988545	True	two-sided Spearman, pairwise-complete log2 protein; dropped Tukey 1.5 IQR outliers on CLDN4 or the partner	outlier_tukey	DNAPK_score	LUAD	24	3	PHLC181,PHLC309,PHLC435	True		
24	0.3565217391304348	0.08725310458309882	True	two-sided Spearman, pairwise-complete log2 protein; Cook's D > 4/n from OLS CLDN4 ~ partner, none imputed	outlier_cook	DNAPK_score	LUAD	24	0		True		
23	0.4367588932806324	0.03718028976152966	True	minimum leave-one-out Spearman p across 24 deletions; 3 deletions have p<=0.05. This minimum is not a test and does not decide the call.	leave_one_out_min_p	DNAPK_score	LUAD	24	1	PHLC154	False	3.0	
7	0.10714285714285716	0.8191508555699912	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	PRKDC	LUAD1	7	0		False		0.8548130882487427
7	0.21428571428571433	0.6445115810207203	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	XRCC5	LUAD1	7	0		False		0.8286577470266404
7	0.21428571428571433	0.6445115810207203	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	XRCC6	LUAD1	7	0		False		0.8286577470266404
7	0.7857142857142859	0.03623846267982715	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	PRKDC	LUAD2	7	0		False		0.3261461641184444
7	0.3214285714285715	0.48207203829967776	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	XRCC5	LUAD2	7	0		False		0.8286577470266404
7	0.3214285714285715	0.48207203829967776	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	proteotype	XRCC6	LUAD2	7	0		False		0.8286577470266404
10	0.06666666666666665	0.8548130882487427	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n>=10, counts toward the call	proteotype	PRKDC	LUAD3	10	0		True		0.8548130882487427
10	0.2606060606060606	0.46708905438634024	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n>=10, counts toward the call	proteotype	XRCC5	LUAD3	10	0		True		0.8286577470266404
10	0.22424242424242422	0.5334005612725947	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n>=10, counts toward the call	proteotype	XRCC6	LUAD3	10	0		True		0.8286577470266404
4	0.39999999999999997	0.6	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	PRKDC	Proximate Inflammatory	4	0		False		0.8909747200953386
4	-0.39999999999999997	0.6	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	XRCC5	Proximate Inflammatory	4	0		False		0.8909747200953386
4	-0.19999999999999998	0.8	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	XRCC6	Proximate Inflammatory	4	0		False		0.8983528043506303
6	0.7714285714285715	0.07239650145772594	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	PRKDC	Proximate Proliferative	6	0		False		0.28958600583090377
6	0.6	0.208	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	XRCC5	Proximate Proliferative	6	0		False		0.4992
6	0.6	0.208	True	two-sided Spearman, pairwise-complete log2 protein; within-LUAD label, n<10, disclosed and not used to decide the call	transcriptome_subtype	XRCC6	Proximate Proliferative	6	0		False		0.4992
