cohort	n_models	n_CLDN4_quantified	n_CLDN4_missing	n_PRKDC	n_CLDN4_and_PRKDC	n_XRCC5	n_CLDN4_and_XRCC5	n_XRCC6	n_CLDN4_and_XRCC6	n_STING1	n_CLDN4_and_STING1	n_CGAS	n_CLDN4_and_CGAS	n_TBK1	n_CLDN4_and_TBK1	n_IRF3	n_CLDN4_and_IRF3	n_IFI16	n_CLDN4_and_IFI16	n_STAT1	n_CLDN4_and_STAT1	n_STAT2	n_CLDN4_and_STAT2	n_IRF9	n_CLDN4_and_IRF9	n_MAVS	n_CLDN4_and_MAVS	n_DDX58	n_CLDN4_and_DDX58	n_IFIH1	n_CLDN4_and_IFIH1	n_IRF7	n_CLDN4_and_IRF7	n_NFKB1	n_CLDN4_and_NFKB1	n_RELA	n_CLDN4_and_RELA	n_JAK1	n_CLDN4_and_JAK1	n_TYK2	n_CLDN4_and_TYK2
LUAD	56	24	32	56	24	56	24	56	24	50	24	51	24	56	24	46	18	56	24	56	24	56	24	55	23	56	24	56	24	40	21	13	9	56	24	56	24	56	24	38	21
LUSC	61	23	38	61	23	61	23	61	23	52	23	51	23	61	23	47	17	61	23	61	23	61	23	61	23	61	23	61	23	40	18	10	6	61	23	61	23	61	23	27	18
LUAD_plus_LUSC	117	47	70	117	47	117	47	117	47	102	47	102	47	117	47	93	35	117	47	117	47	117	47	116	46	117	47	117	47	80	39	23	15	117	47	117	47	117	47	65	39
other_histology	13	2	11	13	2	13	2	13	2	9	2	12	2	13	2	9	2	13	2	13	2	13	2	13	2	13	2	13	2	9	2	0	0	13	2	13	2	13	2	7	2
all_models	130	49	81	130	49	130	49	130	49	111	49	114	49	130	49	102	37	130	49	130	49	130	49	129	48	130	49	130	49	89	41	23	15	130	49	130	49	130	49	72	41
