model	gene	n_replicates_observed	replicate_values
PHLC113	CLDN4	1	PHLC113-X1=NA;PHLC113-X2=16.8887
PHLC113	PRKDC	2	PHLC113-X1=27.9862;PHLC113-X2=26.4287
PHLC113	XRCC5	2	PHLC113-X1=26.5129;PHLC113-X2=26.2631
PHLC113	XRCC6	2	PHLC113-X1=27.3601;PHLC113-X2=25.5516
PHLC113	STING1	2	PHLC113-X1=18.4884;PHLC113-X2=16.7030
PHLC113	CGAS	2	PHLC113-X1=17.0663;PHLC113-X2=16.6019
PHLC113	TBK1	2	PHLC113-X1=21.0429;PHLC113-X2=22.1591
PHLC113	IRF3	2	PHLC113-X1=18.3347;PHLC113-X2=18.1039
PHLC113	IFI16	2	PHLC113-X1=25.6350;PHLC113-X2=23.3071
PHLC113	STAT1	2	PHLC113-X1=25.2668;PHLC113-X2=24.8547
PHLC113	STAT2	2	PHLC113-X1=20.9714;PHLC113-X2=21.5448
PHLC113	IRF9	2	PHLC113-X1=18.8382;PHLC113-X2=21.0767
PHLC113	MAVS	2	PHLC113-X1=21.7095;PHLC113-X2=19.3171
PHLC113	DDX58	2	PHLC113-X1=21.7511;PHLC113-X2=22.3166
PHLC113	IFIH1	2	PHLC113-X1=19.3873;PHLC113-X2=19.5529
PHLC113	IRF7	0	PHLC113-X1=NA;PHLC113-X2=NA
PHLC113	NFKB1	2	PHLC113-X1=23.2296;PHLC113-X2=23.6614
PHLC113	RELA	2	PHLC113-X1=22.6485;PHLC113-X2=21.9817
PHLC113	JAK1	2	PHLC113-X1=19.4780;PHLC113-X2=21.7560
PHLC113	TYK2	1	PHLC113-X1=NA;PHLC113-X2=18.2505
PHLC116	CLDN4	0	PHLC116-X1=NA;PHLC116-X2=NA
PHLC116	PRKDC	2	PHLC116-X1=28.2468;PHLC116-X2=28.2071
PHLC116	XRCC5	2	PHLC116-X1=27.5277;PHLC116-X2=27.0868
PHLC116	XRCC6	2	PHLC116-X1=28.1135;PHLC116-X2=28.0223
PHLC116	STING1	2	PHLC116-X1=21.2023;PHLC116-X2=20.9073
PHLC116	CGAS	2	PHLC116-X1=18.2212;PHLC116-X2=17.7690
PHLC116	TBK1	2	PHLC116-X1=21.4150;PHLC116-X2=21.8082
PHLC116	IRF3	1	PHLC116-X1=18.7259;PHLC116-X2=NA
PHLC116	IFI16	2	PHLC116-X1=25.1911;PHLC116-X2=25.1185
PHLC116	STAT1	2	PHLC116-X1=25.7024;PHLC116-X2=25.7134
PHLC116	STAT2	2	PHLC116-X1=21.2176;PHLC116-X2=21.4419
PHLC116	IRF9	2	PHLC116-X1=19.1213;PHLC116-X2=19.3558
PHLC116	MAVS	2	PHLC116-X1=21.7965;PHLC116-X2=22.1911
PHLC116	DDX58	2	PHLC116-X1=24.0890;PHLC116-X2=23.6233
PHLC116	IFIH1	1	PHLC116-X1=NA;PHLC116-X2=20.0621
PHLC116	IRF7	0	PHLC116-X1=NA;PHLC116-X2=NA
PHLC116	NFKB1	2	PHLC116-X1=23.7151;PHLC116-X2=23.9799
PHLC116	RELA	2	PHLC116-X1=23.0319;PHLC116-X2=22.2149
PHLC116	JAK1	2	PHLC116-X1=20.9739;PHLC116-X2=20.2865
PHLC116	TYK2	1	PHLC116-X1=NA;PHLC116-X2=17.2826
PHLC277	CLDN4	0	PHLC277-X1=NA;PHLC277-X2=NA
PHLC277	PRKDC	2	PHLC277-X1=28.1704;PHLC277-X2=28.7870
PHLC277	XRCC5	2	PHLC277-X1=27.4655;PHLC277-X2=27.3431
PHLC277	XRCC6	2	PHLC277-X1=28.3996;PHLC277-X2=28.3996
PHLC277	STING1	2	PHLC277-X1=19.8899;PHLC277-X2=20.3905
PHLC277	CGAS	2	PHLC277-X1=17.5798;PHLC277-X2=17.6097
PHLC277	TBK1	2	PHLC277-X1=21.6468;PHLC277-X2=21.6549
PHLC277	IRF3	1	PHLC277-X1=18.5583;PHLC277-X2=NA
PHLC277	IFI16	2	PHLC277-X1=21.2454;PHLC277-X2=22.2144
PHLC277	STAT1	2	PHLC277-X1=26.3396;PHLC277-X2=25.6756
PHLC277	STAT2	2	PHLC277-X1=21.5954;PHLC277-X2=21.5025
PHLC277	IRF9	2	PHLC277-X1=18.9412;PHLC277-X2=18.5388
PHLC277	MAVS	2	PHLC277-X1=22.0020;PHLC277-X2=22.1269
PHLC277	DDX58	2	PHLC277-X1=21.6177;PHLC277-X2=22.2660
PHLC277	IFIH1	2	PHLC277-X1=19.1634;PHLC277-X2=20.0154
PHLC277	IRF7	0	PHLC277-X1=NA;PHLC277-X2=NA
PHLC277	NFKB1	2	PHLC277-X1=23.0574;PHLC277-X2=23.1236
PHLC277	RELA	2	PHLC277-X1=23.8701;PHLC277-X2=21.4897
PHLC277	JAK1	2	PHLC277-X1=21.0811;PHLC277-X2=20.4932
PHLC277	TYK2	1	PHLC277-X1=NA;PHLC277-X2=16.7773
