model	histology	proteotype	pdx_stability	median_human_log2	CLDN4	PRKDC	XRCC5	XRCC6	STING1	CGAS	TBK1	IRF3	IFI16	STAT1	STAT2	IRF9	MAVS	DDX58	IFIH1	IRF7	NFKB1	RELA	JAK1	TYK2	DNAPK_score	STING_score	n_sting_members
PHLC106	LUSC	LUSC1	stable	21.41636658	15.5018177	27.96620369	27.80311584	28.47870064	18.31365585	14.89817429	20.95923042		23.53281975	24.19692039	20.94607353	18.17540359	21.09635162	22.31525421		12.28263474	22.69001389	22.25778008	19.97314262		0.7657862115709749	-1.0548318398133911	3
PHLC110	LUAD	LUAD1	stable	21.33550644		27.93411636	26.80057144	27.54787254	20.3324585	19.25811958	21.69358635	19.26822662	24.74793625	26.26329231	21.43498611	19.94138527	21.47095871	23.43520546	20.53273964		23.78482437	23.04153442	21.10504723	16.0842247	-0.47288561476307117	0.5585311238387101	4
PHLC111	LUAD	LUAD2	stable	21.31388092	15.54809189	27.80696487	27.17974091	27.88601303	17.6277771	18.94870949	20.80730057		25.52233887	25.53101158	21.50823212	17.73351288	21.78886986	20.61935043		11.51393414	23.38907433	21.96085167	19.1115818		-0.007903214704905787	-0.7315220895939539	3
PHLC113	LUSC	LUSC2	stable	21.221807957499998	16.88874626	27.207443235	26.3880167	26.455858235	17.595703125	16.834106445	21.60101414	18.219304085	24.47108078	25.060744285	21.25812626	19.95745182	20.513329505	22.03381729	19.47011566		23.445462229999997	22.31508732	20.61698723	18.25054169	-1.936323634869506	-0.41772646499139365	4
PHLC116	LUAD	LUAD3	stable	21.546803474999997		28.226971624999997	27.307247165	28.067905425	21.054789545	17.995124815	21.611598015	18.72587013	25.15482235	25.707904815	21.32973385	19.238560675	21.99384594	23.856142045	20.06211281		23.847501755000003	22.62340355	20.630166055	17.28260422	0.5156426950729701	0.025318432138487786	4
PHLC119	LUAD	LUAD3	stable	21.417269705	16.13268471	28.42353249	27.25137138	28.06701088	20.4444294	19.01425362	22.07731056	19.54648781	25.81331062	26.9297657	22.7332859	19.80526352	22.91475868	25.04514694	21.59599495		23.60940742	22.733181	20.25446701	17.16573143	0.6065300295762307	0.8136236596012714	4
PHLC12	LUAD	LUAD2	stable	21.09663105		27.2686615	26.85689354	27.65051651	19.26591873	18.06632614	21.34768677	18.88102913	25.3788166	25.84615135	20.74024773	18.30307198	21.70523643	21.97866058	19.99468994		23.60219002	22.44366264	19.99165726	16.31927299	-0.7978728681395908	-0.27552502670128953	4
PHLC122	LUSC	LUSC1	stable	21.33186913		28.51310539	27.28026009	28.16976738	16.94938469	17.73260498	21.25230026	17.95759392	25.1764679	25.67605591	21.27771759	18.80867577	21.9479866	22.83310509		13.74394703	23.86476517	22.39526367	19.72456932		0.5892491138379096	-0.6567505451892754	4
PHLC123	LUSC	LUSC1	stable	21.45554733		29.00395584	28.46340752	29.22953987	20.80981636		21.72358322	18.71892738	25.35670853	25.49188423	21.4133625	18.4241333	22.1548481	22.35412407			23.92763901	22.41764069	20.10060692		2.3626380112536345	0.580476251209941	3
PHLC133	LUAD	LUAD1	stable	21.60760117		27.58280945	27.22304344	27.97032547		18.27264786	21.30149651		24.82143402	25.84371567	21.5219059	19.69459534	21.78272247	23.36625099	20.15616417		23.22559166	22.2475605	20.80438423		-0.059443703044608255	-0.2765878912935226	2
PHLC134	Pleom LUAD	LUAD3	stable	21.831056595		28.24031258	26.89130592	27.6385746			22.32419014	20.65350533	24.48944283	26.23059082	20.80719948	19.72907829	21.75336838	23.0823555	20.47426796		23.49822044	22.48937607	21.20043564		-0.19092507862382183	2.364749658329442	2
PHLC137	LUAD	LUAD1	stable	21.80835056		28.53042221	27.60595703	28.30950165	21.71315765	18.94325447	21.10819817	18.64617729	21.82422447	26.08069992	22.25781631	19.87929726	21.94774818	23.02784348	19.29021645		24.27655792	22.37255669	19.83418274	16.59196663	1.1343340005213463	0.12171455661821945	4
PHLC139	LUSC	LUSC1	stable	21.51060867	12.11064053	29.33160782	28.18765831	29.02326393	21.0984726	17.49331665	21.74693489	18.6308651	23.95841217	25.78424454	21.12303734	22.93022728	22.34489059	22.26464081	19.2951622		22.15491295	22.78030968	19.79262161	17.90498543	2.268867436973433	0.3969716411162826	4
