contrast,n_a,n_b,U,p,log2fc_mean
Non-Restored vs wild-type (p53-WT samples),10,4,26.0,0.4535464535464536,0.30577982062021686
Non-Restored vs Restored (p53-WT samples),10,7,64.0,0.0030851501439736733,0.5352849143448202
Restored vs wild-type (p53-WT samples),7,4,13.0,0.9272727272727272,-0.2295050937246033
