sample,genotype,treatment,cohort,Sex,label
JB3453-Bulk-a04,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
JB3453-Bulk-g03,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
JB3453-T1,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
JB3455-Bulk,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
JB3839-Bulk,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Male,NA
JB3839-T1,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Male,NA
JB3844-Bulk,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
ZR1354,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#4
ZR1518,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#1
ZR1532,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#2
ZR1534,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#3
rSP47,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Male,NonRestored#10
rSP48,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#3
rSP50,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored; Trp53delta/delta,Male,NA
rSP52,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#9
rSP56,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#1
rSP57,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#6
rSP58,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#5
rSP59,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#2
rSP60,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
rSP62,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#4
rSP66,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored; Trp53delta/delta,Female,NA
rSP71,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#2
rSP73,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#6
rSP75,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestord#1
rSP76,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#3
rSP77,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#5
rSP78,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#4
rSP79,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#7
rSP81,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#7
rSP84,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#8
tSP106,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
