genotype,compartment,n,frac
K,epithelial,28,0.004181600955794504
K,immune,5545,0.8281063321385902
K,other,1123,0.1677120669056153
KL,epithelial,170,0.0224748810153358
KL,immune,6223,0.8227128503437334
KL,other,1171,0.15481226864093073
