sample,Tacstd2_DESeq2norm,genotype,treatment,cohort,Sex,label,p53_null
rSP79,159.367234620993,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#7,False
rSP52,324.106983085612,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#9,False
rSP77,317.524127034306,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#5,False
rSP48,188.425334026522,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#3,False
rSP76,266.829170844677,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#3,False
rSP73,271.912772784504,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#6,False
rSP71,181.985272387591,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#2,False
rSP47,399.303161007341,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Male,NonRestored#10,False
rSP56,242.008100740972,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#1,False
ZR1532,394.629038226351,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#2,False
ZR1534,321.704300212878,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#3,False
rSP84,244.134581655266,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#8,False
ZR1518,149.345970687525,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#1,False
rSP58,311.942122679483,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#5,False
rSP59,361.320566605785,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#2,False
rSP57,185.16482926781,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#6,False
ZR1354,165.9268415962,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#4,False
rSP75,284.63033094854,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestord#1,False
rSP81,341.15459648745,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#7,False
rSP78,265.324175096096,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#4,False
rSP62,382.55206227,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#4,False
