sample,Tacstd2_DESeq2norm,genotype,treatment,cohort,Sex,label
rSP79,159.367234620993,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#7
rSP50,309.576821602128,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored; Trp53delta/delta,Male,NA
rSP52,324.106983085612,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#9
rSP77,317.524127034306,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#5
tSP106,493.992183022917,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
JB3844-Bulk,265.295038638267,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
JB3839-Bulk,298.339505305368,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Male,NA
JB3455-Bulk,134.356229828328,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
rSP48,188.425334026522,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#3
rSP76,266.829170844677,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#3
rSP73,271.912772784504,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#6
rSP71,181.985272387591,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#2
rSP47,399.303161007341,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Male,NonRestored#10
rSP56,242.008100740972,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#1
ZR1532,394.629038226351,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#2
ZR1534,321.704300212878,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Female,KT#3
rSP84,244.134581655266,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#8
ZR1518,149.345970687525,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#1
JB3453-T1,345.662042381048,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
rSP58,311.942122679483,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#5
rSP59,361.320566605785,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Male,NonRestored#2
rSP66,272.900802148366,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored; Trp53delta/delta,Female,NA
JB3453-Bulk-a04,450.829894461917,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
rSP57,185.16482926781,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#6
JB3453-Bulk-g03,435.416364761019,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Female,NA
JB3839-T1,301.447948829876,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored; Trp53delta/delta,Male,NA
ZR1354,165.9268415962,KrasLSL-G12D;Rosa26LSL-tdTomato,None,wild-type,Male,KT#4
rSP75,284.63033094854,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestord#1
rSP60,345.057637697492,KrasLSL-G12D;Trp53flox/flox;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored; Trp53delta/delta,Female,NA
rSP81,341.15459648745,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato,Tamoxifen,Non-Restored,Female,NonRestored#7
rSP78,265.324175096096,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Tamoxifen,Restored,Female,Restored#4
rSP62,382.55206227,KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2,Vehicle,Non-Restored,Female,NonRestored#4
