patient,genotype,cell_type,n_cells,TACSTD2_mean,TACSTD2_pct_pos
01-103,KRASmutSTK11wt,Sorted T cells,10964,0.0016561194319943296,0.12769062385990515
01-105,KRASmutSTK11mut,Sorted T cells,8301,0.00020180928565493168,0.012046741356463078
01-110,KRASmutSTK11wt,Sorted T cells,10791,0.0004995591792301616,0.06486887220832174
01-130,KRASmutSTK11wt,Sorted T cells,7596,0.5987717905668499,34.531332280147446
11318-139,KRASmutSTK11mut,Mixed CD45+/-,5795,0.3165966553596745,27.230371009490938
11318-141,KRASmutSTK11mut,Mixed CD45+/-,7002,0.5955727048557627,43.173379034561556
11318-143,KRASmutSTK11wt,Mixed CD45+/-,934,0.04320090331757531,3.640256959314775
11318-145,KRASmutSTK11wt,Mixed CD45+/-,5220,0.4867874900172166,24.444444444444443
MD043-100,KRASmutSTK11mut,Sorted T cells,17639,0.0005194794683043087,0.06803106752083452
MD043-102,KRASmutSTK11mut,Sorted T cells,4854,0.00041369082448402904,0.04120313143798929
MD043-118,KRASmutSTK11wt,Sorted T cells,12436,8.788401392583512e-05,0.01608234158893535
MD043-132,KRASmutSTK11wt,Mixed CD45+/-,4516,0.08418187349735808,3.6871198000995196
