unit,n_NonRestored,n_Restored,mean_NonRestored,mean_Restored,log2fc_NonRestored_over_Restored,mw_U,mw_p,mw_log2fc_mean,note,n_NonRestored_cells,n_Restored_cells
mouse,3.0,3.0,0.7306505776699431,0.53094449223476,0.4606198399525627,9.0,0.1,0.4606198399525627,n=3 vs 3 mice; Mann-Whitney on mouse means. Underpowered.,,
cell (PSEUDOREPLICATION — do not use as inference),,,,,,37447840.0,5.149986141221375e-84,0.5005010896353773,,7766.0,8251.0
