gsm,patient,genotype,n_epcam_pos_ptprc_neg,n_ptprc_pos,TACSTD2_mean_epi,TACSTD2_pct_pos_epi,TACSTD2_mean_immune,TACSTD2_pct_pos_immune
GSM8592793,11318-141,KRASmutSTK11mut,2928,2592,1.1741238884117358,85.28005464480874,0.16374756682123454,12.61574074074074
GSM8592795,11318-139,KRASmutSTK11mut,1546,2712,1.0102973122464582,85.05821474773609,0.06575459727778742,6.37905604719764
GSM8592797,11318-143,KRASmutSTK11wt,18,477,1.182421551873781,72.22222222222221,0.016264547438704365,1.4675052410901468
GSM8592799,11318-145,KRASmutSTK11wt,1392,3017,1.4831061695641465,72.12643678160919,0.0837318272235651,4.938680808750414
GSM8592805,MD043-132,KRASmutSTK11wt,69,2504,2.181657303917935,86.95652173913044,0.00733806100789396,0.4792332268370607
GSM8592807,MD043-132,KRASmutSTK11wt,45,1494,1.9410131754327002,82.22222222222221,0.00812271921719084,0.2677376171352075
