cohort,n_samples,mean,sd,median
Non-Restored,10,318.7886348368658,52.24926830143728,318.0245528825475
Restored,7,219.97129616775572,56.835269767150734,188.425334026522
wild-type,4,257.9015376807385,119.73423035657532,243.81557090453902
