gsm,patient,tissue,cell_type,genotype,n_cells,mean_libsize,TACSTD2_mean,TACSTD2_pct_pos,EPCAM_pct_pos,EPCAM_mean,PTPRC_pct_pos,PTPRC_mean,CD3E_pct_pos,CD3E_mean,CD8A_pct_pos,CD8A_mean,STK11_pct_pos,STK11_mean
GSM8592771,MD043-100,normal,Sorted T cells,KRASmutSTK11mut,10137,4591.004833777251,0.0004637672372893612,0.0690539607378909,0.029594554601953243,0.00041114107578935706,94.95906086613395,2.5120569236293067,79.47124395777844,1.6901979420489803,33.90549472230443,0.745673047498024,9.90431094012035,0.11612291183798824
GSM8592773,MD043-100,tumor,Sorted T cells,KRASmutSTK11mut,17639,5251.636317251545,0.0005194794683043087,0.06803106752083452,0.1870854356822949,0.0027031524044432145,97.46584273484892,2.6509415388141,84.83474119848063,1.9702617379076195,45.89829355405635,1.005786194469252,12.857871761437723,0.13957476193851856
GSM8592775,MD043-102,normal,Sorted T cells,KRASmutSTK11mut,11605,5239.006979750107,0.0033959221674780614,0.24127531236535973,0.15510555794915987,0.0019439191073914789,95.10555794915985,2.5358316150036075,80.861697544162,1.8129046364985877,17.414907367514,0.34131141220996797,9.34080137871607,0.1010075432161491
GSM8592777,MD043-102,tumor,Sorted T cells,KRASmutSTK11mut,4854,5238.697569015245,0.00041369082448402904,0.04120313143798929,0.0,0.0,96.27111660486197,2.6514110307107592,80.81994231561599,1.850849349399489,25.19571487433045,0.5122591558052054,8.920477956324682,0.09417417927350392
GSM8592779,01-103,normal,Sorted T cells,KRASmutSTK11wt,11718,4030.096262160778,0.0018091580664340897,0.11094043352107869,0.07680491551459294,0.0008298142648772654,95.75012800819252,2.661382710597451,78.1447345963475,1.7328417703503831,60.010240655401944,1.3320255154539244,9.233657620754395,0.1144119200822736
GSM8592781,01-103,tumor,Sorted T cells,KRASmutSTK11wt,10964,4722.462878511492,0.0016561194319943296,0.12769062385990515,0.08208682962422473,0.0009573566623216085,97.19080627508208,2.788271266063159,75.99416271433783,1.6855771324620887,42.38416636264137,0.878869091454043,8.491426486683693,0.09940663004414886
GSM8592783,01-105,tumor,Sorted T cells,KRASmutSTK11mut,8301,3876.362727382243,0.00020180928565493168,0.012046741356463078,0.024093482712926155,0.0003098575350932449,88.0255390916757,2.165607917899166,73.94289844597036,1.604105265303343,29.28562823756174,0.6130796910030165,9.625346343813998,0.1216689156054201
GSM8592785,01-110,normal,Sorted T cells,KRASmutSTK11wt,11944,4507.174397186872,0.0017998655265019775,0.10884125920964502,0.04186202277294039,0.0005269479685947795,96.45847287340924,2.5746880570914334,83.13797722705961,1.7602870966795219,35.54922973878098,0.7699090460004213,9.142665773610181,0.10750786130991324
GSM8592787,01-110,tumor,Sorted T cells,KRASmutSTK11wt,10791,4607.88814753035,0.0004995591792301616,0.06486887220832174,0.027800945232137893,0.00020968649481178258,95.77425632471504,2.5213326134104483,82.29079788712816,1.7248256114240679,38.013159114076544,0.8726976340762727,9.424520433694745,0.10642604563783911
GSM8592789,MD043-118,normal,Sorted T cells,KRASmutSTK11wt,13832,4530.9671052631575,0.0030702672635966495,0.1662810873337189,0.13736263736263737,0.0016965692064263521,96.29843840370155,2.63491333056876,87.9626951995373,1.8996906011739219,40.86176980913823,0.9405779206290346,8.675534991324465,0.09974671717216654
GSM8592791,MD043-118,tumor,Sorted T cells,KRASmutSTK11wt,12436,3641.1810067545834,8.788401392583512e-05,0.01608234158893535,0.01608234158893535,0.0002230096789038504,96.7915728530074,2.935238356416841,71.0678674815053,1.5346975533083875,50.53071727243486,1.138163165240639,9.038275972981666,0.12138654048072131
