cell_ontology_class	n
lung endothelial cell	693
stromal cell	423
epithelial cell of lung	113
classical monocyte	90
myeloid cell	85
monocyte	65
B cell	57
T cell	53
natural killer cell	37
leukocyte	35
ciliated columnar cell of tracheobronchial tree	25
