mouse_gene	human_ortholog	present	n_cells	frac_expr	spearman_r_vs_Tacstd2	spearman_p_vs_Tacstd2	spearman_r_vs_Cldn4	spearman_p_vs_Cldn4
Tacstd2	TACSTD2	True	138	0.3188405797101449			0.15238178092923224	0.07438580453885622
Cldn1	CLDN1	True	138	0.007246376811594203	0.13484989604070735	0.1148116051260681	0.21790523347505683	0.010244884752267482
Cldn4	CLDN4	True	138	0.12318840579710146	0.15238178092923224	0.07438580453885622		
Cldn7	CLDN7	True	138	0.855072463768116	0.2738342314563535	0.0011543973207533344	0.2750240300419017	0.0010961707508994438
F11r	F11R	True	138	0.8478260869565217	0.411717118683698	5.250722698694348e-07	0.08337890966990891	0.33091855822253263
Pard3	PARD3	True	138	0.5144927536231884	-0.009822542647759334	0.9089667424199458	-0.07033791703180275	0.41233947701044854
Elf3	ELF3	True	138	0.45652173913043476	0.17970341660702116	0.03494148502985998	0.034035723564520476	0.6918783731107478
Grhl1	GRHL1	True	138	0.021739130434782608	0.0067976728997711025	0.9369299111472243	-0.05571620657117079	0.516294273214094
Klf4	KLF4	True	138	0.2318840579710145	0.044797386404272076	0.6018615162812812	0.13449552769967543	0.11577717612537856
Tfap2a	TFAP2A	True	138	0.014492753623188406	0.21165130191415701	0.012701765231642867	-0.04532777697017595	0.5975625949443464
Epcam	EPCAM	True	138	0.9347826086956522	0.19888459982813353	0.019360000537564044	0.2745084490459226	0.001121064415395368
Krt8	KRT8	True	138	0.9565217391304348	0.25490880167824853	0.0025506234639674813	0.34913720030196466	2.7050044360109407e-05
Krt18	KRT18	True	138	0.9420289855072463	0.31565802088960815	0.00016239836568854004	0.3063223000489663	0.0002582038501436728
