call	set	n
pos_any	TCGA_NSCLC	4512
pos_any	GSE207422_malig	4838
pos_any	GSE131907_malig	11569
pos_any	TCGA_NSCLC∩GSE207422_malig	1911
pos_any	TCGA_NSCLC∩GSE207422_malig∩GSE131907_malig	1629
pos_any	>=2_of_3	5042
pos_r10	TCGA_NSCLC	3329
pos_r10	GSE207422_malig	1458
pos_r10	GSE131907_malig	1158
pos_r10	TCGA_NSCLC∩GSE207422_malig	754
pos_r10	TCGA_NSCLC∩GSE207422_malig∩GSE131907_malig	228
pos_r10	>=2_of_3	1085
pos_r20	TCGA_NSCLC	1212
pos_r20	GSE207422_malig	362
pos_r20	GSE131907_malig	60
pos_r20	TCGA_NSCLC∩GSE207422_malig	190
pos_r20	TCGA_NSCLC∩GSE207422_malig∩GSE131907_malig	20
pos_r20	>=2_of_3	211
