theme	n_genes	mean_high	mean_low	delta_high_minus_low	direction	mwu_p
keratinization	31	0.4952976285761392	0.3581100974677023	0.1371875311084369	up	1.338528694963335e-296
skin_barrier_env	25	0.6628145751758184	0.38088662897727515	0.2819279461985433	up	0.0
skin_barrier_dev	54	0.3630197878276957	0.27866065286394	0.08435913496375569	up	3.2205612499589265e-243
tight_junction_cc	74	0.3858446463666999	0.3006299540217246	0.0852146923449753	up	0.0
tight_junction_kegg	148	0.4748257885677394	0.40507549691130484	0.06975029165643454	up	2.787064973593503e-287
emt	192	0.23179649705710367	0.20709738341990966	0.024699113637194015	up	2.8344982378031885e-56
