gene	spearman_r	spearman_p	n_expr	padj
TACSTD2	1.0	0.0	11688	0.0
CLDN4	0.3204279883820882	0.0	12101	0.0
KRT19	0.3178478266386563	0.0	12735	0.0
ELF3	0.31744682811156666	0.0	12207	0.0
GPRC5A	0.31189146633038256	3.5830741007884e-310	10900	1.4545131004740474e-306
SOX4	0.2890701193027871	8.615510845367137e-265	10477	2.91448372714028e-261
SPINT2	0.27682840734849457	4.007180862857569e-242	12005	1.1619107139060011e-238
KLF6	0.2764670067326184	1.797327943585141e-241	10458	4.5600456588684505e-238
TM4SF1	0.2738637146491034	8.326227963335723e-237	10809	1.8777494330202794e-233
EZR	0.26975981339039756	1.485713189013269e-229	10579	3.015552059740232e-226
CLDN3	0.2693719991280378	7.09001777421443e-229	10139	1.308237188756639e-225
LMO7	0.2647586981300086	6.888363759798288e-221	9300	1.1651093269385488e-217
SPINT1	0.2613420951572081	4.4826103459727374e-215	8676	6.99873401478528e-212
H3F3B	0.25999802869348226	8.218572575667889e-213	13292	1.1915169112023653e-209
MARCKSL1	0.25213807393111143	7.657738935392655e-200	7323	1.0361941811444316e-196
KRT7	0.2505183989527019	3.1659463127824817e-197	11862	4.016200769409127e-194
EMP2	0.2497493671885726	5.446371067881115e-196	9434	6.502646680281352e-193
FOSB	0.24712119959968692	8.441086349298437e-192	10606	9.017301559563705e-189
CD55	0.24513046491751156	1.1671282684096122e-188	9757	1.184460123195495e-185
PERP	0.2396326471853148	3.914557664155489e-180	9824	3.783513186160188e-177
LGALS3	0.23650006613890126	2.2575963390773147e-175	11921	2.082837858829648e-172
ZFP36	0.23638182414249267	3.403947488941248e-175	9591	3.0039096601321963e-172
SERINC2	0.23619339615752524	6.545919349233633e-175	7756	5.535938542974794e-172
HES1	0.23617810382878696	6.902513777497624e-175	7398	5.604012885674772e-172
RAB11FIP1	0.2348306760513497	7.282289373459856e-173	9497	5.564890204288522e-170
CDKN2B	0.23482591874857436	7.40267209517614e-173	2069	5.564890204288522e-170
SAT1	0.2335259421356326	6.443677641871766e-171	13179	4.509907761967974e-168
CDKN2A	0.23280386164730862	7.61030455527238e-170	3672	5.148878385278783e-167
PVRL4	0.232155934035552	6.924887643746169e-169	4696	4.534014338874709e-166
RHOBTB3	0.23004797397531565	8.707904537655179e-166	4464	5.523260575024599e-163
TMSB4X	0.22913913410068437	1.8474766820468864e-164	13819	1.1363101277425956e-161
MAFF	0.22717469574784216	1.3009767828193391e-161	5058	7.766448753201213e-159
RND3	0.2263286722776598	2.1494510187176258e-160	6230	1.2464973521974757e-157
NET1	0.22595157962581028	7.475262917946445e-160	6122	4.2145947623766385e-157
PPP1R15A	0.22353428758512683	2.088698313387156e-156	8771	1.115639728074187e-153
CD9	0.2178620944431966	1.763690782681658e-148	11488	9.17887995284349e-146
ERBB3	0.2177444547063601	2.56123357767462e-148	7392	1.278702568525858e-145
TMEM59	0.21773418663891972	2.6459825529923653e-148	10340	1.278702568525858e-145
GRN	0.2168758107786195	3.9982925205164727e-147	8158	1.8872870532307637e-144
MCL1	0.21505778917783	1.2098678990464744e-144	10141	5.5810656243059746e-142
RHOB	0.21471473313841727	3.5343357473134225e-144	9802	1.594142503627123e-141
PRSS23	0.21405401661845855	2.771359484798485e-143	4026	1.2228322491946706e-140
PVRL2	0.21328899835603934	2.9819767246150366e-142	6311	1.2609412829064875e-139
SERTAD1	0.21156046218797994	6.180207026376924e-140	6123	2.487795865582962e-137
CD24	0.2115567520384916	6.2510513447667665e-140	8560	2.487795865582962e-137
RHOV	0.21007328840658257	5.855897103297086e-138	2830	2.2857142981850185e-135
KRT17	0.20900713736362544	1.4971372847216273e-136	2451	5.7334708430179e-134
JUN	0.20825713766371362	1.448230392020304e-135	11792	5.443468938302984e-133
APLP2	0.20664281428297174	1.8584865877020926e-133	11739	6.85849132192534e-131
EMP1	0.20621623813494785	6.657263116880937e-133	6824	2.4129012407737923e-130
JUP	0.20599377096466145	1.2935841078207282e-132	6933	4.60629414674339e-130
CST6	0.20432045291641787	1.8661924036916283e-130	5960	6.420018172496437e-128
ACTN4	0.20396953796500145	5.2642597711374135e-130	8437	1.7808113429129348e-127
CCNL1	0.202694269284595	2.2439766917079953e-128	10386	7.229523001840823e-126
TAX1BP1	0.20220154948449223	9.499662267720864e-128	9881	2.9663791545835444e-125
PRSS22	0.20207045832158466	1.3936861573746708e-127	5871	4.286007263065711e-125
BCAM	0.20158024908393457	5.828917538899538e-127	7179	1.765814019209611e-124
LIPH	0.20070435906012019	7.444996358207509e-126	3932	2.2222219276843796e-123
TRAF4	0.20052900937431153	1.2379733642652154e-125	8180	3.641615271665374e-123
C19orf33	0.20007055459540607	4.6680335735121074e-125	9984	1.3535296777367892e-122
MUC4	0.19971130416834174	1.3177403847239667e-124	5241	3.767067125174979e-122
LSR	0.19919204776141414	5.88457888737919e-124	9005	1.6588791344046584e-121
SDC1	0.1989787211010121	1.086874652361492e-123	9816	3.0219581943809865e-121
CLDN7	0.19890203251360206	1.3548620862917809e-123	9379	3.7161669953330103e-121
F11R	0.1973898320899616	1.0260263429176738e-121	7377	2.7767008909600035e-119
MSLN	0.1966096253273926	9.434205756522235e-121	3650	2.4868321329887247e-118
MIDN	0.19651161300940098	1.24583046261461e-120	9375	3.2418744743190693e-118
ITGB1	0.19645356030425085	1.4687596951986357e-120	8310	3.773596902967938e-118
ST14	0.19636106430976252	1.909028511658698e-120	7652	4.843443962642075e-118
DDR1	0.19513077048956276	6.163177244488374e-119	6230	1.544370475696056e-116
TSPAN6	0.19411775939688342	1.0583705696763567e-117	3959	2.619725299112319e-115
ANXA11	0.19408495522379002	1.1601380974364288e-117	10189	2.8370268630924335e-115
PLAUR	0.19384174999058973	2.2902792339528313e-117	5124	5.534023525183406e-115
DUSP5	0.19334379014024858	9.192461295655465e-117	4456	2.1950516107990468e-114
SMIM5	0.19310217132379226	1.8016934644833728e-116	2611	4.252206075420816e-114
CYR61	0.19219332676926584	2.2462484220511243e-115	7106	5.240471749697893e-113
ICAM4	0.1917801977769357	7.042488395538902e-115	3581	1.6060829995983493e-112
SCEL	0.19168672523303892	9.116969494426978e-115	3454	2.056079220315382e-112
MUC21	0.19113874477892004	4.130454481502772e-114	2675	9.212729078138655e-112
STEAP4	0.18973640849432746	1.9318713188217026e-112	4938	4.262086104143923e-110
JUNB	0.18880261150632358	2.4586310837145966e-111	11243	5.365896247973674e-109
H3F3A	0.18753438772597655	7.615741439026676e-110	13263	1.6271231998728888e-107
IGF2BP2	0.1864501974058739	1.4055709446823507e-108	2886	2.9411209756925435e-106
KLF5	0.18608189821537635	3.768568070624468e-108	8041	7.805165931578043e-106
KCNK6	0.18599877331140577	4.706777505738014e-108	2662	9.649844750905501e-106
YPEL3	0.185192793467761	4.040731063850207e-107	7455	8.201471840296765e-105
NFKBIA	0.18474287178906462	1.33603413316138e-106	10199	2.658576941252601e-104
PTPRF	0.1846430752431021	1.741137303800573e-106	7870	3.4310547432272064e-104
FGFR3	0.1844766313391371	2.707148602170424e-106	2215	5.2833649209858746e-104
SYNE2	0.18302689055421528	1.242404476196677e-104	4339	2.4016270146060908e-102
IER2	0.18228625454602815	8.666037700429053e-104	10795	1.6593827094868726e-101
KRT18	0.1818561422282132	2.667053958608908e-103	12738	5.05917702783972e-101
MET	0.1815761929672825	5.535245100071417e-103	7413	1.0402673129273105e-100
PLXNB2	0.18146180030191822	7.456972128033282e-103	6727	1.3885703053457938e-100
KRT8	0.1813743971102595	9.362533736457506e-103	12456	1.7275577022625273e-100
LMNA	0.18110165827224434	1.903120890765608e-102	11984	3.47996799278104e-100
QSOX1	0.18051449393584923	8.730249688216435e-102	7524	1.5821239100154373e-99
MAP3K13	0.17951128413143128	1.164297934960508e-100	7567	2.0913057686631353e-98
CHMP4B	0.1793480800765781	1.7719743376525736e-100	9104	3.154891502748622e-98
DDX5	0.1790760587603393	3.5650940512028314e-100	11642	6.292235996283815e-98
PTTG1IP	0.178624161741317	1.1359762941947364e-99	8890	1.9876647278681522e-97
YIPF3	0.1782716443129662	2.7992831607545115e-99	7046	4.815004263884265e-97
ITPKC	0.17680681971577988	1.1636014074690448e-97	3047	1.9518692369751408e-95
CTNND1	0.17664429911523577	1.7560255491508184e-97	6579	2.9214795550093573e-95
FAM3C	0.17657252184205605	2.1057656095940312e-97	7755	3.4748556567422804e-95
EPCAM	0.17490461138139068	1.4021302568986645e-95	11596	2.258653795577158e-93
MUC15	0.17480213902547348	1.8122364882077392e-95	2571	2.8736690625900375e-93
LEPROT	0.17466158844499804	2.575932746362773e-95	5707	4.053000538986449e-93
SKIL	0.17440768785349856	4.858348540754453e-95	4615	7.58537694859178e-93
S100A4	0.1740712896974638	1.1244053163027693e-94	6732	1.7421415805341456e-92
CLDN9	0.17187294638812772	2.595194065630598e-92	1434	3.99050408712911e-90
LY6E	0.1718635415395465	2.655901741689637e-92	11747	4.053145688050719e-90
LPP	0.17144529015569343	7.416847422345833e-92	7225	1.1234309860548759e-89
LASP1	0.17098819069069127	2.271646935537194e-91	6343	3.390266018426355e-89
DDAH2	0.17098081756530456	2.3129746099361667e-91	5144	3.4267478582390055e-89
DUSP10	0.17038292597908677	9.95239402983826e-91	2876	1.4532643282275335e-88
KRT16	0.16995031907647876	2.851179872472435e-90	1419	4.1335998479695007e-88
OVOL1	0.16968445715097283	5.436622719505183e-90	1423	7.82603768353168e-88
MLLT4	0.16944947716012773	9.609239925053852e-90	5989	1.3735122729494227e-87
NOTCH3	0.16854973863293093	8.442872572918052e-89	2324	1.1900346153647062e-86
CYTH2	0.1684469889283321	1.0812722684192645e-88	4920	1.5135574642831592e-86
SOX9	0.1678827781939593	4.194667142961598e-88	2266	5.791779523856569e-86
VGLL1	0.16757221410182413	8.828527987048444e-88	1495	1.2107610307643396e-85
NEAT1	0.1673670390338302	1.4423134996834742e-87	12705	1.9647407451728506e-85
S100A11	0.16719750266961209	2.1626984782723352e-87	13467	2.907039139966463e-85
SUPT5H	0.16717745962369607	2.2687321991332354e-87	5544	3.029503779329426e-85
IER3	0.16716913439175704	2.3142848820632666e-87	8521	3.0701333497541256e-85
DSP	0.16675143574427229	6.266217869508484e-87	4793	8.205511232091207e-85
RABAC1	0.16664948230012216	7.987676468436765e-87	8522	1.039268392819622e-84
LTBP1	0.16660612289306848	8.855874614160502e-87	1284	1.1448897263924569e-84
GRHL1	0.16617199243631395	2.4843888770738527e-86	2365	3.1914962682258225e-84
ERRFI1	0.1660296743848191	3.481873190286911e-86	8510	4.444753468129147e-84
LAMC2	0.16596824099152682	4.02764356174558e-86	2768	5.109317585796878e-84
TMEM50A	0.16566624307644512	8.233087679627498e-86	8722	1.0379315567291884e-83
C6orf132	0.16534230064838285	1.7700143049830656e-85	4656	2.2040478741252324e-83
CLDN6	0.16473419382383706	7.415494972038037e-85	1168	9.177579356552198e-83
RRBP1	0.16460157082120677	1.0127653875033147e-84	7428	1.2458241860699867e-82
AGR3	0.16405673439429583	3.6343236770826924e-84	10569	4.443726968298037e-82
PPP1R13L	0.1640163717033891	3.9944413856633007e-84	3220	4.854801006275929e-82
TES	0.16380440301046126	6.557949031815282e-84	6315	7.923017351116354e-82
BAZ1A	0.16360631422662147	1.0416383630730648e-83	5548	1.2510138375913605e-81
EFNA1	0.16321900247999305	2.5697073147655603e-83	7923	3.068079374576269e-81
SMARCA4	0.1631638299241571	2.9219207349426172e-83	4706	3.468200301586567e-81
CDH1	0.1631113699315947	3.301354657359277e-83	8652	3.895790434908212e-81
CXADR	0.16289168078537924	5.502345731693241e-83	6317	6.455555567409116e-81
MYH9	0.1623124593323479	2.1085207279600076e-82	6553	2.4595773112301304e-80
VPS37B	0.16184251936485064	6.24785501668847e-82	6482	7.24644075849862e-80
ZFP36L1	0.16143355542312343	1.603636130179234e-81	11083	1.8493751439913584e-79
ABCA1	0.1612194111151834	2.624413692346591e-81	2388	3.009475972517444e-79
