gene	log2FC_high_minus_low	t_stat	p_ttest	spearman_r_vs_TACSTD2	padj_ttest	spearman_p_vs_TACSTD2	spearman_padj_vs_TACSTD2
TACSTD2	2.863139085545736	36.11580074282457	1.0842815257906734e-136	1.0	2.226029972448252e-132	0.0	0.0
PRSS22	1.9793477876106245	18.06753736984261	4.864528108528113e-59	0.5778806167673649	4.9934381034041074e-55	1.1666837985662849e-91	1.1976009192282915e-87
GPR87	4.013354572271387	17.93106251252836	2.448908328167894e-57	0.5269311400984423	1.2569021994321715e-53	9.732570132196049e-74	4.995241620349622e-70
AIM1L	2.4624036873156347	17.84408382305889	2.747500078979196e-58	0.5361852538084181	1.8802058873814302e-54	9.082728790060093e-77	6.215614068664457e-73
IVL	4.134781710914457	16.558006020873634	6.3656301305680644e-52	0.4724062622378903	2.6137277316112476e-48	1.158534720038242e-57	1.2518272527571109e-54
SFN	1.92591887905604	16.457228951892354	2.6249954836470723e-51	0.5001046934631698	8.98185954654573e-48	1.824262348602924e-65	4.681513252102254e-62
PADI1	3.315514601769912	16.40071008488491	2.064916615769779e-50	0.48187551011844	6.056105445964795e-47	2.995910584998685e-60	4.3932888792873574e-57
GPR115	2.752294690265485	16.121815733459282	2.29521522956729e-49	0.5012141894414225	5.8900960828770586e-46	8.577567108482806e-66	2.5156778962450284e-62
RHBDL2	1.6116089970501513	15.785837107604255	1.6706698075798663e-47	0.5047843640649299	2.858237595801221e-44	7.422975668017594e-67	2.539894841073353e-63
S100A2	3.4893379056047067	15.777766655646769	5.76937012998995e-48	0.4553926167939585	1.3160574307632632e-44	3.261525283033139e-53	2.1599714213119467e-50
LYPD3	2.816581563421818	15.770720761207262	6.442709514273482e-48	0.4705441701098438	1.3226882632803457e-44	3.657830355304862e-57	3.5759646283051817e-54
PERP	1.6285575221238773	15.702917709539554	1.3502647437883932e-47	0.4549668535872398	2.52008501727052e-44	4.183856022323874e-53	2.6028655799487617e-50
ZNF185	1.2092877581121009	15.661730209651337	2.368203974864611e-47	0.4950881829673499	3.739940584920805e-44	5.344433861196755e-64	1.0972122717036937e-60
TRIM7	2.29906386430678	15.518251129792343	1.2499470174814674e-46	0.4456210340859161	1.8329580192067523e-43	9.067510619318983e-51	4.432285547967112e-48
LY6D	4.214296902654864	15.491637720092282	3.563797162751331e-46	0.4434493675665602	4.877650383418989e-43	3.089889704576116e-50	1.3496901198925036e-47
CSTB	1.1173886430678497	15.491215839218476	4.332885353184683e-46	0.4968898414672058	5.559633518805097e-43	1.5992182283489696e-64	3.647994469778261e-61
TGM5	2.4522314159292025	15.382274686454702	1.7530805816017184e-45	0.456872450570039	1.9994857966824046e-42	1.368698891630867e-53	9.366462748393901e-51
RAET1G	2.048004277286133	15.365735543231148	1.0409754698223908e-45	0.4637493813627164	1.257130964438452e-42	2.287158184346812e-55	1.8059752894092325e-52
GJB3	2.944865781710919	15.171305537704814	1.5959870177062645e-44	0.4924806725562533	1.7245059722899796e-41	3.0251563234526613e-63	5.646041756407558e-60
