theme	n_genes	mean_high	mean_low	delta_high_minus_low	direction	mwu_p
keratinization	40	0.23841014459586968	0.17407479925121216	0.06433534534465751	up	8.398806278771636e-246
skin_barrier_env	42	0.1616912252547927	0.11723834872826393	0.04445287652652878	up	4.909385335326873e-165
skin_barrier_dev	81	0.12498323056708265	0.10096053824697764	0.02402269232010501	up	1.3148565543030355e-132
tight_junction_cc	82	0.26540818738793487	0.2036143342801214	0.06179385310781346	up	0.0
tight_junction_kegg	164	0.34343067594606924	0.2876170833190549	0.05581359262701435	up	9.026733617707948e-243
emt	198	0.1946556047310618	0.15768029913659434	0.03697530559446746	up	2.6304672063528042e-164
