gene	TCGA_r	GSE207422_r	GSE131907_r	mean_r
TACSTD2	1.0	1.0	1.0	1.0
KRT19	0.4836333253510794	0.3946206354340856	0.3178478266386563	0.3987005958079404
PERP	0.4549668535872398	0.4108592541533309	0.2396326471853148	0.3684862516419618
RND3	0.4335446283818883	0.4196685955998864	0.2263286722776598	0.35984729875314486
JUP	0.3722611594975824	0.470575365037526	0.2059937709646614	0.34961009849992325
CLDN4	0.2513994044901831	0.4299655674792891	0.3204279883820882	0.3339309867838535
EMP1	0.3716418739929336	0.4136586639079034	0.2062162381349478	0.33050559201192825
SERINC2	0.3751263356167031	0.3640254294241601	0.2361933961575252	0.32511505373279614
SPINT1	0.394662162379536	0.2500376777258241	0.2613420951572081	0.30201397842085603
ACTN4	0.2782477513728334	0.3898863888874497	0.2039695379650014	0.29070122607509485
SPINT2	0.2626573917518884	0.3246876644403483	0.2768284073484945	0.28805782118024376
ELF3	0.2737041910766031	0.244177527518453	0.3174468281115666	0.27844284890220755
CD9	0.3594325475099425	0.2532694546810735	0.2178620944431966	0.27685469887807085
HES1	0.3392341503407215	0.2454180308569589	0.2361781038287869	0.27361009500882244
H3F3B	0.2615109487996667	0.259758910515303	0.2599980286934822	0.2604226293361506
NET1	0.2385090778914536	0.3055265936229218	0.2259515796258102	0.2566624170467285
TM4SF1	0.2088654908827474	0.2763661489939216	0.2738637146491034	0.2530317848419241
LIPH	0.2735846821771679	0.2621792542009226	0.2007043590601201	0.24548943181273686
MAFF	0.2054440961450165	0.2310543805686241	0.2271746957478421	0.22122439082049425
LGALS3	0.2122352982004566	0.2120221433571009	0.2365000661389012	0.22025250256548623
